mean_AcX 1,mean_AcX 2,mean_AcX 3,mean_AcY 1,mean_AcY 2,mean_AcY 3,mean_AcZ 1,mean_AcZ 2,mean_AcZ 3,mean_GyX 1,mean_GyX 2,mean_GyX 3,mean_GyY 1,mean_GyY 2,mean_GyY 3,mean_GyZ 1,mean_GyZ 2,mean_GyZ 3,std_AcX 1,std_AcX 2,std_AcX 3,std_AcY 1,std_AcY 2,std_AcY 3,std_AcZ 1,std_AcZ 2,std_AcZ 3,std_GyX 1,std_GyX 2,std_GyX 3,std_GyY 1,std_GyY 2,std_GyY 3,std_GyZ 1,std_GyZ 2,std_GyZ 3,activity
-3323.7090909090907,-6642.236363636363,-1084.2,7128.381818181818,-3989.0545454545454,-1024.1454545454546,-1245.909090909091,-2880.0545454545454,7392.509090909091,-582.8818181818182,-2468.663636363636,-80.43636363636364,1862.7181818181818,-1097.5545454545454,-300.07272727272726,1098.2,1599.090909090909,2398.3818181818183,3271.423063565219,5153.863050579849,941.4966402682294,9977.56622627329,7095.953021824051,1075.1145295131341,2405.8892347565284,2898.668013341687,1633.6758204371488,3949.2704291294976,3284.73578092605,368.7734344423595,2749.333026991417,2708.4904738663545,615.1917618122442,7134.600903407919,4824.861594897553,2074.10009832005,2.0
-3065.2363636363634,-5679.145454545454,-1366.4,6382.563636363637,-4761.254545454545,-1188.6727272727273,-1527.9818181818182,-3402.2,7266.745454545455,2477.0,-44.18181818181818,46.236363636363635,-1019.3272727272728,1547.2727272727273,331.1727272727273,-800.8181818181819,-1397.5727272727272,-1408.9727272727273,3130.440201189466,2458.642115390169,910.8965733126495,9376.647688929877,4581.403793273935,1101.8519708290378,2104.227822015038,2010.1140618925533,1429.6328799976054,3811.849982739233,4134.942356818881,288.22260738005724,4089.7299402040785,3271.3585915809876,713.4174967792309,6738.543900147486,4431.274547738834,3652.838262499925,2.0
-4632.854545454546,-4889.072727272727,-1660.2363636363636,7000.4,-6578.8,-1190.7272727272727,-1974.3818181818183,-3474.836363636364,7217.854545454546,1268.1454545454546,85.06363636363636,218.0909090909091,-967.6909090909091,1387.3727272727272,301.5272727272727,-817.6181818181818,-183.33636363636364,-1498.7636363636364,1918.8425385981743,5349.8825045876065,905.3345632444167,1878.3780585678412,9825.6485335806,1528.8738274184986,1227.1209615253406,3704.71916621164,1345.5901499231659,3615.8752966136926,4315.310068449254,328.10365727519,4369.803296478843,4199.853471164939,909.9509248414635,2720.5357025336625,7413.455103302217,4059.65906747503,2.0
-3132.4727272727273,-5934.963636363636,-1506.509090909091,7919.545454545455,-6784.490909090909,-935.9090909090909,-1868.6,-3054.2363636363634,7371.527272727273,-929.5636363636364,-3203.7545454545457,-4.372727272727273,2130.1363636363635,-1511.9272727272728,-187.97272727272727,1779.7454545454545,868.4090909090909,3078.5454545454545,2589.1805643312605,5210.65520732151,1085.2876430233475,7632.754375520333,8725.091450154187,1546.5957545846209,2001.7856673934448,3391.32705301271,1717.6607968084272,3710.296747571725,2868.728445548222,496.8988896434823,2993.4522802497177,2928.879033813234,735.1081238849514,5762.731526307426,5838.936080385403,3133.8811244971203,2.0
-2226.5272727272727,-5567.854545454546,-1240.6,7966.509090909091,-6774.945454545455,-1333.1636363636364,-1458.3090909090909,-4087.2363636363634,7369.527272727273,1109.4727272727273,-676.2,-190.3181818181818,209.43636363636364,753.1727272727272,325.2,122.78181818181818,-1729.9818181818182,51.14545454545455,3622.2525054022067,1793.4868366922656,1099.1534114117928,10235.048620700301,2775.255633881036,1282.2100347537219,2477.049640730809,1721.1559325442397,1406.9536899343325,3948.963412222805,4127.859876497748,491.4072543923436,4768.760886373415,3817.1482974480755,811.2595795764422,7376.898275737475,3556.6648294097563,4949.383443394951,2.0
-3072.090909090909,-3601.4,-1316.6363636363637,7376.363636363636,-6956.254545454545,-1373.490909090909,-969.2,-3476.6363636363635,7408.872727272727,1807.0181818181818,460.2818181818182,137.05454545454546,-2012.1727272727273,2063.7363636363634,565.1636363636363,-1654.209090909091,-1231.918181818182,-3001.2545454545457,3362.0163255929792,3872.1694511193355,1035.2388896663833,7005.355374448469,9994.267055245735,1395.9174092881424,1644.8403558897853,3495.7845048189442,1396.9204448558257,2347.6540978827743,4183.5690464044055,462.01142914559716,4063.8453506256424,3835.435207443331,819.2116890065464,4043.5714234177935,6460.770030283919,2905.234196275166,2.0
-1853.1636363636364,-4315.181818181818,-1739.3636363636363,7409.136363636364,-5104.090909090909,-1270.7272727272727,-1293.7272727272727,-3237.4727272727273,7180.0,252.0909090909091,-3397.390909090909,-61.50909090909091,956.5090909090909,-1428.8181818181818,-35.58181818181818,1248.3545454545454,1316.3,1920.4,2502.0295381123656,4426.665449670416,918.1388657820254,5907.3539430677165,9757.224752175327,1388.2287924421141,1500.1338237824648,3558.3610801222694,1606.5901327175686,3466.0965955837637,3737.1100528603765,531.2842886552365,3694.1071248567428,3745.901972172251,872.9043098844662,5065.859755777554,5907.025817617524,4107.332406142148,2.0
-1239.909090909091,-6550.181818181818,-1273.8727272727272,7166.236363636363,-4916.963636363636,-1441.9636363636364,-371.56363636363636,-3719.3454545454547,7173.054545454545,355.6272727272727,-1464.1363636363637,-256.3727272727273,1451.5636363636363,-770.5272727272727,-160.4090909090909,30.12727272727273,944.5363636363636,1888.1727272727273,3638.8587160498414,2556.2167434842895,1129.6493833292693,9893.074846879023,1545.79558172996,1109.976805058824,2297.1391754538863,2309.8434753595657,1562.2003295839065,3944.10898996348,3973.8750505984203,409.13089390451483,3144.306044343627,3442.9063138023143,736.1078391285115,7358.171874131249,2838.615183107529,4107.635539420549,2.0
-2852.3454545454547,-3851.7818181818184,-1139.0545454545454,7383.463636363636,-6402.872727272727,-1530.909090909091,-466.94545454545454,-2964.581818181818,7315.054545454545,1846.1272727272728,699.5272727272727,145.54545454545453,-2101.181818181818,2433.327272727273,463.4,-967.5636363636364,-2190.2818181818184,-3123.172727272727,3396.323968475767,3914.287863669383,1082.5675778726968,8052.212699486311,7319.850055728403,993.1834815879558,2196.4222264912532,3056.3871166693116,1564.0121996522782,2600.368061742207,3740.160416367898,370.47099349988713,2794.8054288490216,2774.7126767193586,642.8364446307119,5163.08323058523,4794.575723255714,2758.154313235544,2.0
-2850.2727272727275,-4016.327272727273,-1450.5272727272727,8361.4,-6346.236363636363,-1393.9272727272728,-1940.0545454545454,-3226.2181818181816,7355.745454545455,78.41818181818182,-2119.190909090909,115.42727272727272,178.1090909090909,545.0181818181818,187.42727272727274,1736.0545454545454,130.0909090909091,-32.054545454545455,1891.2814410489511,5002.558636445392,991.6354050400406,2733.4472880162944,9774.652677323838,1502.94755070338,1496.5921156618315,4081.1102441766957,1392.364140174177,2857.7060520055984,4504.689571577712,495.46834517896315,4409.860161348047,4291.521863949937,880.0198495601303,3256.282397392807,6996.666284797814,4860.180929734207,2.0
