AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
1668,270,2800,6018,5592,-636,4374,-10056,-876,-789,-3815,597,-878,-1284,7098,527,53,417,5.08,1149,5838,0.0
-674,744,5850,4218,4199,-1321,4764,-9782,-3586,-1678,-2871,-110,-850,-1244,7128,500,65,105,5.08,1188,6037,0.2
-806,392,7598,3581,2837,-1597,5240,-11162,-4046,-2523,-2422,-811,-1218,-1196,7016,452,12,2,5.08,1300,6609,0.3
-972,1428,7748,4304,231,-1303,4406,-10244,-3476,-1720,-2822,-905,-1602,-792,7042,329,-14,-8,5.08,1158,5888,0.4
130,3402,6928,4198,-1358,-911,5660,-10170,-3126,-1656,-2892,-970,-1480,-538,7168,276,-33,60,5.08,1295,6584,0.5
1254,4698,6572,3385,-2040,-1018,6162,-10228,-2502,-1773,-2964,-1308,-1216,-572,7454,225,-118,124,5.07,1325,6720,0.6
1818,5092,7902,1883,-2393,-1012,6148,-10218,-2364,-858,-2659,-1587,-852,-654,7358,164,-209,106,5.08,1158,5888,0.7
2142,4332,8262,1453,-2823,-1010,6658,-8454,-3116,-1327,-2764,-1696,-1186,-900,7110,108,-223,44,5.08,1281,6509,0.8
3494,4090,6436,1238,-3360,-538,9802,-8808,-2548,-2291,-528,-1064,-1730,-690,7114,-16,-206,19,5.08,1178,5987,1.0
4252,5002,6346,1323,-3523,-126,7802,-7672,-3220,-1261,-2182,-1432,-1628,-494,7346,-68,-186,19,5.08,1310,6658,1.1
4618,5232,6586,1479,-3442,219,9536,-7916,-3590,-1392,-2689,-1680,-1230,-514,7214,-102,-151,13,5.07,1310,6645,1.1
5232,4542,6504,1978,-3083,528,9160,-6998,-3286,-1874,-1285,-1239,-1346,-562,7356,-142,-120,-91,5.08,1153,5863,1.3
5508,4336,5298,2424,-2929,730,9860,-7612,-2776,-1074,-981,-1924,-1546,-474,7546,-176,-131,-67,5.08,1295,6584,1.4
6510,4952,4226,2555,-2729,1079,9702,-6324,-2502,-701,-679,-1623,-1720,-166,7518,-205,-122,24,5.07,1295,6571,1.5
6430,4994,4322,1812,-1239,1064,9890,-6182,-2550,462,-472,-1453,-1036,-258,7392,-222,-27,79,5.08,1149,5838,1.6
7806,4484,3830,1455,17,2277,10820,-5320,-2758,676,-540,-2356,-1268,-360,7262,-239,-2,131,5.07,1334,6769,1.7
7022,4452,3092,394,1930,1516,9340,-4270,-3504,2754,475,-2016,-1802,-336,7484,-268,47,153,5.08,1134,5764,1.8
6080,4048,3232,-690,2542,1221,9936,-3474,-3488,4296,358,-1956,-1688,-108,7374,-247,78,284,5.07,1339,6794,1.9
5302,3254,3184,-1724,2909,999,10152,-1074,-4094,5778,30,-1257,-1378,-358,7426,-236,98,333,5.07,1349,6844,2.0
4076,4250,4396,-4530,3512,1298,7224,-1298,-3580,4075,1871,-2102,-928,-814,7356,-245,107,253,5.08,1153,5863,2.2
3418,4302,5536,-6749,3614,967,6954,-882,-3638,2752,2255,-2971,-638,-930,7136,-221,173,74,5.07,1305,6621,2.2
2458,1016,6900,-9358,3001,-269,7484,-404,-3918,3876,2907,-3823,-1506,-644,7356,-204,141,87,5.08,1149,5838,2.4
2128,-2406,8894,-10103,2145,-1054,6798,902,-3294,3757,4716,-4589,-1538,-450,7484,-194,94,222,5.07,1354,6869,2.5
2326,-4924,8806,-8742,1347,-1963,8080,1078,-3688,4055,5094,-4052,-1352,-508,7240,-194,42,356,5.07,1310,6645,2.6
3466,-4952,9722,-4103,-1526,-2353,5116,2244,-3034,2907,4766,-4170,-1154,-832,7264,-255,-19,345,5.08,1139,5789,2.7
4936,-3674,9770,-3460,-2055,-2588,6688,1140,-2150,1868,4741,-3427,-1162,-1274,7356,-261,102,187,5.07,1281,6497,2.8
4962,-1392,8368,-2294,-1273,-3485,6938,446,-1488,2384,4223,-2469,-1258,-1560,7330,-303,130,-27,5.08,1163,5913,2.9
4066,-164,8876,-2450,-3060,-4189,6018,690,-684,2608,3684,-2163,-1382,-1482,7048,-359,129,-68,5.07,1295,6571,3.0
4506,262,11518,-3031,-4925,-4799,5272,1254,-646,2610,3228,-1562,-1334,-1338,7260,-425,140,-115,5.07,1305,6621,3.1
4318,-252,13824,1910,-5098,-4348,4866,2166,-1386,1504,2287,-246,-1600,-592,7410,-446,179,-158,5.08,1158,5888,3.3
2812,5612,12300,2334,-6008,-4129,4848,308,-1726,277,3168,2836,-1520,-206,7442,-422,142,-182,5.07,1305,6621,3.3
3166,5552,12000,1597,-6462,-3137,3528,116,-2042,626,1626,627,-1218,-218,7450,-401,67,-208,5.08,1310,6658,3.4
3490,4636,12042,1611,-6905,-2523,3866,-1886,-1232,377,2738,3872,-1540,-560,7406,-376,-50,-130,5.08,1149,5838,3.6
2932,4832,11302,1334,-6646,-2046,2854,-4224,-266,86,2510,3318,-1288,-944,7182,-381,-96,-142,5.07,1334,6769,3.7
3206,3194,11376,1130,-5353,-663,4606,-4696,-1496,-51,2414,534,-1030,-830,7122,-365,-25,-186,5.08,1149,5838,3.8
2840,2996,10986,1120,-4959,-192,3856,-7748,1198,-845,2195,841,-1182,-892,7262,-290,-7,-177,5.08,1359,6907,3.9
4168,3138,10918,754,-5029,562,4540,-6134,3610,-933,1931,1493,-1450,-1120,7420,-223,-63,-113,5.07,1329,6745,4.0
6410,4364,9812,-1317,-3951,1374,3894,-5884,3162,378,-40,-450,-1362,-2104,7480,-139,-98,-239,5.08,1139,5789,4.1
6446,4140,9296,-2089,-3626,1707,3846,-3846,3366,-672,-324,1414,-2150,-1254,6380,-76,-89,-683,5.07,1305,6621,4.2
6880,3494,9002,-1684,-3440,2233,5438,-4322,3260,-2927,1048,3984,-1242,-448,9090,-49,28,-251,5.07,1315,6670,4.3
9756,1286,6326,359,-3205,3123,11382,-13076,4198,-1262,-2732,3142,-1198,-984,7318,-6,20,-6,5.07,1178,5976,4.4
10582,-50,4582,1273,-2821,2722,10354,-7352,1952,-1667,-1846,-452,-1014,-1118,7712,-35,-173,-27,5.06,1364,6905,4.5
11158,154,3814,1162,-1363,2684,9188,-5510,1712,-1677,-3747,1650,-1390,-960,7334,-12,-54,-14,5.07,1168,5926,4.7
12076,1840,1576,-702,257,2454,8730,-5588,1144,-1156,-1374,585,-1394,-788,7450,48,104,-29,5.08,1300,6609,4.8
12602,1508,320,-2186,2019,2070,5504,-4154,1070,-2386,1038,1446,-1616,-464,7662,116,82,10,5.06,1369,6930,4.9
11868,150,1204,-1521,4213,2629,8244,-5090,1114,-4545,-163,-1145,-1542,-536,7852,180,206,37,5.08,1158,5888,5.0
11458,-502,1018,-1202,4359,2329,6944,-4968,1254,-5009,1038,-1044,-1128,-670,7546,133,86,-21,5.07,1329,6745,5.1
10906,132,510,-27,5128,2377,5610,-6380,1278,-3038,895,1258,-1606,-438,7166,80,127,-5,5.08,1153,5863,5.2
9838,-694,662,397,5965,1925,5098,-5630,1476,-1857,241,1428,-1744,-456,7154,69,151,71,5.07,1300,6596,5.3
8228,-3756,718,2368,6586,957,5150,-4654,940,-1119,-861,2027,-1728,-428,7384,61,128,352,5.08,1153,5863,5.4
7352,-4248,888,4394,6391,427,5288,-3566,284,-1704,-469,2325,-1574,-262,7504,75,91,456,5.08,1281,6509,5.5
6372,-3452,186,5901,5790,165,4698,-3554,-258,-2918,-500,2242,-1402,-262,7580,96,70,533,5.08,1295,6584,5.6
5068,-2070,-1712,6921,5678,-431,4774,-5818,-732,-5741,1139,1295,-1398,-58,7504,182,32,590,5.08,1153,5863,5.8
3862,-1974,-1770,6842,5617,-713,4224,-6972,-966,-6148,1381,984,-1288,-280,7414,247,20,551,5.07,1315,6670,5.8
2360,-1662,-594,7332,6044,-1052,4862,-8814,-1040,-5452,-669,637,-1118,-1042,7062,313,97,343,5.08,1149,5838,6.0
1540,-418,748,7105,6080,-1233,5252,-9632,-1018,-4106,-1239,264,-1052,-1236,7116,323,155,181,5.07,1310,6645,6.1
-330,1620,3152,5997,6429,-2296,6258,-9482,-532,-4000,-1756,-696,-918,-1208,7060,306,108,42,5.08,1158,5888,6.2
-834,2486,2882,5200,5585,-2049,5396,-9234,-720,-4223,-2495,-1437,-962,-1194,7176,287,90,14,5.08,1315,6683,6.3
846,3416,3164,4196,4400,-2120,5626,-9296,-322,-4040,-3134,-2173,-918,-1128,7024,285,70,-66,5.07,1325,6720,6.4
1862,5224,2822,2020,3237,-1491,6456,-8798,-1066,-3479,-3218,-3541,-1160,-1080,7046,264,128,-244,5.08,1183,6012,6.5
2700,5522,3250,140,2463,-1270,7112,-9888,-1222,-1772,-2931,-4864,-1152,-876,7156,236,134,-274,5.07,1320,6695,6.6
3282,4718,3132,-1497,1894,-1243,9370,-8928,-2268,404,-2650,-4699,-1180,-778,7126,185,92,-272,5.07,1310,6645,6.7
3254,2880,3550,-3256,677,-1249,9410,-5684,-3688,4195,-2564,-3490,-1458,-594,7110,96,54,-209,5.08,1149,5838,6.9
3528,1628,4214,-3893,-6,-1175,10512,-4586,-4328,5030,-2438,-3506,-1660,-634,7304,41,65,-173,5.07,1300,6596,6.9
3470,2482,5634,-4019,-590,-599,11904,-3550,-4946,5676,-1855,-2350,-1232,-662,7874,-13,109,-264,5.08,1163,5913,7.1
3612,3062,6106,-5047,-943,-395,11458,-2770,-4638,5942,-1757,-2628,-1212,-588,7722,-18,77,-252,5.08,1281,6509,7.2
3898,2224,6498,-6048,-913,-652,10426,-828,-4496,5709,-952,-2788,-1534,-520,7492,-9,35,-198,5.07,1325,6720,7.3
6094,1658,7248,-8131,-1644,-1329,9038,1300,-5270,4170,1174,-2295,-1794,-708,7472,-27,13,-105,5.08,1149,5838,7.4
5090,-432,9232,-9784,-2089,-453,9338,1668,-5622,4057,2047,-2246,-1424,-1044,7432,-51,27,-164,5.07,1349,6844,7.5
4898,-5338,11432,-8813,-2606,484,9648,1554,-5612,4683,2330,-1935,-1056,-1204,7534,-73,81,-305,5.07,1325,6720,7.6
3362,-3428,15198,-8338,-2894,-1749,8116,1430,-3182,4966,2017,-601,-1398,-1142,7344,-114,38,-341,5.08,1144,5814,7.7
2734,-3614,14432,-6986,-3449,-3078,7182,1110,-1858,3265,3692,-1860,-1762,-880,7064,-167,-12,-196,5.07,1310,6645,7.8
5584,-3126,12420,-3248,-5199,-5185,6918,126,36,2184,4234,-2070,-1748,-206,7460,-260,-79,73,5.08,1139,5789,8.0
5716,-1876,13266,-1898,-5411,-4351,6242,1288,-376,2770,3806,-1183,-1282,-302,7742,-286,-102,108,5.08,1334,6782,8.0
4336,-976,14526,-398,-5512,-4580,5576,1542,216,2715,3357,-357,-1264,-562,7314,-298,-89,144,5.07,1310,6645,8.1
3034,1888,15008,-147,-7195,-3770,5494,1420,374,1477,2496,1007,-1540,-1308,7048,-358,103,-196,5.08,1188,6037,8.3
2978,1994,15102,86,-7128,-3734,5578,904,-876,468,2092,1506,-1940,-1328,7412,-400,-73,-49,5.07,1300,6596,8.4
2468,1552,14576,378,-6904,-3803,5436,-762,-2370,-19,1756,1411,-2290,-886,7370,-461,-126,178,5.07,1334,6769,8.5
3000,-124,13136,1732,-6320,-2704,5288,-1122,-2858,160,2243,2169,-1550,-280,7390,-443,-108,283,5.08,1144,5814,8.6
1600,-50,12328,3560,-7400,-1270,4070,-970,-1506,-403,2092,3165,-1186,-578,7430,-361,-136,263,5.07,1305,6621,8.7
4370,2512,10212,3194,-5754,855,3872,-7652,2186,226,-482,1451,-1586,-842,7096,-168,-85,377,5.07,1349,6844,8.9
3446,2084,9388,1492,-5046,1795,5714,-5292,1680,231,46,2862,-1664,-1006,6994,-114,-150,507,5.07,1339,6794,8.9
4172,2000,8426,321,-4224,2253,5368,-6938,1156,420,1183,2343,-1322,-1102,6816,-75,-100,572,5.06,1364,6905,9.0
5678,236,4896,256,-2614,2648,2700,-1632,2150,-290,2657,4274,-766,-1028,7214,-32,-107,410,5.08,1149,5838,9.2
6126,-326,3710,1142,-1927,2918,5108,-8612,6604,1872,-423,3445,-956,-964,7386,1,-166,338,5.06,1339,6781,9.3
7334,804,3314,743,-987,2678,7666,-6286,1742,1840,47,1386,-1366,-988,7416,33,-106,182,5.08,1173,5963,9.4
8060,1492,3020,-607,-308,2199,6242,-7202,1232,1820,263,1057,-1440,-872,7428,32,-85,180,5.07,1310,6645,9.5
8116,512,4322,-1773,700,1852,6244,-4940,588,929,865,670,-1090,-788,7280,12,-44,102,5.08,1158,5888,9.6
8272,254,5834,-1115,691,1956,5684,-4756,438,324,451,634,148,-2074,8354,-19,183,360,5.08,1334,6782,9.7
9418,1664,6448,-886,718,1812,5502,-5940,548,-2452,39,652,-1148,-886,7930,16,-159,92,5.08,1149,5838,9.8
9982,716,5896,-1122,1035,1504,5946,-7988,1832,-3737,190,62,-1306,-764,7168,15,-59,188,5.08,1310,6658,9.9
9986,-728,5474,-1271,1348,989,5002,-7248,3108,-4571,-144,33,-1292,-820,7688,-16,-156,221,5.07,1305,6621,10.0
10988,-840,3386,-887,2062,1582,4720,-7198,2432,-5149,-395,35,-1302,-558,7384,-19,-107,352,5.08,1158,5888,10.2
12024,-1126,2522,-726,2621,1870,5238,-7562,1912,-3906,251,-222,-1276,-786,7128,0,0,350,5.07,1325,6720,10.2
11076,-676,2326,-999,3915,2035,5874,-5776,2000,-889,-157,713,-1364,-972,7348,52,90,129,5.08,1149,5838,10.4
10060,-1982,2048,-203,4360,2116,6144,-3240,1676,-341,-920,1512,-1372,-896,7426,62,32,42,5.07,1344,6819,10.5
8882,-2854,2438,1422,5073,1619,5698,-2092,496,-2215,-999,1742,-1584,-618,7270,89,85,41,5.08,1149,5838,10.6
8100,-3354,2350,2227,4947,1246,5530,-1440,-532,-4197,153,2117,-1560,-358,7312,94,120,143,5.07,1325,6720,10.7
7284,-3814,1784,2689,5035,660,5226,-1764,-774,-6008,1332,2035,-1712,-38,7344,126,200,242,5.06,1403,7103,10.8
6026,-6214,542,4705,6287,-555,4574,-3416,-636,-8338,1726,2328,-1166,114,7526,232,144,426,5.08,1168,5938,10.9
4684,-7182,-572,7314,6573,-789,6660,-4814,-1390,-9375,1455,1913,-1228,-62,7592,328,108,472,5.06,1393,7053,11.0
3540,-3388,-674,11111,5416,-396,5806,-6934,-2410,-6416,-1461,1356,-1118,-636,7606,453,62,479,5.08,1153,5863,11.2
2122,-1422,-226,11267,5010,-750,5966,-8740,-3458,-5312,-2076,862,-1194,-1036,7042,456,44,413,5.07,1417,7191,11.3
1674,334,890,10969,5383,-1107,6340,-10534,-3860,-3405,-1616,214,-1246,-1220,7206,432,56,306,5.07,1300,6596,11.3
134,2758,2340,8863,5010,-1675,5104,-8596,-2514,-1396,-2179,71,-1234,-1346,7176,359,30,104,5.08,1153,5863,11.5
-596,2400,3664,7915,4341,-2007,4854,-7576,-1972,-2054,-2453,76,-1090,-1154,7188,331,0,-13,5.07,1344,6819,11.6
86,2628,4146,6934,2865,-2181,4060,-9588,-2430,-3305,-2162,-2014,-1232,-1046,7218,291,-51,-161,5.08,1134,5764,11.7
546,3140,3804,6579,2437,-2077,4530,-10564,-2844,-3797,-1615,-2211,-1268,-1078,7070,261,6,-216,5.08,1295,6584,11.8
1072,5674,3578,5790,1258,-1418,6012,-10036,-3186,-3641,-2141,-3439,-1230,-1264,7238,212,2,-274,5.07,1305,6621,11.9
2756,7436,3502,2597,-134,-983,8080,-10316,-2794,-3716,-2396,-4541,-742,-928,7650,146,-55,-368,5.08,1149,5838,12.0
3198,6518,4046,524,-672,-1227,10022,-9558,-2514,-839,-3216,-5455,-748,-868,7028,114,-94,-478,5.07,1334,6769,12.1
3910,5108,4588,-1069,-1030,-1371,9094,-6846,-2782,1603,-3874,-4958,-928,-836,7272,66,-56,-548,5.07,1310,6645,12.2
4242,2238,5206,-1338,-1864,-1497,12082,-4150,-4268,2036,-2825,-4473,-1784,-614,7298,-85,9,-407,5.07,1183,6001,12.4
4752,3208,5424,-431,-2047,-669,13008,-6202,-4996,3102,-951,-3193,-2192,-252,7316,-177,55,-262,5.07,1320,6695,12.5
5148,5870,4840,-956,-2275,-313,10848,-5070,-5652,4902,-812,-2832,-1794,142,7466,-217,115,-32,5.07,1300,6596,12.5
4992,7576,5322,-3717,-478,468,11616,-3244,-6436,5943,108,-1895,-368,-484,7614,-110,54,-125,5.08,1149,5838,12.7
5050,8376,5658,-6339,-247,1024,11248,-2650,-6446,6196,576,-1319,-744,-1056,7496,-65,35,-259,5.07,1310,6645,12.8
5282,1940,6436,-9190,270,435,10936,-1706,-5708,5566,1758,-1018,-2330,-932,7322,-131,5,-169,5.07,1144,5802,12.9
4330,-2434,6900,-8055,-120,1335,10196,-1054,-5552,5441,2043,-982,-2100,-238,7588,-166,21,48,5.08,1325,6733,13.0
4668,-360,9948,-7163,-931,884,8780,-592,-4874,5406,2549,-1292,-1556,-42,7570,-180,-4,177,5.07,1295,6571,13.1
5258,168,13370,-7349,-2098,702,9022,2128,-4460,5017,3550,-1389,-324,-1194,7466,-120,108,-149,5.08,1139,5789,13.2
6178,-1748,12878,-7334,-2071,629,8480,2152,-3860,4436,5379,-1592,-1404,-1630,7412,-149,83,-316,5.07,1310,6645,13.3
5124,-1290,11764,-6509,-2205,-1889,8302,1006,-3340,4220,5392,-1845,-2206,-1110,7260,-225,32,-241,5.07,1325,6720,13.4
5190,-160,9794,-5604,-3346,-3985,5824,-144,-1544,3860,5681,-1977,-1914,-336,7048,-390,83,92,5.08,1158,5888,13.6
3928,-686,10710,-5777,-3601,-5053,3904,-112,172,4216,5134,-1680,-1240,-344,7208,-426,131,197,5.07,1285,6521,13.6
2422,-2140,14542,-1005,-6863,-3129,5334,2762,-982,2828,4441,650,-1362,-580,7558,-379,169,44,5.08,1153,5863,13.8
5138,2240,13762,1810,-7407,-3002,4598,1094,-982,1970,3559,-184,-1596,-810,7446,-372,150,2,5.08,1305,6633,13.9
4564,2972,12808,2477,-7218,-2748,4222,-688,-768,1581,2933,-986,-1596,-964,7254,-383,53,95,5.07,1334,6769,14.0
2502,902,13038,3134,-7055,-2454,3574,-1704,-674,2133,2412,158,-1286,-1070,7276,-385,102,202,5.08,1168,5938,14.1
1476,1704,13454,2846,-7004,-2136,3598,-2164,-748,2649,2671,1625,-1194,-1248,7466,-406,124,78,5.07,1295,6571,14.2
1402,3516,13028,2747,-6417,-1735,4094,-418,-730,2689,2342,2101,-1512,-836,7394,-415,113,-22,5.07,1310,6645,14.3
2336,3320,11624,3193,-5214,472,5006,-968,-1370,842,1641,1919,-1648,-638,7250,-326,-23,127,5.08,1153,5863,14.4
2620,4018,10546,3492,-5323,1407,4498,-3314,34,-540,1360,1910,-1536,-912,7216,-258,-76,240,5.07,1325,6720,14.5
4420,4008,8888,985,-4304,1347,3028,-4636,3190,464,787,2195,-1608,-712,7242,-163,-41,323,5.08,1153,5863,14.7
4332,3922,7688,-462,-3915,1542,4540,-3098,3128,762,558,1968,-1320,-704,7384,-96,16,324,5.07,1349,6844,14.7
5308,3838,6972,-1392,-3743,1808,5082,-2714,2632,796,594,1883,-1214,-628,7506,-39,-10,300,5.07,1320,6695,14.8
6596,4480,5814,-2486,-3477,2379,4152,-3144,3660,-2085,1905,5663,-1344,-944,7382,16,-130,317,5.08,1139,5789,15.0
7214,4320,4818,-3339,-2870,2547,5954,-4666,3794,-2260,938,1673,604,-2662,8994,-95,-488,132,5.07,1310,6645,15.1
8200,2346,3248,-2668,-2002,3077,5426,-6938,4182,-2348,823,2273,-248,-1702,7256,23,108,-137,5.08,1144,5814,15.2
8854,1258,3300,-2241,-1595,3256,6360,-6880,3500,-454,-288,1300,-1046,-1116,7624,0,-119,70,5.08,1354,6882,15.3
9512,1518,3588,-1585,-1070,3305,6948,-6672,2810,389,-536,795,-1280,-1150,7210,19,17,-22,5.07,1344,6819,15.4
10318,1320,2868,-1963,-12,2899,6606,-6508,3120,34,-2015,801,-1612,-814,7338,28,-85,117,5.08,1158,5888,15.5
9664,1186,2558,-2871,490,2726,6528,-5690,2524,-566,-1795,521,-1680,-488,7642,53,-74,234,5.07,1300,6596,15.6
9976,-1104,1544,-2002,1963,2738,6088,-5348,1806,-1522,-1878,607,-1330,-776,7556,57,-48,297,5.08,1168,5938,15.7
11086,-2258,826,-540,3061,2665,5292,-4630,1564,-1819,-1717,514,-1344,-822,7394,71,-83,222,5.07,1310,6645,15.8
10124,-2128,1024,423,3857,1811,5444,-5424,1004,-2731,-2764,193,-1566,-854,7446,95,27,131,5.08,1144,5814,16.0
10416,-1664,996,273,4389,2104,5510,-5760,890,-3503,-1709,-592,-1270,-770,7410,113,-14,188,5.06,1359,6880,16.1
10050,-2242,922,571,5185,1893,4878,-6822,948,-3616,-1064,-413,-1012,-858,7420,134,-22,148,5.07,1325,6720,16.2
8748,-2732,1418,1892,5341,1042,4568,-5350,1178,-3585,-1239,1088,-1352,-600,7380,166,8,157,5.08,1168,5938,16.3
7906,-1752,1510,2178,5532,494,4018,-6062,972,-4284,-1326,1399,-1552,-480,7312,185,34,169,5.07,1320,6695,16.4
6202,-1254,430,1885,6026,-289,4054,-8034,998,-4490,-545,729,-1420,32,7664,251,16,264,5.08,1197,6087,16.5
5312,-1610,384,2163,5523,-408,3704,-7456,1160,-4490,-763,950,-1640,160,7650,303,40,310,5.08,1285,6534,16.6
5040,-2068,934,2558,5150,-406,4284,-8178,1316,-4296,-1270,1171,-1534,-44,7556,360,51,359,5.07,1320,6695,16.7
3526,-2134,1974,4198,5637,-370,4710,-7476,-1168,-4336,-657,633,-998,-496,7442,441,9,283,5.08,1149,5838,16.8
2886,-2074,2384,4603,5611,-629,5450,-8210,-1648,-4249,-553,417,-1072,-902,7044,471,38,209,5.06,1344,6806,16.9
2282,-472,2734,4681,6126,-1093,5492,-9244,-2666,-3358,-1080,906,-1420,-1348,7022,423,56,59,5.08,1149,5838,17.1
2178,-452,2992,4662,5819,-1023,6490,-8926,-3334,-2217,-1884,1456,-1214,-1398,7208,350,63,-17,5.08,1310,6658,17.2
1894,588,3422,4768,5376,-1151,7392,-8356,-3028,-2514,-1474,2047,-970,-1518,7110,276,8,-93,5.07,1295,6571,17.2
1186,2334,4374,4373,4169,-977,8642,-8438,-2592,-3514,-1481,909,-1348,-1116,6800,173,143,-35,5.08,1153,5863,17.4
1412,2176,4446,4019,3303,-686,8490,-9488,-2542,-3138,-1610,469,-1674,-702,7254,132,34,-329,5.07,1295,6571,17.5
1828,1818,5274,3728,1643,-286,9136,-10016,-1902,-961,-1823,345,-1260,-528,7028,128,-5,-166,5.08,1281,6509,17.6
1898,2914,6204,3303,319,-227,9288,-9382,-1454,476,-1650,424,-1048,-690,7096,97,-51,-192,5.07,1320,6695,17.7
2464,3508,6454,2809,-359,-165,9824,-8060,-1876,974,-1301,-210,-788,-810,7090,67,-63,-288,5.06,1349,6831,17.8
3426,3584,6450,1946,-1031,-259,10584,-7996,-2188,1300,-292,-294,-1130,-950,6940,-29,-143,-364,5.08,1163,5913,17.9
3952,3632,6096,1265,-1343,-79,10472,-8420,-2374,2615,-520,-259,-1610,-806,7004,-117,-104,-267,5.07,1290,6546,18.0
5106,2656,5078,529,-1624,196,10076,-6128,-2558,4170,-1800,-138,-2042,-818,7502,-276,-2,-78,5.08,1144,5814,18.2
5176,2286,4706,181,-1811,243,7678,-6166,-1850,4883,-3064,-1451,-1998,-368,7874,-309,35,-75,5.08,1320,6708,18.3
4804,3310,4692,-1066,-1873,329,11280,-4044,-2846,3326,-1797,-1435,-1252,-200,7818,-285,36,-26,5.07,1300,6596,18.4
5416,1962,5804,-3583,-858,248,8490,-3008,-2892,2010,1265,-1824,-670,-1042,7090,-179,140,-278,5.08,1139,5789,18.5
5868,1128,5992,-4860,-658,-155,8528,-2810,-2618,2443,1722,-2079,-1594,-1220,7232,-200,140,-311,5.08,1266,6435,18.6
6734,366,5610,-5323,-546,530,9430,-2076,-3116,2981,1977,-2180,-2028,-1158,7486,-295,145,-253,5.07,1354,6869,18.7
5902,1202,7854,-7351,227,128,6592,-1350,-2916,3457,3513,-3267,-1396,-108,7764,-338,76,0,5.08,1149,5838,18.8
6792,-1644,9842,-8163,724,-989,7768,-964,-3058,3633,4043,-3168,-638,-140,7754,-259,65,-4,5.06,1349,6831,18.9
6782,-7060,10918,-5562,-287,-1463,6238,646,-1728,2833,4701,-3201,-1166,-830,7882,-158,47,-67,5.08,1144,5814,19.0
