AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5774,5696,-1168,3267,-1739,-1153,14,2212,-790,-5937,4132,3141,-542,750,6850,-339,158,-2514,5.08,963,4894,0.0
-5976,5436,-1138,3104,-1423,-699,2130,-1398,-1304,-6258,5296,1212,-502,826,6296,-81,164,-2305,5.08,958,4869,0.1
-5852,5594,-628,2948,-1715,-537,1890,-2134,-1430,-6411,5664,2626,-756,548,6052,63,195,-2251,5.07,1085,5505,0.2
-5550,5070,-248,2523,-1571,-399,1300,-3066,-1664,-3474,3936,6617,-1560,1214,3820,270,871,-1478,5.08,953,4845,0.3
-5042,4596,-468,2594,-1408,-270,564,-2430,-912,-1839,3121,8571,-2590,-736,5346,183,438,-2655,5.08,1056,5366,0.4
-4528,4270,-434,3025,-1214,7,524,-2614,194,-372,2891,9395,-488,-672,6004,231,523,-2043,5.07,1124,5703,0.5
-4560,4918,576,3936,-1625,426,448,-3098,984,1278,4076,10371,-258,-1074,6610,95,756,-1909,5.08,958,4869,0.6
-4406,5412,1770,4154,-1943,530,1306,-2854,1534,861,6451,11077,-580,-748,5470,52,862,-2002,5.07,1109,5629,0.7
-4070,5984,2392,3764,-2247,378,-596,-830,2316,-3999,7962,11398,-990,-636,5862,-34,881,-1948,5.08,958,4869,0.8
-4460,6226,2458,3591,-2126,368,-1102,-3234,2702,-6003,7702,11266,-1210,-780,6136,-80,1112,-1947,5.08,987,5018,0.8
-4974,7120,1546,3441,-1430,-7,-5562,-22344,3672,-9723,2527,4789,-954,718,10042,-93,1064,-1803,5.06,1100,5568,1.0
-6826,8178,914,3450,-992,-288,-3960,-30454,7050,-8216,-901,-1307,-592,1536,12744,53,853,-1967,5.07,1100,5579,1.0
-8514,9822,1082,2931,-1123,-840,2632,-32676,7356,-3388,-1308,-5029,-392,2706,14112,335,-175,-1456,5.08,958,4869,1.2
-7570,9046,1694,2478,-1140,-744,3206,-23276,3880,-4437,-4255,-7201,-1242,1302,9236,295,-423,-841,5.07,1163,5902,1.2
-6200,8058,1860,2077,-1170,-633,4902,-21176,3154,-5604,-9424,-6066,-1884,1022,7716,59,-727,-136,5.06,1114,5643,1.3
-4974,7022,1680,1964,-10,377,3370,-19650,-1048,-3956,-16268,-8985,-2786,158,6480,-350,-674,370,5.08,963,4894,1.4
-5860,7806,1360,1770,859,557,13714,-18066,3270,-1628,-2255,-8903,-2136,-448,7178,-571,-562,697,5.08,1070,5441,1.5
-6814,8132,938,1343,717,512,5394,-12630,666,-435,-900,-10705,-1276,-704,8692,-726,-632,966,5.07,1070,5430,1.6
-6318,7492,288,830,-1145,442,7838,-12974,-938,306,-5586,-7069,-922,-462,8912,-775,-741,1048,5.08,958,4869,1.7
-5338,7528,346,506,-563,457,6392,-8044,64,2045,5123,-8900,-1216,-444,8592,-730,-726,977,5.07,1100,5579,1.8
-5414,7464,-66,-388,232,140,1564,-2750,-290,1016,5390,-9244,-1626,-570,7546,-610,-490,619,5.08,987,5018,1.9
-5788,5806,542,-455,741,449,5274,-3448,-522,2727,10238,-6440,-1106,-1142,7274,-540,-300,325,5.07,1109,5629,2.0
-6408,6778,-406,-642,551,316,2562,346,-444,2763,13858,-5727,-808,-1258,7286,-521,-298,26,5.07,1090,5530,2.0
-5800,5612,-408,-351,243,924,1366,2240,-1138,1417,3622,-5922,-1022,-872,6604,-450,-127,-334,5.08,958,4869,2.2
-5924,5432,-514,-66,250,1300,3010,1428,-328,1263,5917,-4059,-936,-506,6506,-368,-99,-373,5.07,1095,5554,2.2
-5666,4834,-722,-96,145,1470,2380,3294,-220,613,4182,-2301,-612,-1002,6370,-273,38,-348,5.08,963,4894,2.4
-5602,5132,-796,-89,203,1504,2412,4654,-180,-475,1670,-1932,-446,-1554,6334,-278,69,-353,5.07,1065,5406,2.4
-5474,5062,-474,-246,287,1796,3104,5188,560,-1259,-268,-376,-710,-1200,6062,-322,18,-429,5.08,948,4820,2.5
-5272,4846,-530,-405,383,1765,2534,7050,1220,-1546,-473,1873,-682,-790,5982,-343,45,-338,5.07,1080,5480,2.6
-5054,4652,-448,-421,553,1749,3392,5366,944,-1936,-170,1532,-424,-554,6272,-342,49,-217,5.07,1119,5678,2.7
-4646,4194,-546,-109,629,1669,2522,5100,1658,-3409,1352,3033,-474,-342,6108,-287,52,-161,5.08,953,4845,2.8
-4384,4332,-332,24,670,1617,2992,1874,-812,-3402,-845,4346,-484,-554,5830,-249,37,-139,5.07,1065,5406,2.9
-4086,5150,504,-275,383,1314,774,1620,988,-3058,1406,7661,-560,-602,5508,-127,211,-125,5.08,958,4869,3.0
-3678,5820,408,-657,510,1156,-34,1414,1780,-4689,39,7100,-708,-728,5370,-47,222,-110,5.07,1070,5430,3.0
-3036,5388,-136,-980,927,715,-1868,-3214,3070,-3183,-1199,7721,-828,-346,5436,80,300,34,5.08,948,4820,3.2
-2716,5216,42,-648,1133,521,-1194,-2160,3062,-1810,-1427,8289,-414,-218,5986,134,336,152,5.08,1085,5515,3.2
-3056,6822,1306,-66,878,302,-1154,-868,2012,-3234,-324,9431,-708,888,8204,266,364,296,5.08,958,4869,3.3
-3716,8248,1384,-108,716,236,-1684,-3806,2026,-4438,-1200,10122,-778,1716,9508,335,287,525,5.08,1070,5441,3.4
-4334,9732,452,-478,997,108,-2262,-9424,2034,-6216,-278,9777,-436,2680,10834,365,38,876,5.07,1095,5554,3.5
-5410,11102,-1350,-2176,2046,-426,-2086,-20976,-2136,-4539,-1173,4474,-1184,3198,11806,329,-423,2390,5.08,953,4845,3.6
-6618,11162,-1046,-3437,2612,-809,-3792,-25110,-516,-1986,-2308,6099,-2304,2582,11140,90,-982,3212,5.07,1217,6174,3.7
-6256,10192,-106,-4330,2279,-713,-3848,-21456,-2384,-3058,-6637,5055,-2818,2540,8288,-3,-1265,3957,5.07,1114,5654,3.8
-4220,9262,504,-5061,2716,-72,674,-15566,-1948,-3979,-11139,3333,-2444,84,8144,81,-1315,4500,5.08,953,4845,3.9
-4480,8506,256,-5082,3523,108,1262,-13148,-1908,-3622,-8563,3264,-1932,-1962,8532,-93,-1370,4711,5.07,1085,5505,4.0
-5312,8566,-102,-4856,4070,367,-1442,-10854,-3296,-4497,-9115,789,-2134,-2244,8440,-333,-1266,4652,5.06,1109,5618,4.0
-5556,7966,-408,-4332,3990,462,4374,-16340,-1134,-492,-8094,4555,-2448,-1382,8586,-569,-1066,4601,5.08,963,4894,4.2
-5196,7932,-488,-4294,3654,399,1712,-10132,-1850,1764,-1886,4669,-1704,-888,8252,-601,-983,4550,5.06,1144,5791,4.2
-5160,7460,-778,-4258,3437,274,-4428,-9054,-5046,1055,-6766,6504,-1644,-690,8246,-535,-845,4419,5.07,1100,5579,4.3
