AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-7908,4852,1516,-1705,1450,-375,-7296,-4362,-1490,-177,-489,-670,-418,-692,7302,-197,-384,1199,5.08,1109,5640,0.0
-7656,4984,1920,-1714,1591,9,-6652,-4658,-1076,1103,397,304,194,-1436,7370,-163,-274,1283,5.08,1105,5615,0.2
-7324,4420,1914,-1566,1623,424,-6944,-4082,-1222,791,-127,479,496,-1472,7686,-165,-460,1453,5.06,1290,6534,0.3
-7396,4366,1292,-1428,1296,912,-6806,-3842,-1010,-270,-597,-151,-8,-1864,7110,-226,-511,1675,5.08,1119,5689,0.4
-7144,4308,1002,-1570,1088,1066,-6942,-4190,-1054,-943,-679,-543,-234,-2038,6646,-302,-443,1803,5.08,1256,6385,0.5
-7010,4420,860,-1828,1169,1180,-7068,-4496,-1010,-1313,-767,-646,-300,-2150,6736,-380,-420,1919,5.07,1281,6497,0.6
-6940,4400,864,-2392,1333,1152,-6674,-4640,-898,-1575,-991,-477,-70,-2144,6648,-430,-389,2040,5.08,1114,5664,0.7
-6790,4158,986,-2424,1157,1078,-6336,-4566,-682,-1442,-852,-290,50,-2090,6546,-408,-306,2014,5.07,1256,6373,0.8
-6632,3632,644,-2364,1039,1117,-6204,-4568,-648,-1436,-898,-261,312,-2186,6854,-344,-266,2012,5.07,1285,6521,0.9
-6668,3922,454,-2069,855,992,-6174,-4762,-914,-1756,-1112,-376,-8,-2222,6528,-204,-214,1996,5.08,1119,5689,1.0
-6620,4164,170,-1909,867,836,-6156,-5226,-1126,-1744,-1219,-370,62,-2454,6426,-141,-159,1924,5.07,1271,6447,1.1
-6656,4478,364,-1729,560,589,-6238,-4722,-1320,-1909,-1704,-487,-102,-2618,6410,-48,-1,1888,5.08,1114,5664,1.2
-6650,4544,256,-1656,386,462,-5846,-5318,-1232,-1631,-1376,-103,268,-2852,7084,-53,-100,1851,5.08,1266,6435,1.3
