AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
1432,21066,8448,8826,7578,3997,-4970,2632,-5330,-14812,-215,5036,550,-546,7380,-598,42,1308,5.08,978,4969,0.0
-13448,8772,432,-1343,1486,2599,-14106,-22886,-10172,-23826,-2255,-3828,1626,-624,5718,-675,-437,1293,5.08,973,4944,0.2
13548,1598,6572,1408,-2096,544,11318,-13162,-13756,-5827,-619,-3714,-750,-320,6212,-744,-940,1505,5.07,1085,5505,0.2
12862,2326,6020,2696,-3216,2138,10044,-7758,-6532,4836,-2137,2037,-2208,-442,6010,-649,-758,1558,5.06,1144,5791,0.3
3838,3982,2750,2458,974,940,7858,-1876,-6920,13479,-16,4124,372,-1054,6778,-123,232,856,5.08,968,4919,0.4
3710,2070,4128,2014,385,528,4034,2944,-8266,11140,338,5827,-36,-1856,6746,60,194,674,5.07,1095,5554,0.5
3940,4942,4622,-185,-524,78,5740,-2162,-7774,2497,-4134,5230,620,-2692,7784,50,233,546,5.08,982,4994,0.6
3238,6124,4160,-1608,-1495,6,13916,-6726,-7122,2191,2091,-275,1502,-1458,8550,39,36,451,5.07,1100,5579,0.7
5020,7788,3912,-3868,188,-817,11410,-4914,-5282,1577,-1239,-4056,1096,-276,9028,149,-219,308,5.08,1070,5441,0.8
4574,7666,4084,-4387,693,-940,9404,-3522,-5030,3172,-460,-6112,772,-656,9046,192,-293,229,5.08,1090,5540,0.9
3902,7700,4420,-3979,1026,-1447,7510,-2480,-4364,4165,1517,-6010,1054,-1266,8914,168,-405,152,5.06,1139,5766,1.0
2370,5140,4550,-2193,-496,-1465,6480,-2282,-3388,6262,5907,-1906,928,-1908,7648,63,-813,13,5.08,978,4969,1.1
1910,7100,4408,-1815,236,-2554,7126,-1170,-2714,7396,7147,-177,1384,-2946,7366,20,-831,-234,5.06,1149,5816,1.2
1550,6448,4872,-188,-3131,-2047,7434,-636,-3296,4997,3508,531,2178,-3940,7308,-25,-761,-1161,5.08,973,4944,1.3
1692,7770,3962,-1277,-3402,-2403,7118,-170,-2828,3866,2344,82,2528,-4124,7080,15,-745,-1901,5.08,1124,5714,1.4
2108,8830,4190,-2746,-2171,-2979,6692,-250,-3006,3531,1834,582,2736,-4178,6856,73,-598,-2633,5.07,1100,5579,1.4
1402,8300,4738,-3681,-2421,-3579,6180,-1136,-3892,4535,3525,4372,1916,-4206,6848,87,-496,-3748,5.08,968,4919,1.6
1382,8292,4938,-3258,-3176,-3740,4936,-1238,-4440,5081,3187,7248,1476,-4764,6478,-23,-270,-4316,5.08,1153,5863,1.6
1578,8956,4802,-2821,-4084,-3887,7012,-1534,-4992,4383,-145,6737,1360,-4588,7232,-168,-344,-4951,5.07,1119,5678,1.7
2098,10792,4164,-3606,-4960,-4171,8320,-1756,-3858,1156,-434,6812,1164,-4076,7098,-270,-50,-5982,5.08,987,5018,1.8
2016,11086,4140,-4778,-5091,-4476,9078,-3276,-3908,-652,1056,5366,854,-4208,6930,-288,200,-6533,5.07,1124,5703,1.9
1956,10778,4060,-5643,-4883,-4792,8554,-4070,-5364,-2350,3501,3957,416,-4478,7282,-306,258,-7197,5.07,1114,5654,2.0
1752,10204,4370,-6203,-5394,-5024,6996,-5532,-6008,-3703,4359,3631,-472,-4262,7574,-368,344,-8082,5.08,982,4994,2.1
2156,10848,4380,-6583,-5279,-5229,6490,-5994,-5700,-4325,5401,2422,-1228,-3916,7366,-400,445,-8520,5.07,1124,5703,2.2
2172,11510,4228,-7222,-5209,-5566,5864,-6872,-6496,-4491,6689,2087,-1528,-3670,7516,-426,529,-8877,5.07,1144,5802,2.3
1570,11622,2660,-7626,-5018,-6167,5558,-6328,-7594,-5090,7507,2264,-2072,-3874,7618,-451,725,-9614,5.08,978,4969,2.4
2328,11458,1964,-7516,-5399,-6549,5558,-5500,-8294,-5848,8524,2048,-2774,-3526,7280,-501,793,-10007,5.06,1144,5791,2.5
2254,11670,1784,-7716,-5589,-6709,5112,-5960,-8326,-7336,8848,1481,-3366,-3416,7256,-594,872,-10270,5.07,1105,5604,2.6
2740,11858,1234,-7555,-5545,-7349,4066,-6814,-8990,-8580,9995,1469,-3982,-2510,7676,-669,962,-10645,5.08,973,4944,2.7
2186,11326,660,-7655,-5465,-7216,3720,-7452,-10086,-9553,10739,1469,-4068,-2270,7684,-674,982,-10901,5.07,1124,5703,2.8
3082,11946,212,-7355,-6065,-7257,2544,-5568,-9650,-9245,10489,1926,-3942,-2302,7772,-671,933,-11113,5.08,1105,5615,2.8
2778,12254,-374,-7622,-6768,-7491,1910,-5290,-9774,-9335,10950,2196,-4650,-1832,7638,-654,1011,-11348,5.08,982,4994,3.0
2990,11440,-580,-7754,-6866,-7661,-4170,-2902,-10358,-9096,7540,-2308,-4996,-2028,7008,-667,974,-11408,5.08,1119,5689,3.0
3102,11872,-868,-7679,-7061,-7698,2316,-8036,-8530,-5496,10173,4768,-4996,-2298,7926,-676,1025,-11598,5.07,1129,5728,3.1
3404,12074,-1188,-7543,-7610,-7843,1788,-6076,-8110,-5250,9684,3616,-5254,-2204,7768,-729,998,-11624,5.07,1114,5654,3.2
3452,11512,-778,-7389,-7609,-7884,3416,-7032,-9080,-6538,9518,3132,-5670,-1482,7348,-765,1092,-11524,5.08,1017,5168,3.3
4020,11186,-630,-7217,-7801,-7846,3044,-7326,-9354,-6022,9879,2824,-5920,-1196,7736,-767,1067,-11483,5.07,1139,5778,3.4
4412,10920,-804,-6923,-7427,-7848,3006,-6528,-9620,-5653,9902,3065,-5886,-1058,7750,-698,1189,-11551,5.07,1149,5827,3.5
4956,10890,-980,-6966,-6680,-7890,3228,-6420,-9454,-5719,10380,3209,-4880,-1550,8588,-669,970,-11734,5.08,1007,5118,3.6
