AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
4646,4982,5082,-2158,423,-1301,3708,-7338,-4044,523,760,316,-454,146,7564,-203,-16,-1020,5.08,978,4969,0.0
4828,5182,4834,-1671,-897,-1376,3090,-7534,-3416,1202,920,658,-890,586,6638,-223,46,-640,5.08,987,5018,0.2
5220,4378,4652,-1677,-834,-1057,2506,-7990,-2868,1410,161,-30,-904,556,6756,-255,116,-422,5.07,1129,5728,0.2
5014,4116,4516,-1349,-1095,-968,1878,-8146,-2640,2073,-1222,-554,-948,1112,7394,-337,48,336,5.08,987,5018,0.3
5742,3886,4862,-993,-1157,-844,1744,-7500,-2910,2511,-1649,-891,-384,1014,8050,-348,-42,675,5.07,1119,5678,0.4
6796,3864,5202,-417,-694,-706,1578,-7348,-3016,2953,-2320,-769,-154,646,8226,-401,-202,1115,5.08,992,5043,0.5
7638,4298,4898,-473,-166,-1161,1674,-7066,-3996,2961,-2438,-908,-624,854,7846,-466,-244,1451,5.08,1109,5640,0.6
7198,4170,4992,-465,466,-1355,1448,-6436,-4406,2693,-2675,-757,-982,1286,7668,-509,-273,2022,5.07,1119,5678,0.7
8028,3396,3540,1226,-636,-173,1504,-7644,-4922,2285,-3095,-1062,-1690,1822,7848,-520,-220,3044,5.08,992,5043,0.8
8798,3270,3588,2432,-655,249,1412,-8092,-4794,2131,-3314,-930,-1544,1784,8018,-517,-282,3656,5.07,1109,5629,0.9
8114,4330,3922,3297,-739,662,1692,-8942,-4546,2212,-3607,-809,-1532,1458,8020,-491,-298,4126,5.07,1134,5753,1.0
7988,5518,3634,3478,-441,888,1938,-9520,-4430,2732,-4232,-726,-1468,324,7928,-519,-223,4817,5.08,997,5068,1.1
8086,6398,3138,2784,-132,1264,1942,-9774,-4556,3188,-4670,-867,-1448,34,8188,-563,-241,5192,5.07,1163,5902,1.2
8622,5868,2232,1969,723,1443,2164,-9636,-5062,4654,-4913,-685,-1712,-94,8602,-657,-332,5902,5.08,992,5043,1.3
8214,6188,1344,2008,888,1981,2032,-9196,-5468,5533,-4717,-412,-1584,-240,8352,-708,-448,6321,5.08,1134,5764,1.4
8758,6454,856,2099,1640,2190,1786,-8790,-5622,5750,-4785,-157,-1530,-372,7716,-754,-438,6704,5.07,1124,5703,1.4
8476,6272,446,2298,2743,2830,1596,-8898,-5612,5175,-5506,-346,-1634,-344,7966,-772,-533,7289,5.08,987,5018,1.6
8142,5878,248,3007,2781,3128,1658,-9450,-5494,4935,-5886,-498,-2076,-338,8432,-736,-615,7703,5.07,1114,5654,1.6
8548,6762,-22,3848,3337,3519,1834,-10466,-5698,5499,-6109,-964,-2470,-376,8298,-615,-765,8286,5.08,982,4994,1.8
7964,7166,-58,4176,3668,3577,1748,-10558,-6382,6442,-6049,-1133,-2694,-1324,7982,-543,-830,8572,5.08,1149,5838,1.8
8130,7318,-554,4224,4041,3930,1318,-10246,-6752,7196,-6352,-1266,-2358,-2054,8026,-504,-953,8645,5.07,1124,5703,1.9
7680,7742,-882,4068,4984,4176,1122,-9032,-7892,7669,-6817,-1104,-2252,-3458,7326,-552,-934,8855,5.08,997,5068,2.0
6454,7752,-752,3965,5398,4260,742,-8228,-8280,7476,-6947,-904,-2234,-3920,6868,-632,-878,8869,5.08,1095,5565,2.1
6104,7900,-918,3897,5521,4460,846,-8124,-8356,7266,-6054,50,-2248,-3910,6644,-713,-938,8817,5.07,1109,5629,2.2
5786,7942,-954,3743,5649,4528,338,-6890,-8080,5398,-8995,-1624,-2158,-4172,5704,-841,-938,8811,5.08,997,5068,2.3
5778,8068,-1028,3514,5352,4459,-10,-6602,-7790,4691,-9335,-2069,-2196,-4274,5288,-905,-908,8765,5.08,1100,5590,2.4
5262,7828,-732,3406,5098,4511,206,-6740,-7270,4469,-9288,-1867,-2316,-4066,5018,-993,-946,8804,5.07,1114,5654,2.5
5136,7458,-30,3716,4980,4784,678,-6010,-7210,4870,-7954,-1493,-2800,-3216,4618,-1115,-913,9033,5.08,1002,5093,2.6
5128,7212,-4,3676,4832,4957,684,-5628,-7212,4864,-7589,-1464,-2800,-2450,4964,-1157,-865,9184,5.07,1124,5703,2.7
5412,6872,468,3245,4748,4958,1520,-5474,-7166,4799,-8025,-1665,-2426,-1354,5724,-1107,-923,9374,5.08,997,5068,2.8
5448,6794,450,3250,4614,4978,2142,-5890,-7178,5069,-8103,-1793,-2542,-1168,6358,-1040,-930,9318,5.08,1114,5664,2.9
5922,7196,672,3324,4629,5030,2480,-6354,-7476,5520,-7971,-1574,-2662,-1066,7202,-961,-996,9218,5.07,1129,5728,3.0
6294,7584,1250,4018,4011,5282,3310,-6194,-8166,6135,-7767,-680,-2916,-1494,8022,-872,-1085,8893,5.08,982,4994,3.1
6646,8212,1664,4044,4407,5059,3912,-6010,-8248,5991,-7768,-489,-3562,-1486,8142,-845,-1104,8784,5.08,1100,5590,3.1
