AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-458,9114,-2952,-4549,6189,1079,-2320,-6670,-3928,-1886,-6704,-3486,-2064,-320,3672,1381,-764,6793,5.08,376,1913,0.0
-682,12230,-1818,-4270,5593,1534,-4368,-9454,-2770,-2302,-6633,-4281,-1524,-3636,8368,1442,269,6921,5.08,371,1888,0.1
-474,14536,-816,-4026,4687,2028,-6054,-10492,-3014,-2453,-7126,-5084,1900,-7928,13742,934,53,7082,5.07,430,2182,0.1
2,17932,-330,-4074,3736,2579,-6630,-13466,-4046,-1399,-8510,-5700,850,-6346,19438,921,442,6653,5.07,430,2182,0.1
82,18676,-1570,-4398,1963,2631,-7466,-15888,-5086,1918,-9180,-4998,424,-2386,19586,1478,-633,6170,5.08,367,1863,0.2
1612,18432,-2704,-4083,1910,3358,-6050,-15042,-5902,2789,-9351,-3256,1724,-2614,11826,1575,-876,5801,5.06,430,2178,0.2
1148,17744,-2688,-2947,1729,4603,-8072,-13724,-5104,2263,-9412,-3724,988,-4088,7704,1407,-1218,5635,5.07,425,2157,0.2
104,15946,-1400,-2831,808,5482,-4150,-11806,-4826,1400,-8924,-5068,-3534,-8360,4874,979,-331,4524,5.08,381,1938,0.3
66,13482,-1318,-3467,909,5600,-3154,-10756,-4708,952,-9732,-5009,416,-8500,5718,690,181,4357,5.06,430,2178,0.3
-972,9758,-2318,-4157,-208,6338,-452,-9442,-4924,1956,-8772,-4920,1818,-3958,8356,707,241,3402,5.08,367,1863,0.3
-1154,8702,-2748,-4031,-562,6581,1144,-8168,-4860,2310,-8270,-4418,1424,-1500,8032,787,143,3204,5.08,411,2087,0.4
-1420,7646,-3154,-3745,-1449,6585,1702,-7390,-4556,2497,-7640,-3923,468,-1944,7016,884,46,2897,5.07,420,2132,0.4
-1638,6844,-2486,-2980,-1178,6109,2876,-5166,-4996,1783,-6194,-3317,406,-3958,4632,553,56,2774,5.08,386,1963,0.5
-1526,7260,-2406,-2742,-582,5742,3438,-4210,-5392,576,-6009,-3521,1142,-3896,3982,258,102,2584,5.08,420,2137,0.5
-1620,6672,-2528,-2550,-43,5197,4548,-4138,-6104,-335,-5206,-3340,2102,-3238,5036,228,306,2369,5.07,420,2132,0.5
-1490,5032,-3218,-1375,3,5258,5364,-5126,-7036,-831,-3435,-2969,1920,-2050,7236,334,407,1749,5.08,367,1863,0.6
-1140,5126,-4210,-1183,148,4272,5184,-4698,-6852,-730,-2185,-2307,1620,-1426,7356,397,406,1610,5.07,425,2157,0.6
-810,4790,-4916,-352,-140,3821,5696,-3532,-7650,-1616,-1716,-2116,1162,-1698,7200,319,165,1247,5.08,367,1863,0.6
-936,4662,-5140,-18,239,2889,6204,-3178,-9164,-2010,-1143,-2273,1242,-2300,6604,203,150,1069,5.08,415,2112,0.7
-826,4104,-5468,481,784,2279,6468,-3474,-10736,-2333,-340,-2316,1638,-2634,6142,109,228,818,5.07,425,2157,0.7
-180,2140,-6384,1544,2509,1350,5992,-3812,-12902,-2461,1544,-1893,1996,-2532,6614,99,342,291,5.08,367,1863,0.7
382,2278,-7818,1952,3855,686,6380,-3826,-14898,-3162,3037,-1401,1594,-2418,7212,139,399,39,5.07,420,2132,0.8
1338,2158,-8828,2262,6110,57,6394,-3666,-17316,-3919,5103,-746,1458,-2204,7234,141,431,-163,5.07,430,2182,0.8
110,3874,-7972,3380,10534,-1070,4916,-4552,-19288,-4318,9287,279,916,-2050,6930,108,155,-373,5.08,376,1913,0.8
-3168,4428,-5900,3775,12653,-1248,2394,-5128,-17738,-4116,11296,1155,890,-1730,7098,144,89,-480,5.07,420,2132,0.9
-5596,8072,-936,4636,13820,416,-1862,-7324,-11184,-3177,12945,2395,788,-1390,7526,162,333,-772,5.08,367,1863,0.9
-32768,16106,32767,6816,-15379,5912,-32768,-32768,31422,10648,-2096,13117,988,-1156,7990,191,439,-950,5.07,499,2529,0.9
10440,31906,26016,12332,-17248,9288,2106,1184,3610,11296,2177,2861,2220,-954,8750,307,-94,-1169,5.08,420,2137,1.0
1614,14298,8500,-2570,1054,-6192,4206,10358,6066,1039,3281,4818,1730,-1462,7852,119,-1217,-1258,5.08,367,1863,1.0
4016,8512,2896,-2316,2584,-4622,-4736,-1086,2300,-6686,3728,-1239,6,-1604,7016,-137,-1346,-1005,5.07,420,2132,1.0
2812,5310,470,-2492,3000,-4561,-7812,-10004,-332,-7222,-1390,-2661,120,-1358,6842,-288,-1428,-1047,5.07,420,2132,1.1
4598,-160,-468,2458,2256,-1205,3398,-13658,-5352,-3303,221,3802,1352,132,7430,-110,-682,-1195,5.08,371,1888,1.1
5272,5280,106,2467,983,-924,2356,-17092,-4922,-979,1613,2013,1596,434,7814,123,-579,-1378,5.08,425,2161,1.2
7606,8710,3308,1119,-476,-2269,-206,-10872,-2926,3430,699,4167,1674,574,8102,577,-908,-900,5.08,371,1888,1.2
8124,9538,4152,517,29,-2041,-936,-6658,-2800,3473,919,3184,1446,250,7810,763,-1101,-716,5.07,440,2232,1.2
7048,9378,4620,805,-820,-1517,-752,-5350,-1866,1782,1653,1560,958,496,7608,859,-1194,-544,5.07,420,2132,1.3
7494,9656,4236,456,-2329,-2076,-3894,-7500,-1896,-366,345,-542,286,1262,8110,932,-1197,35,5.08,371,1888,1.3
9558,9262,3514,318,-2489,-1193,-3382,-9944,-2172,-420,-374,991,8,1894,8084,1012,-1190,484,5.07,430,2182,1.3
10552,10170,1012,231,-1501,-1163,-4176,-10172,-4098,-816,-589,920,-826,2640,7448,1253,-789,1404,5.08,367,1863,1.4
10746,10332,-260,154,-424,-50,-4864,-10420,-4534,-1579,-1003,338,-1222,3168,7460,1342,-691,2143,5.08,415,2112,1.4
10570,8664,-204,875,576,169,-5598,-10756,-4538,-1947,-2468,179,-1034,2960,6860,1432,-418,2913,5.07,415,2108,1.4
10840,10596,-2614,-1074,4457,1573,-5628,-10242,-5172,-2548,-4793,-1046,-1620,2942,6732,1451,267,4125,5.08,376,1913,1.5
10844,10770,-3580,-1455,6010,1968,-4584,-10964,-5722,-2779,-5569,-1520,-2086,3338,6994,1462,641,4955,5.07,435,2207,1.5
10630,11058,-4570,-1189,7158,2345,-3326,-11576,-6374,-2551,-5027,-2368,-2860,4020,6452,1482,1186,5952,5.07,420,2132,1.5
8710,12138,-5674,-398,8261,2500,-2526,-13944,-7810,-944,-4509,-2871,-4812,3902,6974,1554,1849,7561,5.08,367,1863,1.6
7318,12932,-6034,127,9044,3350,-1386,-14372,-6972,9,-4254,-2746,-5204,2764,7562,1620,2405,8380,5.07,440,2232,1.6
6158,13276,-6454,417,10032,3974,-2140,-12702,-6716,800,-5064,-2412,-5442,1218,9130,1622,2808,9080,5.07,415,2108,1.6
2620,12194,-6550,641,10566,4501,-2778,-10008,-5550,1739,-6169,-3104,-5352,-788,11126,1454,3136,10197,5.08,376,1913,1.7
1562,11192,-6138,695,10978,4424,-2604,-8550,-6004,1960,-8151,-3398,-5678,-2040,12338,1346,3065,10829,5.07,425,2157,1.7
2066,10868,-5480,824,10620,4737,-2620,-7666,-6574,1919,-10055,-4223,-5810,-3606,12508,1144,2874,11180,5.07,425,2157,1.8
