AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
5508,15036,144,-3267,-4808,2762,-634,-15706,-3844,-2296,-1826,-2172,-916,-1358,7206,62,-500,-780,5.08,371,1888,0.0
4984,13374,766,-3541,-3034,4718,2158,-15942,-5446,-873,-3689,-1371,-1334,-252,6640,91,-455,-1124,5.08,376,1913,0.1
5692,11444,348,-4202,-2254,4771,4722,-14280,-6798,463,-6410,-1921,-1558,0,6722,104,-431,-1143,5.07,430,2182,0.1
3088,7244,-624,-4600,-6492,5279,4138,-11798,-6156,427,-2439,-3771,-1758,470,7558,102,-354,-990,5.08,391,1988,0.1
6410,5866,-2084,-4934,-4107,4206,5010,-10000,-5744,754,-2420,-4309,-2062,490,7446,83,-302,-847,5.08,425,2161,0.2
5682,3780,-1774,-4596,-823,3908,5178,-8164,-5530,597,-2954,-4897,-2170,656,7392,72,-183,-641,5.07,425,2157,0.2
4372,1612,-2098,-4807,561,3910,7456,-6182,-7392,426,-2668,-5478,-2264,920,7196,35,1,-385,5.08,371,1888,0.2
5054,306,-1908,-4709,868,4032,7604,-4958,-7548,510,-1229,-5125,-2220,770,7050,10,95,-246,5.07,425,2157,0.3
5172,-788,-2008,-4379,631,3483,6390,-3798,-8128,1506,6,-4525,-2056,686,6990,-38,297,-109,5.08,376,1913,0.3
5162,-2258,-2824,-4033,-524,2861,6072,-2508,-7590,1847,404,-4636,-1724,468,6798,-32,382,-75,5.07,425,2157,0.3
6718,-5554,-3058,-3373,-631,2293,5482,-552,-6514,2030,492,-4386,-1496,308,6820,-23,390,-70,5.07,435,2207,0.4
7874,-7114,-3518,-1651,395,1253,7382,2384,-6828,2220,1272,-3031,-1250,-36,6666,-66,282,12,5.08,376,1913,0.4
8316,-7694,-2880,-554,1143,694,7284,2902,-6874,1880,2163,-2422,-1442,-38,6320,-131,285,68,5.07,435,2207,0.4
7000,-8426,-1484,1326,1817,49,7050,4110,-6156,1720,3509,-670,-1610,70,6096,-247,363,264,5.08,381,1938,0.5
7146,-8482,-850,2069,2790,-983,6962,4646,-4978,1779,3898,520,-1554,274,6164,-304,461,288,5.07,430,2182,0.5
5800,-7314,-610,3568,2611,-1763,6286,5406,-3326,495,4248,1636,-1520,428,6404,-337,530,293,5.08,371,1888,0.6
5172,-6528,-656,4435,2169,-2381,6014,4990,-3218,-545,3146,1956,-1420,488,6654,-311,562,243,5.07,435,2207,0.6
4542,-5406,-998,5511,1792,-2797,5466,4004,-3268,-1449,1865,2210,-1450,504,6580,-278,625,237,5.07,435,2207,0.6
3908,-2080,-1128,7144,1458,-3349,5108,1892,-3384,-1955,629,3317,-1468,428,6822,-237,731,213,5.08,376,1913,0.7
3658,258,-688,7449,1097,-3571,4686,872,-3462,-1841,-98,3866,-1370,328,6916,-239,739,231,5.07,435,2207,0.7
3014,4474,78,7067,566,-4150,4554,-678,-3544,-1951,74,4364,-1618,204,7154,-233,665,394,5.08,371,1888,0.7
3028,6720,-30,6345,495,-4527,4404,-2238,-4160,-2025,579,4509,-1602,144,7122,-173,670,550,5.08,420,2137,0.8
2984,12028,-790,4446,509,-4992,2518,-4972,-3594,-2055,718,4999,-1698,-632,8302,-24,642,836,5.08,376,1913,0.8
2828,14936,370,2824,219,-5141,1876,-6446,-3710,-2005,954,5066,-1802,-1406,9014,12,624,951,5.07,445,2256,0.8
-1192,22054,-824,208,-618,-7904,1272,-8074,-3628,-1651,1031,4870,-1778,-2174,9430,-30,525,1002,5.07,440,2232,0.9
920,20742,-958,260,2791,-8115,-1040,-11684,-4268,-1194,954,3747,-1022,-3000,9960,-93,167,1064,5.08,376,1913,0.9
4698,19876,-1220,678,-1986,-3848,-1998,-13830,-4080,-1038,656,2729,-934,-3154,9612,-137,53,915,5.07,430,2182,0.9
6868,20986,18,625,-2328,-607,5036,-13936,-6722,-4223,3657,-4104,-1302,-2546,8076,-146,-345,615,5.08,381,1938,1.0
4980,20870,756,164,-1310,976,-7688,-15816,-3990,-2127,-1855,-1057,-1158,-2408,7442,-103,-417,382,5.08,420,2137,1.0
4064,19008,1374,-1287,-2597,1540,1220,-16336,-5712,-50,-65,2977,-886,-2072,6976,-35,-552,28,5.07,430,2182,1.1
5404,15212,730,-2140,-2682,5077,-1548,-14138,-3758,-934,-904,209,-740,-1346,7002,59,-651,-483,5.08,371,1888,1.1
5484,13316,-306,-3093,-671,4614,-320,-13436,-2928,-1644,-730,-1566,-820,-1204,6854,96,-616,-703,5.08,430,2186,1.1
3968,11212,-498,-4006,-189,3759,280,-13460,-2698,-836,-646,-1450,-954,-794,6882,105,-727,-838,5.07,420,2132,1.2
1734,7286,412,-4204,-5403,4705,1964,-11682,-2932,1119,-1700,-452,-1444,88,6376,82,-693,-803,5.08,381,1938,1.2
6248,7100,-508,-4400,-1193,2873,3694,-10750,-3602,1680,-2860,-1047,-1698,152,5956,66,-633,-729,5.07,435,2207,1.2
