AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
2326,-4834,-660,10282,2086,-5196,-8062,-764,-1672,-2272,74,-642,-1312,-1148,7142,-474,-346,846,5.08,352,1789,0.0
1210,-3786,-1858,11136,2165,-5015,-7986,-846,-1648,-2119,-111,-557,-1530,-1230,7250,-505,-322,735,5.07,367,1860,0.0
1080,-1244,-1384,9678,2238,-5728,-7890,-928,-1604,-1794,-61,-373,-1292,-1014,7240,-485,-323,572,5.07,313,1587,0.1
882,796,-926,7975,3682,-6269,-8160,-1020,-1620,-1397,-62,-140,-634,-422,7816,-315,-402,294,5.07,332,1686,0.1
454,1974,184,6045,4933,-6959,-8124,-1164,-1670,-982,-151,36,-818,-542,7452,-93,-432,-33,5.06,347,1757,0.1
-264,1582,792,4654,5755,-7474,-8160,-1262,-1542,-620,-66,165,-834,-704,7550,55,-426,-395,5.06,357,1807,0.2
-524,3324,1690,3881,5632,-7980,-7944,-1330,-1528,-314,-56,229,-894,-894,7364,82,-451,-584,5.06,376,1906,0.2
-1010,3268,2152,3247,5802,-9256,-7750,-1426,-1460,0,105,357,-760,-1082,7326,7,-447,-546,5.06,411,2079,0.2
-1576,4196,3462,2639,5757,-9710,-7626,-1482,-1518,358,98,564,-618,-786,7746,-130,-484,-260,5.06,337,1708,0.3
-2346,4830,4294,1960,6248,-10113,-7640,-1452,-1494,544,-45,714,-360,-868,7636,-268,-574,37,5.07,406,2058,0.3
-2390,6910,5736,876,6708,-9994,-7648,-1498,-1460,600,-240,748,-462,-1062,7610,-339,-519,165,5.07,323,1637,0.3
-2888,6910,6078,-438,8340,-10313,-7548,-1584,-1420,525,-315,797,-330,-730,7328,-318,-343,142,5.07,415,2108,0.4
-4070,7810,6546,-1475,9649,-9757,-7708,-1496,-1360,374,-496,773,-604,-392,7368,-243,-293,24,5.07,415,2108,0.4
-5626,7760,6946,-2416,10760,-9159,-7654,-1610,-1302,200,-534,688,-686,-96,7994,-143,-222,-138,5.06,308,1559,0.4
-6922,7844,7576,-2930,11188,-8221,-7602,-1652,-1370,91,-446,613,-746,46,7854,-49,-170,-186,5.07,308,1562,0.5
-9514,7378,8192,-2757,10489,-6057,-7656,-1760,-1486,25,-383,563,-462,230,7882,14,-247,-181,5.06,337,1708,0.5
-9942,4974,7084,-1664,9102,-4824,-7756,-1790,-1542,-9,-290,561,-706,88,7540,38,-274,-85,5.06,376,1906,0.5
-9622,2406,5756,1136,8044,-4278,-7674,-1800,-1602,-67,-245,492,-822,24,7460,33,-163,-38,5.06,376,1906,0.6
-9784,2564,4450,3954,7382,-4115,-7520,-1700,-1708,-176,-394,459,-1298,158,7280,62,-47,50,5.06,327,1658,0.6
-10034,3722,3316,5787,7189,-3935,-7378,-1664,-1846,-284,-524,398,-1042,188,7392,162,29,125,5.06,396,2005,0.6
-10964,5314,3280,6617,8114,-3373,-7396,-1564,-1842,-391,-602,258,-568,178,7556,239,52,92,5.07,415,2108,0.7
-13354,10642,4978,4142,5124,-1802,-7398,-1638,-1846,-403,-552,141,-156,12,7756,262,27,-34,5.06,337,1708,0.7
-10956,11084,6884,738,4818,-2500,-7542,-1742,-1916,-273,-357,111,-154,-388,7460,229,6,-93,5.06,327,1658,0.7
-10590,11774,8498,-2548,6442,-2022,-7676,-1728,-2014,-137,-222,196,-44,-506,7328,184,20,-28,5.07,318,1612,0.7
-10106,9290,7678,-4538,6684,-1302,-7902,-1564,-2104,-53,-226,180,-208,-442,7378,147,-5,18,5.06,357,1807,0.8
-9440,6840,5984,-4988,6466,-556,-7850,-1338,-2186,-78,-352,35,-434,-452,7610,103,-65,-37,5.07,420,2132,0.8
-9450,4840,4890,-4390,5699,150,-7898,-1232,-2138,-143,-438,-57,-532,-396,7738,86,-130,-92,5.06,347,1757,0.8
-9548,3832,4250,-3382,4628,992,-7918,-1180,-2106,-207,-438,-110,-506,-312,7682,74,-137,-169,5.07,308,1562,0.9
-9246,2686,4572,-2143,3347,1914,-7936,-1174,-2244,-283,-394,-139,-438,-396,7646,75,-76,-228,5.07,332,1686,0.9
-8888,2714,4774,-1091,2083,2557,-7946,-1172,-2254,-303,-302,-156,-402,-408,7586,88,8,-330,5.06,327,1658,0.9
-8412,2946,4852,-12,990,2828,-7752,-1124,-2240,-284,-185,-176,-188,-464,7636,105,58,-463,5.07,323,1637,1.0
