AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
8798,8140,-7770,-5141,-10031,11705,864,-7640,-6714,-125,1578,-1738,-1538,-1118,7226,-357,-649,-1059,5.08,386,1963,0.0
10574,-942,3038,7170,4195,-4543,6388,-2704,-4818,48,-3679,493,-2624,374,7646,-153,-522,-612,5.08,391,1988,0.1
7068,5210,3340,7631,5436,-3488,16024,-1968,-6060,-551,-2905,-930,-2458,728,7910,-82,-482,-365,5.07,455,2306,0.1
6274,9678,3452,1960,-950,-46,8920,-1098,-1822,-699,710,369,-2690,-546,6872,129,-339,325,5.08,386,1963,0.1
13366,3468,3020,3182,-1227,1648,7202,-1034,1780,-736,309,83,-2098,-588,6772,204,-225,390,5.08,440,2236,0.2
9056,6558,2720,2905,182,-345,7802,-2210,2616,-710,-451,-507,-1948,-516,6476,214,-80,454,5.07,440,2232,0.2
6192,6330,2778,-712,1276,-761,11280,-3240,1574,-417,-1809,-2326,-1622,-88,8082,332,294,600,5.08,396,2012,0.2
6330,3504,2442,-1515,871,-1464,12350,-3942,528,-140,-882,-2376,-1406,-522,7528,389,384,623,5.06,450,2277,0.3
5712,2604,2546,-713,-194,-147,10854,-1424,636,-656,-336,-1456,-1200,-1094,7352,361,340,523,5.08,381,1938,0.3
7056,4166,2232,-1566,-443,-203,9414,1594,-16,-1736,-349,-1411,-1260,-1152,7520,356,225,393,5.06,455,2302,0.4
7704,4290,1580,-3521,-81,-676,8626,2740,1046,-6295,-1897,2099,-1178,-1128,7532,256,262,279,5.08,391,1988,0.4
8172,5372,1994,-3052,124,-797,6324,-1054,324,-5694,1989,419,-1108,-1210,7134,180,282,172,5.06,459,2326,0.4
7784,5570,3654,-1863,-54,-452,5830,-5016,3522,-1652,-601,781,-1232,-1036,7102,119,317,48,5.07,445,2256,0.5
7108,3254,4630,-441,-765,-565,8578,1754,-1462,1489,-223,613,-1272,-534,6996,33,307,-175,5.08,381,1938,0.5
6436,3726,5536,877,-986,-128,9374,1532,-1298,860,97,1146,-1380,-166,6918,-10,277,-234,5.07,435,2207,0.5
