AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5130,6232,1076,-2627,799,-861,-2390,-650,-914,1916,-633,-11419,-1280,-2534,5424,151,265,-513,5.08,376,1913,0.0
-5052,5466,1170,-3549,756,-752,1702,-876,-1182,3590,1819,-9695,-662,-1262,5876,276,434,-706,5.08,376,1913,0.1
-5170,4936,1472,-3401,1104,-664,524,1012,-1770,4810,4375,-7988,-558,-1144,6182,362,480,-810,5.07,455,2306,0.1
-5546,3874,1392,-2548,407,-571,2512,4270,-886,7332,6772,-3398,-768,-1478,6296,324,536,-811,5.08,376,1913,0.1
-5412,3938,1082,-1787,-69,-286,-10,8056,-450,5283,8491,-4701,-722,-1476,6146,268,603,-685,5.06,450,2277,0.2
-5448,3618,1138,-271,-931,-21,2032,10506,-250,3288,4453,-3027,-692,-1326,6084,195,672,-431,5.08,371,1888,0.2
-5032,4178,746,357,-1041,252,2040,10980,-132,1057,734,-1884,-680,-1314,6158,176,656,-277,5.06,450,2277,0.2
-5118,4316,610,861,-1086,224,2668,11264,214,-697,-2801,-1272,-496,-1078,6254,142,595,-124,5.07,430,2182,0.3
-4534,4646,72,1613,-1480,260,4424,9618,-282,-2761,-6957,529,-488,-694,7242,81,329,141,5.08,391,1988,0.3
-4280,4448,-50,1933,-1834,436,4858,9476,522,-3111,-5379,1966,-418,-546,7628,-22,64,314,5.07,430,2182,0.3
-3960,5200,-196,2418,-1884,299,4202,9876,1548,-1894,476,5383,-902,-392,8512,-170,-264,800,5.08,381,1938,0.4
-4464,6090,0,2325,-1396,66,2100,11426,1082,-1416,667,7591,-1064,30,9094,-177,-344,984,5.06,435,2203,0.4
-6412,7562,70,1610,-963,-505,-722,12308,90,-2943,86,11357,-1396,832,10292,-29,-441,1245,5.08,386,1963,0.5
-7228,8248,-60,911,-530,-940,-3300,10680,-1390,-4862,-878,14435,-1896,596,10728,64,-442,1380,5.08,411,2087,0.5
-7456,9316,-408,-123,209,-1551,-6922,7940,-2146,-7002,-2523,17851,-2736,286,10862,69,-395,1458,5.07,425,2157,0.5
-7660,9322,-854,-1951,1028,-1945,-12974,-3120,-5122,-10406,-1411,20091,-2880,76,8976,-160,-382,1956,5.08,376,1913,0.6
-8134,9208,-812,-2383,852,-1979,-18670,-21272,-13220,-8460,-128,16853,-3020,-582,8264,-360,-270,2391,5.07,440,2232,0.6
-6874,8396,-558,-3339,960,-1320,-30498,-18392,-2810,-7186,-79,20552,-3208,-1930,8912,-585,-99,2598,5.07,430,2182,0.6
-5970,9152,160,-4693,3446,-1519,-25352,-32768,-19336,-3677,3945,6020,494,-1330,9996,-594,-734,2294,5.08,381,1938,0.7
-7544,7858,590,-4674,3554,-875,-21384,-32768,-14794,1294,-1694,3257,762,-988,9918,-43,-1455,2341,5.07,435,2207,0.7
-6772,7920,206,-4514,2737,-400,-11218,-30684,-10548,2912,-392,1004,264,-1196,8532,461,-2128,1947,5.07,430,2182,0.7
-6606,6692,560,-4567,2761,927,-9214,-11594,-3534,2606,6443,-494,-1536,140,6172,712,-2393,1379,5.08,376,1913,0.8
-7138,4874,-374,-3936,3774,1057,-7284,-8034,-144,1881,2678,-441,-1744,-60,4482,558,-2127,1553,5.07,425,2157,0.8
-7688,3662,-810,-2693,2192,2400,-4802,-5910,374,755,-4955,-2443,-2566,400,4900,215,-1574,2113,5.08,376,1913,0.9
-7330,3110,-720,-1854,607,2972,-4682,-5090,-442,1852,-6784,-806,-2080,574,5826,162,-1441,2522,5.08,425,2161,0.9
-6232,2754,-336,-1027,-65,3334,-400,-3990,1908,1825,-3833,1256,-2100,1436,5908,106,-1298,3134,5.07,425,2157,0.9
