AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6896,4906,-286,-52,-356,-524,-7506,-3674,-842,-150,310,-306,-562,-866,7282,-55,-29,267,5.08,381,1938,0.0
-6856,4804,-260,-60,-286,-409,-7362,-3652,-816,-87,327,-304,-610,-848,7390,-33,-7,230,5.08,376,1913,0.1
-6766,4808,-192,-29,-263,-335,-7342,-3612,-842,-64,342,-299,-570,-932,7462,-32,7,247,5.07,430,2182,0.1
-6652,4714,-262,-19,-211,-238,-7304,-3584,-580,-62,342,-304,-544,-940,7566,-50,-14,263,5.08,381,1938,0.1
-6644,4692,-252,42,-177,-178,-7336,-3536,-658,-84,319,-308,-512,-924,7616,-57,-36,289,5.07,430,2182,0.2
-6650,4872,-306,21,-125,-160,-7426,-3550,-464,-146,301,-285,-408,-972,7696,-60,-52,268,5.08,386,1963,0.2
-6736,4814,-284,-36,-90,-154,-7446,-3644,-534,-172,251,-272,-398,-886,7480,-62,-64,254,5.07,440,2232,0.2
-6654,4978,-292,-224,24,-168,-7442,-3782,-378,-171,171,-226,-548,-862,7424,-42,-92,205,5.08,386,1963,0.3
-6666,4854,-256,-290,62,-154,-7456,-3746,-352,-177,122,-212,-564,-884,7456,-35,-86,209,5.07,411,2083,0.3
-6684,4728,-270,-326,132,-96,-7324,-3794,-292,-248,61,-217,-502,-870,7502,-34,-86,233,5.08,386,1963,0.3
-6730,4740,-194,-288,104,-42,-7366,-3808,-406,-296,26,-215,-516,-802,7712,-28,-94,230,5.07,430,2182,0.4
-6764,4720,-240,-225,134,45,-7346,-3934,-290,-363,-23,-195,-572,-842,7534,-22,-108,245,5.08,386,1963,0.4
-6820,4752,-244,-199,147,90,-7356,-4008,-250,-351,-51,-159,-652,-890,7482,-28,-99,263,5.08,430,2186,0.5
-6754,4758,-122,-236,222,124,-7420,-3982,-388,-295,-122,-71,-540,-942,7258,-42,-65,266,5.08,391,1988,0.5
-6790,4746,-30,-269,241,158,-7324,-3940,-372,-274,-189,-30,-602,-924,7310,-47,-56,274,5.08,435,2211,0.5
-6828,4728,-96,-315,275,188,-7226,-3872,-400,-268,-223,16,-606,-926,7328,-47,-37,271,5.07,430,2182,0.6
-6718,4670,-8,-357,300,214,-7030,-3786,-554,-297,-269,105,-526,-822,7392,-45,20,248,5.08,381,1938,0.6
-6694,4686,-40,-382,299,249,-7102,-3762,-598,-330,-284,145,-490,-810,7458,-48,27,226,5.07,440,2232,0.6
-6794,4740,60,-463,333,246,-7186,-3874,-672,-349,-310,222,-478,-916,7552,-47,4,218,5.08,386,1963,0.7
