AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
5572,1314,-3198,450,1523,-2271,-208,-7530,2872,-3645,-9194,-7838,340,-182,7928,124,36,825,5.08,342,1739,0.0
6470,3744,-1630,2799,2505,-2066,3598,-8666,754,-162,-1984,-5613,380,-466,6548,97,-26,820,5.08,347,1764,0.1
4674,5842,1060,3659,3378,-1345,1134,-6362,-524,-566,-664,-3918,392,-666,6750,21,-17,803,5.07,420,2132,0.1
2174,16104,7740,175,2149,1373,5812,-3432,-4020,2335,2688,-1176,-56,-454,7150,-68,-116,880,5.08,342,1739,0.1
3738,15478,5832,-6993,2339,1914,2896,-504,-4866,3456,3408,-835,-150,-910,7252,-81,-249,898,5.06,401,2029,0.1
4730,4870,4208,-12803,4787,8,1982,-5498,-1418,2829,3599,56,-768,-1788,6886,-137,-261,792,5.08,347,1764,0.2
3766,26,5342,-10622,4994,-942,552,-9902,802,2243,788,-2198,-740,-1632,6678,-184,-194,647,5.07,411,2083,0.2
1224,1688,5106,-5563,4372,-199,2242,-10358,2398,1893,271,-2890,-590,-1610,6732,-223,-140,518,5.07,396,2008,0.2
-896,7900,7476,-528,2159,-56,2816,-7666,2990,3491,3840,418,-46,-2080,7600,-289,-215,225,5.08,352,1789,0.3
-308,6802,8450,446,1548,-135,1310,-6192,4064,3738,3313,843,-8,-2342,8142,-348,-321,66,5.07,391,1984,0.3
1206,4872,7858,2661,752,-151,3776,-3246,6194,2873,2962,1207,-422,-2526,8612,-520,-548,-68,5.08,352,1789,0.4
1254,5724,7280,3093,702,-560,1090,-1844,5802,870,-171,907,-916,-2388,8502,-611,-591,-44,5.06,406,2054,0.4
1972,4930,6152,2261,932,-1309,3538,-6222,4286,732,883,2859,-1410,-2030,7836,-650,-358,-37,5.07,347,1761,0.4
2232,5442,5184,1615,1624,-2014,5112,-7318,2956,1516,1971,3368,-1410,-1584,7918,-604,-238,-28,5.07,406,2058,0.4
2116,6390,6038,1009,2463,-2692,5020,-7776,1932,2127,2923,3926,-1438,-1366,7378,-520,-122,-83,5.07,406,2058,0.5
1694,7962,6762,919,2778,-2732,3424,-7878,1626,2681,3272,4053,-1116,-1484,6872,-368,69,-220,5.08,347,1764,0.5
1782,8548,7310,1252,2975,-2694,3152,-7192,1850,2578,3399,3775,-930,-1924,6508,-326,196,-359,5.06,406,2054,0.5
1444,9284,6544,877,3036,-2246,2586,-7832,3198,1980,4218,3452,-780,-2030,6366,-268,350,-566,5.08,347,1764,0.6
916,9386,6842,692,2978,-1924,2586,-8184,3382,2207,4423,3217,-684,-2068,6224,-242,418,-622,5.06,401,2029,0.6
188,8280,7234,1095,2818,-1779,1926,-8262,3148,2597,4869,2747,-710,-2192,6164,-211,485,-676,5.06,406,2054,0.6
336,7706,8766,2189,1889,-1428,1286,-6508,2842,3596,5160,3019,-456,-2188,6488,-143,594,-830,5.08,347,1764,0.7
324,7820,9132,2638,1158,-1521,1692,-5106,864,3620,5961,2963,-204,-2060,7394,-63,658,-889,5.06,406,2054,0.7
1294,8454,8812,2344,305,-1838,1818,-166,1906,3668,6431,4145,-46,-1542,8726,67,636,-969,5.08,347,1764,0.7
1914,8614,7362,1441,-51,-1775,1324,-838,2398,2378,6412,4377,150,-1162,8854,100,513,-957,5.07,391,1984,0.8
2220,10134,5780,92,-473,-1731,1158,-3664,-1472,289,6230,3320,230,-1166,8370,9,343,-820,5.07,347,1761,0.8
3436,10736,4528,-507,-338,-1199,304,-7034,-584,1794,5409,2356,154,-894,8142,-62,249,-748,5.07,391,1984,0.8
3324,9258,4428,-989,-352,90,442,-4978,3560,2166,5272,2020,326,-198,7626,-60,76,-753,5.08,347,1764,0.9
2696,8076,4888,-589,-500,626,-264,-5344,4914,1375,4998,1959,88,-290,6868,-31,-38,-786,5.06,406,2054,0.9
