AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
5374,10238,-2404,3815,5839,5220,-2774,-9422,-8572,2858,-7577,318,-3634,-1456,6912,316,-159,9207,5.08,367,1863,0.0
4256,10968,-2480,4139,6104,5466,-2382,-9238,-8796,2456,-8136,337,-3900,-2700,7272,208,-199,9468,5.08,342,1739,0.1
3742,10926,-2290,4321,5849,5572,-1912,-9132,-8456,2282,-8694,248,-4048,-3278,7026,125,-82,9581,5.07,386,1959,0.1
3404,11206,-2038,4405,5752,5642,-1254,-8452,-8230,2158,-9304,190,-3982,-3668,7184,-49,19,9690,5.08,342,1739,0.1
3288,11072,-1700,4375,5687,5688,-708,-8340,-8562,1986,-9448,228,-3778,-3732,7536,-123,14,9765,5.08,386,1963,0.1
3058,10898,-1572,4553,5569,5723,-124,-8258,-8664,1690,-9561,280,-4108,-3226,7220,-142,153,9828,5.07,391,1984,0.2
3216,10648,-1632,5032,5284,5660,200,-8162,-8834,1248,-10353,-100,-4118,-1970,7172,-63,180,10013,5.08,347,1764,0.2
3230,10686,-1354,5303,5209,5611,332,-8846,-8766,1675,-9468,434,-4042,-1530,6984,-23,172,10095,5.07,386,1959,0.2
3232,10592,-882,5639,5177,5609,660,-8670,-9068,2049,-9526,489,-4088,-1156,7114,-7,186,10141,5.07,391,1984,0.3
3056,10502,-626,6292,5155,5687,636,-8250,-9186,1850,-10211,-448,-3904,-616,7642,-28,62,10346,5.08,347,1764,0.3
3054,10748,-368,6551,5261,5705,1020,-8416,-9230,2045,-10159,-473,-4052,-750,7714,-97,-87,10541,5.07,396,2008,0.3
2892,11010,206,6516,5608,5534,1146,-8074,-9570,2208,-10171,-789,-4182,-1954,7974,-401,-338,10832,5.08,352,1789,0.4
2462,11246,480,6457,5791,5446,1256,-8004,-9694,2213,-10020,-995,-3784,-2520,7746,-571,-483,10909,5.07,396,2008,0.4
2120,11534,600,6481,5986,5359,1486,-7908,-9878,2236,-9842,-931,-3474,-2826,7632,-684,-570,10867,5.07,396,2008,0.4
1436,12014,902,6448,6183,5182,1546,-7664,-10046,2192,-9943,-907,-3614,-2798,7836,-777,-729,10574,5.08,347,1764,0.5
1266,12016,1248,6174,6166,5041,1608,-7404,-9984,2136,-9810,-637,-3976,-2694,7990,-753,-816,10312,5.07,401,2033,0.5
1286,11868,1724,5795,6078,4917,1898,-7300,-10030,1825,-9642,-509,-4154,-2800,8054,-684,-866,10057,5.07,396,2008,0.5
1646,11022,2194,5515,5773,4777,2214,-7142,-9432,981,-9638,-790,-4026,-3448,7534,-536,-787,9500,5.08,342,1739,0.6
1904,10760,2252,5574,5574,4695,2552,-6900,-8792,655,-9625,-961,-3584,-3394,7458,-442,-682,9189,5.07,386,1959,0.6
2106,10262,2258,5689,5350,4587,2802,-6802,-8296,478,-9669,-1264,-3444,-2538,7292,-295,-667,8996,5.07,391,1984,0.6
2732,9322,1796,5837,4990,4309,3168,-6552,-7502,598,-9434,-1476,-3164,-1830,7148,-142,-664,8773,5.08,342,1739,0.7
2988,9258,1764,5663,4860,4177,3130,-6308,-7178,722,-9423,-1553,-3002,-1588,7714,-119,-770,8760,5.07,391,1984,0.7
3226,9478,2026,5306,4830,4088,3176,-6158,-6814,707,-9265,-1602,-3166,-1548,7804,-122,-878,8867,5.08,342,1739,0.7
3186,9458,2070,5246,4856,4077,2846,-6212,-6708,648,-9400,-1728,-3092,-1638,7022,-110,-964,8930,5.08,386,1963,0.8
