AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-7304,26344,-4532,-7196,-790,16796,-8364,-1498,10826,-2301,-6482,-3040,-702,-3950,4286,694,1948,4324,5.08,367,1863,0.0
-10204,22890,-6262,-7616,380,19330,-7982,-726,9162,-2260,-7066,-1975,-82,-4098,5628,730,2296,4180,5.06,484,2450,0.1
-11744,17890,-7078,-7674,1177,20309,-8012,-1130,6648,-2743,-6845,-1601,5686,-2730,11172,827,2675,3491,5.06,489,2475,0.1
-11280,13514,-8610,-7706,721,20385,-8608,-2060,4182,-3782,-7050,-1310,4406,2524,20438,1296,1720,2501,5.06,484,2450,0.1
-10376,8370,-10144,-7103,361,19759,-8344,-3300,1752,-4677,-6383,-423,-1016,3562,16190,1350,755,3206,5.06,484,2450,0.2
-9022,4268,-10244,-6218,2119,18621,-8988,-4516,364,-5376,-5330,415,-3494,-992,10598,679,291,3690,5.06,484,2450,0.2
-7412,1116,-9318,-4939,2773,16094,-10148,-5562,-502,-5882,-4175,302,-1692,-3800,9512,365,1296,4122,5.06,469,2376,0.3
-6068,-2226,-9508,-2658,-203,14066,-9622,-6680,-1072,-4784,-5026,587,-128,-3602,9858,335,1514,3194,5.06,484,2450,0.3
-4456,-6396,-9354,306,-2202,11977,-7298,-5700,-1078,-3407,-5724,948,80,-2312,8254,311,981,2708,5.06,489,2475,0.4
-3170,-7366,-8236,2479,-1469,9222,-4326,-5282,-1678,-2428,-4071,919,638,-2254,5716,299,828,2443,5.06,484,2450,0.4
-3546,-7764,-7258,3974,-374,6449,-4466,-3152,-1636,-3106,-2535,-203,-16,-1450,4072,400,925,1925,5.06,484,2450,0.4
-4596,-7234,-5430,5483,25,3767,-3160,-2640,-2356,-2732,-1355,-359,338,-684,3236,592,1045,1658,5.06,479,2425,0.5
-6036,-6942,-3782,7012,-687,1228,-2140,-1922,-2662,-2222,-1595,-300,148,306,2640,760,1029,1510,5.06,484,2450,0.5
-6994,-8778,-3232,8187,-1579,-2447,-1524,-1338,-2726,-2335,-1938,-345,300,1056,1982,984,1006,1583,5.06,479,2425,0.6
-10532,-8080,-3190,7948,-11153,-3650,-1462,-1518,-2606,-2293,-2260,-313,400,1594,1848,1130,975,1847,5.06,499,2524,0.6
-5562,-5502,-3566,9380,5971,-8456,-1396,-700,-2002,-2407,-2396,-335,-268,2030,1908,1186,770,2175,5.06,494,2500,0.7
-7692,-3328,-3348,9166,3348,-10342,-1300,-1144,-1860,-2167,-2759,-5,-496,2184,1942,1144,570,2528,5.06,494,2500,0.7
-6220,-1580,-3026,8349,827,-11584,-1138,-646,-1390,-2168,-1902,121,-698,1882,1760,1044,425,2937,5.06,484,2450,0.7
-4810,2806,-1530,6795,2884,-13459,-1386,-412,-944,-2360,-1734,89,-1270,1066,1768,948,610,3348,5.06,489,2475,0.8
-4732,8644,3428,5346,649,-11692,-1458,-944,-80,-2464,-1311,145,-1968,-10,2990,731,706,3564,5.06,484,2450,0.8
642,19090,4402,2754,-2111,-12391,-2552,-4094,2006,-2611,-811,435,-2210,-1210,4896,547,905,3554,5.06,479,2425,0.9
6838,22576,2980,1547,241,-10347,-5010,-4720,3304,-3536,12,1394,-4810,-1056,8220,537,1816,3695,5.06,479,2425,0.9
5852,32767,7756,2513,2556,-6545,-6876,-7216,3800,-3149,-329,1517,-4856,-1894,13954,448,2747,4147,5.06,484,2450,1.0
7526,32767,10514,2428,2050,-1145,-9252,-10386,5238,-1564,-27,2674,290,-1502,20488,65,1823,3825,5.06,464,2351,1.0
14236,32767,9010,337,-1644,3393,-13322,-11804,6030,-526,637,3242,4022,-2132,22850,-23,-273,2277,5.06,479,2425,1.0
15214,32767,5576,-3412,-452,5854,-15424,-9874,6678,-2743,484,2641,-864,-6276,16526,-340,-982,1973,5.06,484,2450,1.1
10076,24882,3534,-4816,-330,8049,-11484,-10770,7394,-5693,301,920,-2166,-5742,12392,-282,-700,754,5.06,489,2475,1.1
6184,17316,2170,-4970,-667,8989,-8752,-12518,7332,-6594,734,560,-2702,-3508,10230,-3,-388,179,5.06,484,2450,1.2
3826,10712,814,-4688,119,9922,-7624,-12936,6886,-5776,-997,985,-2374,-1574,10206,85,139,147,5.06,484,2450,1.2
2500,5920,224,-4218,692,10088,-6230,-11208,6684,-3965,-1894,1780,-1658,1484,11862,263,263,-343,5.06,484,2450,1.3
1832,3096,-398,-4588,1030,9134,-5146,-9832,5876,-2452,-1337,1986,-1170,1794,10486,378,175,-515,5.06,484,2450,1.3
1536,-226,-822,-4221,2288,8132,-5810,-8264,4754,-1264,1170,852,-1842,1730,7916,350,177,-467,5.06,508,2574,1.3
324,-2790,-658,-2649,2393,7170,-3478,-8004,3958,-287,868,1022,-1126,788,6460,316,187,-410,5.06,459,2326,1.4
-382,-3826,-504,-1226,2041,6312,-3466,-6290,3286,568,1043,903,34,100,5938,225,42,-402,5.06,499,2524,1.4
-1420,-4210,-598,-470,1532,5039,-2792,-5142,2632,1023,1575,927,538,110,4728,130,-120,-318,5.06,489,2475,1.5
-2024,-5142,-1292,-286,282,3680,-2764,-4256,2242,985,1343,663,532,72,3672,66,-239,-241,5.06,503,2549,1.5
-2568,-6326,-1862,264,-480,2023,-2488,-3824,1994,958,910,437,584,178,3040,1,-466,-172,5.06,484,2450,1.6
-2942,-7194,-2074,1468,-2175,31,-2314,-3290,1664,873,845,137,608,160,2838,-84,-620,-34,5.06,494,2500,1.6
-2718,-7024,-2292,2199,-4015,-1847,-2226,-3004,1302,907,794,-156,450,340,1616,-179,-627,22,5.06,489,2475,1.6
-2004,-5880,-2358,2173,-3843,-3929,-2320,-2904,816,1180,401,-296,164,182,1250,-314,-576,65,5.06,489,2475,1.7
-1580,-5876,-2124,2218,-2425,-5583,-2520,-2798,542,1674,-81,-388,-180,108,1342,-508,-574,89,5.06,455,2302,1.7
-1618,-5144,-2112,2582,-666,-7234,-2502,-2540,474,2282,-801,-290,172,76,1900,-675,-549,118,5.06,484,2450,1.8
-2018,-3740,-2256,2825,668,-8400,-2344,-2122,454,2903,-1734,-196,352,342,2504,-754,-510,95,5.06,484,2450,1.8
-2134,-2742,-1772,2667,2301,-9391,-2314,-1898,416,2480,-1090,-241,478,362,3678,-723,-416,-26,5.06,489,2475,1.9
-1924,-680,-1120,1645,3828,-10026,-2770,-2424,756,1702,283,-593,528,362,5514,-562,-394,-207,5.06,484,2450,1.9
-2570,1528,496,898,3627,-10006,-1694,-3690,1566,1279,1791,-528,544,606,8624,-206,-478,-457,5.06,484,2450,1.9
-3400,6022,3370,2424,3432,-9324,-3386,-5472,3284,1049,3764,-737,244,230,10488,136,-755,-762,5.06,489,2475,2.0
-494,16612,2274,2562,1516,-7126,-4606,-7958,3686,657,3953,-257,-606,-948,10922,507,-847,-1198,5.06,484,2450,2.0
818,22012,-868,992,2478,-7289,-7346,-10228,4066,-39,2535,-502,-1510,-2248,11808,794,-803,-1618,5.06,484,2450,2.1
-4460,32767,4228,2288,876,-3406,-10764,-16872,6318,85,1591,-1634,-2196,-4796,13992,737,-938,-1703,5.06,464,2351,2.1
-5662,32767,7950,3561,-690,971,-15530,-20824,8222,1255,887,-2478,-878,-6302,14328,-2,-1375,-2123,5.06,469,2376,2.2
3444,32767,9124,1234,-5681,2056,-16822,-21750,8668,809,-1202,-5232,-414,-3978,13814,-760,-1365,-2829,5.06,489,2475,2.2
