AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
2794,12180,-1266,2260,7533,6935,1580,-8354,-2918,841,-8656,-729,-4004,-4024,6824,648,-2411,9032,5.08,386,1963,0.0
2526,11658,-1224,1818,7400,7213,2114,-8298,-3028,194,-8255,-1106,-3330,-4154,6880,742,-2391,8480,5.06,508,2574,0.1
2204,11398,-1694,1597,7068,7541,1868,-8080,-2754,-41,-7846,-1530,-2754,-4422,7062,757,-2458,8085,5.06,552,2797,0.1
1396,10750,-1190,1585,6305,7862,2482,-8040,-2614,174,-7667,-1996,-2710,-4362,6772,725,-2477,7565,5.06,513,2599,0.2
686,10446,-536,1664,5661,8039,2886,-8106,-2124,666,-6462,-2027,-2292,-3860,6386,677,-2414,7037,5.06,528,2673,0.2
126,10036,-464,1617,5017,8001,3416,-7598,-1894,694,-6395,-1938,-2052,-3494,6722,623,-2528,6778,5.06,513,2599,0.2
-292,9058,-808,1758,4383,7824,3230,-7604,-2634,716,-5889,-2241,-2574,-3380,6498,529,-2620,6712,5.06,518,2623,0.3
-422,8284,-490,1768,3529,7497,3470,-6812,-2424,644,-5435,-2245,-2552,-3236,5946,447,-2581,6447,5.06,508,2574,0.3
-470,7498,92,1703,2707,7061,4546,-6200,-1956,763,-4972,-2111,-1808,-3122,5584,406,-2463,6069,5.06,503,2549,0.4
-332,7006,260,1742,2002,6561,3798,-6406,-1394,1027,-4311,-2274,-536,-2290,6226,555,-2209,5550,5.06,508,2574,0.4
194,6252,114,2279,1489,5825,4194,-6178,-1196,1105,-3913,-2230,-344,-1770,9624,1070,-2105,5190,5.06,533,2698,0.5
1432,6530,580,2950,1197,5132,4206,-6616,-1404,1414,-4028,-2031,-1920,-3034,7310,1044,-2350,4752,5.06,513,2599,0.5
1172,6840,1860,3658,1158,4686,4424,-5742,-1394,1465,-3194,-1734,-3070,-4578,5458,592,-2230,4588,5.06,528,2673,0.6
114,6424,3206,4130,175,4260,4874,-5218,-1366,481,-3168,-1820,-2814,-5324,3864,281,-1523,4433,5.06,513,2599,0.6
