AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,337,1714,0.0
-2638,8688,26,636,-5866,3914,-17110,-10762,2120,4019,-4740,-15292,-1182,-184,8220,122,1054,-3277,5.07,362,1835,0.0
-2068,6748,-304,1776,-7917,2319,-16160,-6706,872,2976,-3910,-16240,-860,210,7632,58,862,-2579,5.08,420,2137,0.1
-1582,5764,-200,2414,-8908,2451,-13958,-4434,-1156,2143,-4215,-15208,-586,16,6538,-49,586,-2312,5.07,386,1959,0.1
-806,4958,70,2928,-8097,1698,-11376,-1120,-2598,1153,-1745,-15989,-518,-660,5494,-250,465,-2093,5.08,381,1938,0.1
-472,4218,-610,3041,-7657,1117,-9616,-1092,-3854,534,327,-15065,-458,-478,4576,-429,366,-1937,5.08,381,1938,0.2
-506,3460,-1026,3307,-7808,511,-8956,444,-3510,1565,1008,-14056,-24,44,3834,-496,370,-1832,5.08,381,1938,0.2
-432,3336,-826,3630,-6949,-68,-7008,3498,-5732,1470,742,-12625,-98,-52,3612,-385,392,-1589,5.07,391,1984,0.3
-3960,2972,-1570,3320,-6526,1057,-7988,5878,-8436,42,3954,-10583,-562,-614,3496,-295,411,-1684,5.07,391,1984,0.3
694,1838,-1384,2280,-6684,1323,-7274,7754,-9294,-1841,3110,-8602,-1088,-1020,3378,-188,488,-1726,5.08,362,1838,0.3
830,2278,-1404,1037,6377,1127,-6252,7548,-8094,-3715,1252,-6742,-1052,-1464,3766,-74,596,-1652,5.07,391,1984,0.4
-2880,2868,-744,289,466,155,-1428,7048,-6328,-4566,3626,-5775,-592,-1252,4742,73,629,-1567,5.08,406,2062,0.4
-996,2262,-516,309,-1074,-348,-2714,6418,-5646,-5438,3030,-3486,-636,-964,4878,346,566,-1715,5.07,391,1984,0.4
-922,3494,-250,-48,913,-561,-1064,6430,-4748,-4672,6037,-672,-602,-858,4908,683,504,-1963,5.07,386,1959,0.5
-2244,4128,126,166,-712,-1337,-1906,5334,-3582,-4712,6857,1821,-446,-954,5102,984,542,-2294,5.07,386,1959,0.5
-1956,5764,140,647,1588,-768,-1950,4776,-2562,-5142,7116,4418,-1450,-1694,5504,1211,725,-2509,5.07,386,1959,0.5
-1854,8138,1188,429,8557,99,-178,2536,438,-4683,7050,7055,-2300,-3004,6224,1223,1012,-2745,5.07,396,2008,0.6
-4702,10080,2518,-262,9413,-1188,736,-5376,7164,-2789,6891,8312,-2256,-3036,7490,1046,1303,-2996,5.07,391,1984,0.6
-7654,11570,3070,-433,4797,-944,2646,-19866,12650,-660,6573,7774,-3160,-1800,9886,688,1690,-2434,5.08,371,1888,0.6
