AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
540,8848,624,-1540,-6475,-1710,-6672,-7318,3658,-1028,6614,-5592,-2174,-1898,7138,-2056,923,-8383,5.08,352,1789,0.0
748,8358,198,-1583,-6230,-1645,-6214,-7040,3692,-1392,6464,-5561,-2178,-1610,6914,-2011,1084,-8194,5.07,367,1860,0.0
1544,8376,436,-1495,-6219,-1786,-5522,-7480,3396,-1401,6381,-5476,-1944,-1504,6736,-1935,1127,-8021,5.07,396,2008,0.1
1878,8336,612,-1460,-5863,-1704,-5168,-7726,3466,-1113,6413,-5292,-2010,-1782,6310,-1898,1168,-7833,5.07,401,2033,0.1
1802,8458,914,-1582,-5553,-1670,-5022,-7598,3540,-816,6524,-5091,-2002,-2092,6642,-1832,1312,-7722,5.08,396,2012,0.2
1748,8272,878,-1799,-5256,-1663,-4966,-7596,3898,-768,6550,-4953,-1776,-2370,7398,-1729,1443,-7639,5.08,396,2012,0.2
1992,8042,770,-1934,-4869,-1729,-4554,-7358,4036,-986,6557,-4845,-1112,-2430,8280,-1652,1421,-7644,5.08,396,2012,0.2
2072,7908,780,-2148,-3936,-1729,-3882,-7272,3996,-1381,6568,-4756,-906,-2048,9100,-1566,1220,-7719,5.08,401,2037,0.3
2054,7766,724,-2242,-3161,-1959,-3466,-7598,3932,-1419,6556,-4621,-1080,-1536,9166,-1460,989,-7755,5.08,401,2037,0.3
2308,7746,1086,-2211,-3083,-2317,-3032,-7838,4030,-1022,6609,-4479,-1526,-312,8424,-1333,846,-7643,5.07,415,2108,0.3
1654,7836,1604,-2377,-2993,-2568,-2632,-7678,3816,-863,6640,-4404,-1218,246,7902,-1212,736,-7408,5.08,386,1963,0.4
1252,7270,1610,-2402,-3579,-2871,-2350,-7904,3368,-793,6654,-4423,-592,-46,7594,-1162,661,-7186,5.07,401,2033,0.4
1314,7290,1444,-2301,-4792,-3023,-2054,-8504,3148,-769,6579,-4489,-406,-212,7216,-1166,649,-7061,5.07,406,2058,0.4
1558,7358,1296,-2202,-5504,-3097,-2064,-9000,3090,-504,6448,-4606,-664,-864,6808,-1221,542,-6806,5.07,420,2132,0.5
1878,7736,1676,-2095,-6175,-2876,-1952,-8954,2944,-309,6233,-4796,-1066,-1792,6502,-1388,463,-6480,5.07,415,2108,0.5
1986,7828,2246,-2025,-6464,-2726,-1934,-9046,2502,-348,6084,-5002,-338,-3154,6320,-1605,461,-6361,5.07,415,2108,0.5
2124,7738,2466,-1991,-7018,-2367,-2104,-9204,2026,-515,6197,-4918,-100,-3636,7104,-1789,337,-6470,5.07,396,2008,0.6
2398,7900,2342,-2448,-7039,-2043,-2410,-8388,2100,-668,6296,-5398,-816,-3334,6928,-1893,193,-6623,5.07,406,2058,0.6
2768,8272,2140,-3032,-6771,-1646,-2050,-8324,2320,-866,6242,-5653,-416,-1256,6350,-1752,208,-7019,5.07,381,1934,0.7
2962,8694,2376,-3543,-6294,-1233,-2052,-8104,2464,-1081,6131,-5789,-238,512,7436,-1375,310,-7134,5.08,415,2112,0.7
3684,9260,1840,-3842,-6018,-929,-2044,-8410,2724,-981,5661,-5759,-50,2048,10132,-1035,213,-7033,5.07,415,2108,0.7
4094,8654,1514,-4051,-5946,-964,-1994,-9090,2938,-599,5375,-5514,292,4170,11790,-797,-146,-6330,5.07,401,2033,0.8
5086,7786,446,-4052,-6132,-1176,-2256,-9494,3420,-405,5225,-5348,792,4752,10620,-686,-537,-5238,5.07,401,2033,0.8
6050,6888,-348,-3807,-6145,-1443,-2244,-9480,3576,-1063,4968,-5293,530,3926,9686,-738,-815,-4007,5.08,401,2037,0.8
7088,6264,-1038,-3317,-6547,-1749,-2498,-9574,3122,-1847,4621,-5290,510,3242,8730,-918,-914,-3034,5.07,401,2033,0.9
8104,5246,-2186,-2807,-6718,-2033,-2836,-10024,2724,-2000,4190,-5036,980,2794,7472,-1044,-808,-2145,5.07,401,2033,0.9
9586,4550,-4402,-2943,-6960,-2081,-2854,-9898,2292,-1784,3791,-4717,1170,1974,6456,-1092,-632,-1777,5.07,401,2033,0.9
10532,3800,-5462,-2919,-5726,-1951,-2856,-9566,1586,-2064,3663,-4484,1460,848,6746,-1197,-475,-1601,5.07,391,1984,1.0
12242,2874,-5964,-1405,-2547,-1357,-1920,-9220,772,-2523,3698,-3871,1700,246,7188,-1286,-457,-1543,5.07,396,2008,1.0
14584,4914,-7394,866,12154,5238,-1624,-9084,-398,-3445,4611,-3768,1466,292,7182,-1271,-338,-1519,5.07,396,2008,1.0
6924,4756,-5586,-1183,2788,2499,-1806,-9616,-478,-4615,5597,-3916,1944,500,7510,-1196,-311,-1399,5.07,401,2033,1.1
6210,4184,-4020,781,2169,1208,-2586,-9774,-58,-5370,6477,-3824,2278,840,8010,-1136,-339,-1242,5.07,411,2083,1.1
6046,3650,-3052,1207,895,2439,-3348,-9888,490,-5505,6719,-3806,2284,1814,8100,-995,-438,-1083,5.07,406,2058,1.2
4358,3122,-156,441,7344,2159,-3234,-9544,1464,-4747,6454,-3620,2162,1978,7572,-807,-560,-782,5.07,411,2083,1.2
1692,1390,5246,569,6721,1611,-3638,-8536,4158,-3371,5921,-3056,2078,1668,6836,-605,-574,-410,5.07,396,2008,1.2
-526,204,11404,674,3744,621,-17696,5426,32767,-3940,-245,179,2188,1332,6758,-368,-456,-93,5.07,396,2008,1.3
-16036,-3060,32714,1141,1593,-935,-18188,1682,500,-2888,-4244,-3481,2396,1528,7194,-84,-511,177,5.08,411,2087,1.3
5180,9870,14806,-1187,-2684,781,8760,-13574,3756,552,-3499,-1139,2066,1042,6840,90,-934,524,5.08,406,2062,1.3
180,-1944,6804,802,-2218,-1364,-3250,-3664,12184,154,-1837,3965,2624,-66,6050,-11,-1023,717,5.08,406,2062,1.4
-918,5300,-498,1577,-2904,-788,-1062,-722,9590,-583,-2835,2224,3122,-794,6060,-136,-899,619,5.07,396,2008,1.4
-3810,5986,3786,493,-828,-1342,2010,-6734,3308,-2536,-3987,1504,3096,-1160,6460,-95,-733,498,5.07,396,2008,1.4
432,4714,5054,346,-2028,-2510,5976,-7942,1372,743,-3868,2857,3730,-1914,7294,60,-715,216,5.07,406,2058,1.5
-256,5162,4508,-1527,-168,-3493,5300,-6876,328,1275,-3159,3019,4118,-2934,6978,51,-819,-113,5.07,406,2058,1.5
-820,4822,3876,-1156,1139,-4790,6720,-6762,-2488,2378,-2522,3033,3938,-3190,6672,-241,-844,-460,5.07,406,2058,1.5
-646,6876,2978,473,2034,-5777,8268,-6314,-4254,2243,-815,3290,3592,-3424,6134,-566,-683,-857,5.07,406,2058,1.6
-1008,8832,3116,1627,2455,-6555,7750,-7432,-4870,175,705,2553,3866,-3492,6190,-755,-488,-1412,5.07,401,2033,1.6
-1644,9790,3766,1332,864,-7915,8616,-8584,-5140,-609,2067,2432,3950,-4070,6288,-866,-242,-1944,5.07,401,2033,1.7
-1944,10902,3290,1118,477,-8514,9328,-8876,-5252,-1279,3640,1538,3600,-4638,6158,-1016,58,-2615,5.07,401,2033,1.7
-1776,14130,3142,840,858,-8433,8188,-10364,-4722,-71,5501,3078,3206,-4968,5712,-1190,439,-3376,5.07,396,2008,1.7
-1038,15356,2276,905,1387,-7952,7026,-10484,-4932,-1536,5175,317,2900,-5294,5926,-1386,826,-4201,5.07,401,2033,1.8
-1056,15602,2408,1413,897,-7253,6272,-12812,-5162,-1289,5667,-707,2758,-5342,6114,-1623,1198,-5074,5.07,411,2083,1.8
-1088,14846,2428,2312,78,-6601,4694,-13776,-4496,-14,6916,-483,2418,-5182,6560,-1908,1496,-5925,5.07,411,2083,1.8
-284,14358,2554,2619,-96,-5934,3006,-13370,-3862,-38,7534,-1256,1632,-4912,6998,-2170,1744,-6768,5.07,411,2083,1.9
576,13236,1942,2529,431,-5458,2434,-13082,-3636,-237,7752,-1898,1554,-4904,7564,-2397,1915,-7602,5.06,489,2475,1.9
1484,12316,1028,2047,-306,-5075,1178,-12914,-3676,-522,8089,-2510,1190,-4750,8704,-2595,1982,-8330,5.07,401,2033,1.9
1764,10706,898,2156,-3130,-4883,-848,-13190,-3666,-105,8343,-2748,340,-4392,9146,-2803,1923,-8837,5.07,401,2033,2.0
1932,9456,178,1921,-3934,-5186,-2546,-13266,-3464,502,8486,-2749,-112,-3276,9778,-2979,1757,-9241,5.07,401,2033,2.0
-3244,7578,818,2610,-4503,-4107,-4268,-12128,-2884,507,8569,-3020,-504,-1276,10394,-2948,1874,-9326,5.07,396,2008,2.1
1536,9270,-800,1760,-7077,-5626,-3116,-11842,-3014,88,9040,-3509,-918,382,11350,-2684,1750,-9328,5.07,396,2008,2.1
1446,9474,-536,1661,-6962,-5590,-3772,-11182,-3052,-171,8979,-3663,-328,-384,10418,-2530,1187,-9338,5.07,401,2033,2.1
648,10272,-790,1800,-8239,-5299,-4010,-10466,-3232,-601,9030,-3829,-1154,-4268,7686,-2886,894,-9232,5.07,401,2033,2.2
242,10472,-1304,1467,-10013,-5069,-4144,-10268,-3484,-548,9489,-3786,-1994,-4920,6556,-3309,930,-9499,5.07,401,2033,2.2
632,9580,-1834,1172,-10356,-4777,-4072,-9352,-3618,-390,10223,-3648,-2490,-4268,6388,-3445,1174,-9837,5.07,406,2058,2.2
644,8954,-2086,996,-10459,-4772,-4724,-8822,-3864,-466,10057,-3573,-2504,-3304,6828,-3285,1370,-10221,5.08,411,2087,2.3
774,8516,-1756,965,-10499,-4505,-4814,-8198,-3782,-576,9594,-3691,-2360,-2846,7290,-2888,1454,-10719,5.07,401,2033,2.3
604,8726,-1434,832,-10613,-4187,-4762,-7602,-3722,-656,9925,-3863,-3116,-1880,7220,-2384,1410,-11145,5.07,401,2033,2.3
330,8942,-1080,356,-10660,-3973,-4548,-7674,-3766,-656,10208,-3726,-4096,-1050,6412,-1935,1432,-11356,5.07,406,2058,2.4
-78,9450,-904,-269,-10440,-4187,-4340,-7832,-3798,-635,10207,-3814,-4062,-140,6576,-1602,1571,-11408,5.07,415,2108,2.4
-420,9630,-1160,-693,-10223,-4591,-4112,-8276,-3630,-531,10075,-3844,-3360,382,7376,-1366,1506,-11416,5.07,401,2033,2.5
-356,9140,-1140,-576,-10247,-4819,-3704,-8808,-3468,-647,9627,-3979,-2748,-174,7964,-1256,1282,-11454,5.07,406,2058,2.5
-224,8436,-824,-1,-10584,-4874,-3220,-9200,-3444,-734,9434,-4041,-2708,-842,8544,-1354,1000,-11376,5.07,415,2108,2.5
600,8160,-180,680,-11000,-4870,-3152,-9320,-3354,-1114,9177,-3964,-2508,-1286,9228,-1604,727,-11069,5.07,401,2033,2.6
856,7786,638,752,-11341,-5245,-3162,-10054,-3306,-1746,8887,-3903,-3566,-1468,10064,-1922,416,-10591,5.07,406,2058,2.6
868,7894,1346,609,-11362,-5217,-3066,-10500,-3302,-2490,8509,-3621,-4166,-514,9060,-2083,450,-10170,5.08,396,2012,2.6
1064,8114,1672,419,-11353,-5137,-2914,-11380,-2868,-2770,8431,-3352,-4304,50,8620,-2087,554,-9870,5.07,396,2008,2.7
920,8186,1710,370,-11184,-4775,-3326,-11752,-2614,-2531,8355,-2805,-4004,-64,8744,-2093,619,-9709,5.07,396,2008,2.7
1640,8530,1558,791,-11277,-4454,-3678,-11828,-2316,-2099,8269,-2361,-3886,-338,8840,-2171,633,-9507,5.07,396,2008,2.7
2104,8232,1756,1035,-11754,-4191,-4434,-11438,-1716,-1789,8333,-2243,-3558,-918,8806,-2307,583,-9408,5.07,396,2008,2.8
2450,8638,2186,744,-12959,-4149,-4786,-10774,-788,-1591,8478,-2224,-3718,-1086,8586,-2419,607,-9343,5.07,391,1984,2.8
2746,7674,2274,-313,-13912,-4287,-4888,-10158,-78,-1452,8576,-2217,-3900,-1386,8456,-2519,644,-9214,5.08,420,2137,2.8
4082,7738,2284,-1164,-13475,-4095,-4160,-9776,296,-1137,8859,-2188,-3940,-1532,8420,-2569,773,-9058,5.08,391,1988,2.9
4046,7630,1454,-1914,-13311,-4687,-4050,-8962,426,-1078,8730,-2081,-3878,-1460,8384,-2577,812,-8948,5.07,396,2008,2.9
3616,6986,2442,-1622,-11384,-3985,-3906,-8256,716,-902,8900,-1925,-3930,-1128,8234,-2564,845,-8836,5.07,401,2033,2.9
3550,7008,2180,-1385,-9905,-3375,-3174,-8044,1076,-700,9129,-1730,-3780,-1256,8432,-2545,848,-8777,5.07,401,2033,3.0
7496,8106,1342,-2503,-6564,-609,-2196,-7846,1350,-466,9158,-1491,-3766,-1384,8688,-2519,832,-8752,5.07,401,2033,3.0
2654,6216,3726,-2154,3566,1055,-1610,-7598,1804,-251,8940,-1338,-3592,-1956,8334,-2514,813,-8700,5.07,406,2058,3.1
2632,6242,3020,-1144,-570,-1351,-694,-7360,2012,-94,9233,-1509,-3754,-1874,8014,-2554,764,-8651,5.07,406,2058,3.1
-484,6660,3224,-2962,-14483,-1298,-164,-8086,1580,-223,9159,-1719,-4074,-1564,7984,-2525,779,-8610,5.07,401,2033,3.1
2942,7358,3040,-2046,-6750,-2568,184,-7868,1158,-224,9036,-1793,-3856,-1634,8026,-2434,748,-8641,5.07,406,2058,3.2
372,7030,3340,-2016,-10827,-3004,710,-8176,758,-93,8911,-1914,-3698,-1616,8026,-2286,708,-8724,5.07,406,2058,3.2
2330,7122,2798,-2272,-7426,-2813,420,-7834,644,108,8719,-2226,-3264,-2212,7482,-2132,731,-8848,5.07,401,2033,3.2
632,7230,3168,-3062,-6428,-2637,1604,-7636,-18,258,8670,-2400,-3378,-2830,6748,-2015,757,-8985,5.07,406,2058,3.3
48,7420,3216,-3410,-6720,-3116,800,-7398,-632,21,8402,-2833,-3806,-3432,5992,-1950,909,-9157,5.07,406,2058,3.3
30,7558,2918,-3805,-7399,-3754,816,-7144,-1238,-197,8301,-3203,-4172,-3610,5212,-1901,1089,-9329,5.07,401,2033,3.3
-12,7590,2690,-4055,-6364,-3738,964,-7006,-1956,-286,8277,-3517,-4728,-3728,4470,-1877,1217,-9449,5.07,401,2033,3.4
-328,7692,2872,-4318,-5249,-3538,728,-6958,-2352,28,8278,-3759,-5110,-3560,3668,-1900,1356,-9568,5.07,401,2033,3.4
-136,7226,2720,-4355,-2926,-3204,168,-6964,-2348,466,8295,-3949,-4076,-3192,3588,-1914,1566,-9864,5.07,386,1959,3.4
-460,6942,2092,-5038,-2876,-3661,722,-7514,-2320,909,8335,-3978,-3262,-2082,4258,-1751,1824,-10216,5.07,425,2157,3.5
322,6854,1432,-5279,-4182,-4261,152,-7486,-2554,1291,8169,-3530,-3294,-1140,6822,-1314,1891,-10517,5.07,406,2058,3.5
878,6770,1752,-5264,-4611,-4531,-868,-8440,-2654,763,8394,-3969,-4698,2986,10360,-708,1732,-10339,5.07,406,2058,3.6
1054,7330,1566,-5320,-4536,-4559,-1454,-8936,-2420,689,8838,-4061,-4904,3244,9794,-393,1063,-9319,5.07,396,2008,3.6
1020,7322,1996,-5173,-4092,-4792,-2138,-9194,-1798,745,9439,-4409,-1678,2248,8682,-499,1029,-8502,5.07,406,2058,3.6
916,7188,1392,-3947,-5299,-4915,-2270,-9410,-584,914,8960,-4667,2220,4264,13554,-448,711,-8337,5.07,406,2058,3.7
