AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
5390,8426,-3428,-3885,-2221,-87,4348,-6892,132,2550,-7155,-5748,-2172,-2352,7816,-565,1221,705,5.08,352,1789,0.0
4524,2618,-3318,-592,-10336,7510,5288,-4544,-3656,3989,-6532,-5741,-588,-716,7766,-92,1232,-228,5.07,406,2058,0.0
4526,76,-3822,3557,-11623,8368,5718,-1270,-5498,5566,-4848,-5116,-436,-352,7128,341,1022,-646,5.08,396,2012,0.1
4514,-392,-4806,-1058,-2699,5461,5456,1726,-5340,6111,-3672,-4376,-736,-524,5298,275,689,-624,5.08,401,2037,0.1
2410,-2700,-5380,-2172,3598,1723,5028,2680,-5196,5370,-2712,-3900,-1198,-800,3506,64,383,-684,5.08,425,2161,0.2
1894,-5026,-5340,-2365,4535,2567,5512,5840,-6006,4454,-1617,-2728,-586,-140,3252,29,-36,-144,5.07,396,2008,0.2
1458,-6160,-5622,-308,1738,3898,6980,8228,-7046,2770,-277,-1466,126,-360,3684,-103,-130,666,5.07,406,2058,0.2
1976,-6644,-5890,-142,3012,1996,6790,7588,-6862,981,1335,-431,-132,-1422,3334,-218,-158,994,5.08,401,2037,0.3
2270,-7284,-6022,216,3972,-61,5546,7004,-6058,-469,2842,580,-316,-2392,2990,-277,-177,649,5.08,401,2037,0.3
2106,-6668,-6186,644,4496,-1222,4210,6772,-4858,-1784,3624,1498,-420,-2312,2948,-419,-73,322,5.08,396,2012,0.3
1996,-7700,-6660,1392,4080,-2086,3836,5950,-4394,-3061,3817,2318,-1196,-1382,2648,-377,-88,59,5.08,396,2012,0.4
2896,-7138,-7224,2371,2191,-2940,3674,4310,-4136,-4093,3948,3096,-1994,-1708,2874,-238,225,-211,5.07,396,2008,0.4
3528,-5628,-7162,2790,1709,-4251,2974,2948,-3888,-4859,4151,3846,-2516,-1884,4164,-35,604,-649,5.07,406,2058,0.4
3040,-3738,-6912,2803,2845,-5721,2154,1484,-4072,-5660,4346,4466,-2640,-1848,6762,101,849,-1030,5.08,376,1913,0.5
2254,-2668,-7364,3171,4010,-6868,1344,-990,-4670,-6379,4255,5192,-3214,-1192,9112,177,890,-1162,5.08,401,2037,0.5
1274,2484,-5324,3250,4396,-7320,178,-7008,-2362,-6034,4009,5581,-3352,-1038,9852,76,896,-992,5.07,406,2058,0.5
-560,11430,782,2615,4045,-5562,-918,-15844,2572,-4045,3221,5250,-3606,-458,10918,18,970,-877,5.07,401,2033,0.6
108,17914,7344,2284,2543,-2257,-84,-21852,5450,-1244,2390,5025,-3168,-16,11628,48,879,-879,5.07,411,2083,0.6
4426,25058,11914,1989,-325,-54,-1050,-26646,7712,393,2479,3633,-2484,564,14434,215,698,-612,5.07,406,2058,0.7
5536,26736,15170,-93,137,-1672,-2648,-28480,10358,1549,1745,2779,-1094,2564,17246,300,78,-116,5.07,401,2033,0.7
5864,25420,17740,-96,-3706,-27,-3818,-26948,12330,996,442,1046,672,1214,15576,166,-1080,240,5.08,401,2037,0.7
11264,25228,16064,2555,-10865,1028,-2038,-24976,13688,569,-1436,-1003,-1318,1960,10676,-109,-1677,1508,5.07,406,2058,0.8
28292,17760,8076,1016,-8817,2762,392,-21100,11822,488,-2943,-2726,-3074,734,8326,40,-1881,2201,5.07,415,2108,0.8
10808,18388,7250,36,16967,-1533,1800,-15920,8534,1206,-4166,-3431,-4724,-1840,6696,264,-1414,1961,5.08,376,1913,0.8
7506,13518,2922,-2320,739,241,2876,-11626,5580,1930,-5383,-3758,-5452,-4448,6206,172,-414,2100,5.07,411,2083,0.9
5288,10092,-8,-3017,-6842,821,4216,-8100,2966,2282,-6432,-4375,-4726,-5028,6454,-178,285,1806,5.08,415,2112,0.9
6142,6842,-2444,-257,-13064,5462,5452,-5964,580,2964,-6231,-4307,-3672,-1382,6770,-139,640,943,5.07,411,2083,0.9
5780,3462,-4424,580,-9503,6788,5674,-4036,-1414,3745,-5835,-4123,-1572,170,7192,305,799,384,5.08,406,2062,1.0
4076,2248,-4930,-961,127,3945,5708,-1722,-3816,4404,-5001,-3755,-746,42,6700,668,655,-16,5.07,420,2132,1.0
2102,1028,-4732,-1270,1876,3925,5874,1360,-5174,4560,-3633,-3163,-816,-460,5996,647,162,-159,5.07,406,2058,1.1
1346,-916,-4952,-831,639,5238,5970,3152,-5060,3804,-2167,-2578,-530,-1332,4816,442,-43,-302,5.07,415,2108,1.1
1172,-2614,-4940,-1123,1291,4463,6048,3694,-5134,2837,-740,-2056,-300,-2912,3308,221,-373,-69,5.07,406,2058,1.1
750,-4528,-5288,-1429,2798,3157,5732,4876,-5674,1864,488,-1317,332,-2130,2512,-142,-578,315,5.07,406,2058,1.2
650,-5730,-5080,-2296,6648,1454,5648,5874,-5804,522,1910,-553,564,-2588,1660,-441,-535,676,5.07,406,2058,1.2
