AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
2640,4740,-1424,-3283,-3207,2327,-834,-10736,-1294,1112,1327,-709,-1546,-2542,6888,-243,821,-3884,5.08,342,1739,0.0
-242,1986,-1910,-2830,-4206,1445,-230,-10352,-1430,1418,1904,-1403,-1360,-1812,6304,-346,1028,-4102,5.08,362,1838,0.1
2036,1088,-2420,-2485,-2872,1237,-76,-9914,-1230,1958,2313,-1305,-1136,-1216,6070,-340,1120,-4208,5.07,396,2008,0.1
1562,792,-2494,-2836,-1983,482,270,-8830,-1286,2491,2520,-1425,-822,-434,6204,-272,969,-4289,5.06,425,2153,0.1
766,-430,-3504,-3326,278,-2200,538,-6852,-1604,2716,3556,-1800,44,-622,5738,-175,726,-4525,5.08,342,1739,0.2
212,-930,-3704,-3222,323,-3268,384,-5986,-1808,2690,3752,-1725,-226,-610,5748,-184,537,-4620,5.06,411,2079,0.2
708,-1168,-3488,-2752,-140,-4845,452,-4486,-2250,2386,3593,-1590,-406,-952,5250,-288,427,-4682,5.08,347,1764,0.2
1162,-1190,-3658,-2152,442,-5850,510,-3746,-2794,2030,3593,-1573,-650,-1112,5296,-325,450,-4711,5.08,391,1988,0.3
-2368,-1910,-3196,-1795,-693,-6415,386,-3470,-3188,1663,3849,-1379,-752,-1284,5466,-327,503,-4801,5.07,391,1984,0.3
2564,-1964,-8168,-680,-1958,-8296,68,-3310,-4076,1577,4430,-763,-694,-1144,5984,-301,541,-5083,5.08,347,1764,0.3
-3904,-2762,-2680,-1260,-7302,-6992,80,-2774,-4552,1602,5052,-99,-638,-1212,5948,-248,590,-5351,5.07,391,1984,0.3
-2806,3078,-2768,-227,-6449,-6947,346,-2408,-4716,1610,5835,646,-498,-974,6360,-145,564,-5561,5.07,396,2008,0.4
1714,2582,-4062,1035,-5070,-8945,-96,-1886,-5104,1566,6627,1179,-494,-924,7274,124,634,-5986,5.08,347,1764,0.4
1532,3746,-5616,2834,-3237,-8885,-120,-1748,-4888,1443,6582,1961,-618,-1022,7534,285,620,-6188,5.07,396,2008,0.4
-4930,11954,-2592,4203,-2874,-8199,134,-1570,-5114,997,6278,3080,-548,-1282,8072,560,577,-6494,5.08,352,1789,0.5
-4520,15850,-1474,2637,-5865,-6927,160,-2034,-5176,83,6256,3601,-646,-1380,8256,708,502,-6544,5.08,391,1988,0.5
-2302,19708,-2292,1895,-8100,-6984,-762,-4718,-4944,-860,6089,3605,-950,-1344,7882,824,437,-6592,5.07,396,2008,0.5
-1254,20962,-5050,1660,-10264,-3536,-2642,-11936,-5040,-1382,4897,2650,-586,-732,6834,912,201,-6529,5.08,352,1789,0.6
-328,21822,-4596,2446,-11629,-1297,-2878,-15404,-4762,-901,4120,2331,-682,-948,7438,976,50,-6409,5.07,401,2033,0.6
-318,21318,-3772,3212,-12500,137,-3010,-18300,-3586,-470,3880,1410,-638,-1576,8654,1024,-57,-6257,5.07,401,2033,0.6
2098,18900,-3284,3206,-12127,1806,-3148,-23736,-1870,-562,3104,-1351,-1712,-3112,10200,943,-113,-5770,5.07,342,1736,0.7
2292,17348,-3766,2041,-10654,2035,-428,-24978,-558,-81,4972,-2390,-2046,-2516,9474,812,-200,-5467,5.07,415,2108,0.7
2076,15564,-3876,476,-9294,1753,664,-22812,-78,290,8022,-4167,-3362,-1844,7722,792,243,-5171,5.06,415,2104,0.7
1208,11822,-3754,-954,-8470,1879,-1260,-21496,-112,501,6866,-7135,-3742,-1156,8490,711,708,-4714,5.08,352,1789,0.8
1592,10176,-4088,-945,-8298,2277,-656,-20184,-358,760,6141,-8410,-3442,-532,8650,670,885,-4563,5.07,401,2033,0.8
1684,9378,-4424,-669,-7550,2408,-862,-19196,-556,951,6410,-9129,-2558,-716,8518,582,981,-4502,5.06,391,1980,0.8
1402,8818,-4340,-398,-6171,2417,-2114,-17538,-1232,1268,6187,-10358,-2136,-746,8378,334,1132,-4180,5.08,347,1764,0.9
1576,8560,-4388,-471,-5035,2366,-2412,-16044,-1842,1415,6503,-10768,-1634,-680,7530,194,1173,-3817,5.06,415,2104,0.9
1582,7460,-3908,-793,-3760,2085,-3398,-13724,-2184,2206,8258,-11068,-754,-778,6994,-2,962,-3181,5.07,342,1736,1.0
1488,6948,-3466,-923,-3509,2057,-3500,-11752,-2588,2949,8406,-10791,-248,-1214,7216,-137,644,-3136,5.08,391,1988,1.0
1566,6438,-3286,-1021,-2890,1885,-3928,-9340,-2368,4031,8620,-10513,84,-1134,6832,-210,410,-3067,5.06,406,2054,1.0
1122,5228,-2916,-1157,-2283,1512,-4408,-5786,-3138,4842,7838,-9326,-364,-912,6118,-223,132,-2724,5.08,347,1764,1.1
1156,4878,-2928,-1027,-2095,1249,-4094,-4060,-4402,4914,7104,-8539,-624,-1144,5590,-231,108,-2709,5.07,411,2083,1.1
1188,4474,-2552,-887,-1715,994,-4426,-1268,-4662,4725,5908,-7947,-450,-1336,5362,-244,83,-2645,5.06,406,2054,1.1
1086,3994,-2336,-750,-1088,872,-3264,3814,-4950,3076,4341,-5736,-686,-1438,4722,-277,196,-2659,5.08,347,1764,1.2
1044,3740,-2092,-559,-697,737,-3382,6054,-5462,1173,3853,-4932,-844,-1356,4036,-297,328,-2648,5.07,391,1984,1.2
1012,3714,-2076,-255,-271,633,-3838,7396,-5784,-901,3319,-3912,-978,-1422,3900,-334,406,-2585,5.07,391,1984,1.2
916,3920,-2048,298,365,412,-4250,7906,-5800,-3622,2161,-1588,-1054,-1176,3772,-345,504,-2523,5.07,362,1835,1.3
466,4406,-1862,503,761,237,-4364,7422,-5570,-4586,1565,177,-1222,-902,3858,-254,632,-2504,5.07,396,2008,1.3
904,5680,-1118,154,1248,243,-4006,5638,-5072,-5045,750,3513,-1350,-1248,6208,-74,908,-2446,5.08,347,1764,1.3
414,6012,-1748,-470,1591,62,-4136,4362,-4330,-4946,235,5407,-1220,-1538,7868,-101,865,-2455,5.06,411,2079,1.3
1034,6746,-2112,-416,2502,-380,-4492,2532,-2842,-4534,-770,7127,-1040,-1552,8832,-66,782,-2382,5.07,396,2008,1.4
92,8870,-1798,3,2901,-485,-3618,-706,-1404,-3860,-2890,9483,-2038,-2022,8466,52,875,-2212,5.08,347,1764,1.4
-252,10486,-1116,262,2228,-331,-3586,-4018,-1754,-5718,-2547,10039,-2242,-1968,8488,108,1116,-2211,5.06,406,2054,1.4
-880,13732,-1006,-422,-152,142,-3678,-27574,5646,-5449,-5826,9359,-2470,-358,9574,293,1275,-1851,5.08,342,1739,1.5
-1100,14406,-1042,-938,-2388,253,9244,-32768,8212,-3994,4784,7283,-1868,460,10862,500,1285,-1792,5.07,396,2008,1.5
-210,14484,42,-1043,-4057,494,-4046,-32768,10004,-3656,917,1603,-1088,1662,11786,822,1018,-1785,5.07,396,2008,1.5
736,12390,1090,-105,-6518,1687,9476,-32768,10732,-506,665,-762,-1070,1592,11658,1129,301,-1347,5.07,347,1761,1.6
2524,11654,934,760,-4546,818,11590,-30292,11300,584,-465,-3235,-2024,1528,10832,1064,218,-647,5.08,396,2012,1.6
1744,10028,848,1269,-4759,865,10766,-22274,10542,770,-2003,-6202,-1978,1084,9626,768,161,-52,5.07,391,1984,1.6
2356,9684,170,2021,-6342,1238,7844,-15720,7570,1644,-1936,-7705,-2276,548,8360,33,168,580,5.08,342,1739,1.7
3752,9736,172,1794,-6273,1311,5110,-13360,6160,2990,-808,-7001,-1782,-364,7738,-203,187,1066,5.06,401,2029,1.7
4634,9494,-290,1105,-4652,912,1788,-8280,2770,3734,207,-6316,-1164,-2992,7564,-551,303,1126,5.08,347,1764,1.8
4600,9566,-470,494,-2836,807,388,-6092,882,3376,711,-6577,-578,-2378,7584,-710,296,863,5.07,401,2033,1.8
4448,9234,-900,-70,-1240,838,-1042,-4426,-532,3119,407,-6423,-450,-1802,7218,-700,208,711,5.07,391,1984,1.8
3420,8000,-886,-777,253,1069,-886,-1468,-3088,2052,19,-5489,-544,-1794,6344,-586,105,568,5.08,352,1789,1.8
2782,7264,-294,-1288,645,831,-1088,-224,-3982,2065,700,-4333,-588,-1960,6016,-516,27,453,5.07,391,1984,1.9
2160,5768,-316,-1909,4391,1026,-756,2014,-5418,2265,2827,-1839,-148,-2044,4978,-448,-48,147,5.08,342,1739,1.9
