AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-4866,3762,2758,93,-2044,420,-6168,-1128,-1316,327,-328,31,-100,1130,6050,138,354,-341,5.08,342,1739,0.0
-5286,4204,2722,-179,-1405,305,-6634,-328,-1552,247,-370,-395,-462,1114,6314,70,386,-196,5.08,347,1764,0.1
-5774,4562,2664,-271,-1287,208,-6836,-708,-1758,-43,-415,-163,-818,1150,6200,44,435,-40,5.07,396,2008,0.1
-5568,4644,2380,-476,-1036,79,-7400,-506,-1572,-2,-292,-320,-706,1502,6438,15,415,147,5.08,352,1789,0.1
-5846,4610,2478,-567,-900,48,-7416,-522,-1566,-340,-378,-223,-534,1714,6714,55,461,140,5.07,415,2108,0.1
-5704,4796,2548,-745,-681,-11,-7438,-474,-1676,-504,-228,-48,102,1534,7952,206,422,7,5.08,352,1789,0.2
-6060,5120,2530,-848,-443,-21,-7782,-420,-1552,-633,-257,57,212,1364,8494,311,380,-125,5.07,396,2008,0.2
-6924,5802,2126,-1111,-129,-102,-8910,-796,-1146,-736,-281,1,-2,1122,9224,531,297,-335,5.08,352,1789,0.3
-7496,5960,2060,-1152,144,-59,-9316,-1084,-902,-731,-340,-2,-154,1232,9732,676,294,-380,5.07,396,2008,0.3
-8924,6360,1822,-1165,300,-255,-9900,-1542,-288,-387,-330,236,84,1758,10312,957,301,-546,5.08,347,1764,0.3
-8946,6328,1594,-1080,594,-77,-10126,-1768,-142,-252,-214,484,264,1622,10836,1122,208,-696,5.07,401,2033,0.3
-9444,6162,1658,-862,766,-33,-10078,-1792,-72,-37,-180,646,138,1146,10762,1225,110,-807,5.06,425,2153,0.4
-9578,6052,1546,-393,780,212,-9938,-1844,424,54,-234,781,834,-1586,11546,1253,-89,-711,5.08,347,1764,0.4
-10366,6408,1470,-251,726,249,-11038,-2276,754,-8,-282,726,-92,-3918,11430,1054,-253,-470,5.06,396,2005,0.4
-11126,6698,328,-261,670,349,-11412,-3118,1246,32,-119,795,-1426,-2336,9200,1089,26,-415,5.08,347,1764,0.5
-10218,5922,-276,-296,766,194,-10014,-3244,1824,36,173,571,-2488,-1102,7544,1142,414,-190,5.07,415,2108,0.5
-7722,4160,-446,-107,473,150,-7754,-2984,2172,-207,436,17,-1868,-1128,7436,875,652,435,5.08,347,1764,0.6
-6578,4106,-450,-157,173,97,-7724,-2572,1964,-383,593,-171,-60,-948,8452,723,520,653,5.08,396,2012,0.6
-6656,4642,-1212,-1279,1113,-353,-8380,-2168,2488,-266,1242,-221,1728,-2574,8566,556,124,838,5.08,347,1764,0.6
-7366,4184,-1680,-1894,1861,-574,-8810,-2300,2946,1,1511,-323,1150,-4600,8694,356,-84,670,5.08,396,2012,0.6
