AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
3508,9364,-2942,-789,7187,2614,-6520,-7262,-2964,-506,-4819,142,-2770,-450,6854,103,-8,7805,5.08,489,2484,0.0
3774,9536,-3726,-396,7866,2935,-6152,-7664,-4256,-762,-5310,434,-3028,-124,7152,29,-158,8662,5.08,494,2509,0.1
3532,9682,-4224,-68,8200,3137,-5724,-7368,-4790,-1085,-6020,276,-3530,558,6924,63,-153,9211,5.07,562,2852,0.1
3084,10150,-4784,263,8700,3455,-5446,-7474,-5546,-1423,-7119,-57,-4220,880,7318,195,-312,10006,5.08,494,2509,0.2
2814,10520,-5238,143,9359,3558,-5154,-7732,-6026,-1154,-7928,196,-5142,1002,7052,266,-292,10533,5.07,557,2827,0.2
2574,10726,-5724,-21,9989,3747,-4848,-7682,-6808,-1054,-8781,-209,-5848,670,6932,270,-356,11057,5.07,562,2852,0.3
2112,11198,-6320,-381,10928,4137,-3888,-8412,-8126,-573,-9003,-36,-6560,-280,7008,175,-397,11916,5.08,503,2559,0.3
1852,11404,-6812,-444,11387,4377,-2996,-8080,-8238,-807,-9368,8,-7352,-776,7186,84,-434,12340,5.07,567,2876,0.4
1102,14150,-6806,-2154,12441,4727,-2820,-8368,-8676,-999,-9459,-166,-7586,-1524,7146,-43,-415,12674,5.06,640,3242,0.4
824,11854,-7986,-305,12179,5080,-2260,-8324,-9572,-836,-10761,-346,-7828,-2242,8488,-272,-552,13257,5.08,499,2534,0.5
342,12184,-8456,23,12395,5252,-1598,-8298,-10190,-780,-11208,-488,-8040,-2666,8632,-415,-769,13500,5.07,577,2926,0.5
182,12190,-9066,303,12480,5343,-1108,-8718,-10488,-744,-11303,-543,-7806,-2976,9222,-523,-1004,13660,5.06,606,3069,0.5
-624,12748,-9080,761,12724,5492,-768,-8880,-9658,-725,-10907,-288,-8508,-3034,8166,-607,-1192,13889,5.08,503,2559,0.6
-1302,12962,-9314,800,12827,5551,16,-9092,-10376,-819,-11464,-5,-8848,-2958,8154,-596,-1391,14118,5.07,582,2951,0.7
-1668,13012,-9338,871,12910,5573,548,-8850,-10286,-635,-11739,287,-9362,-2966,7632,-592,-1327,14249,5.07,596,3025,0.7
-2410,13242,-9302,1138,13144,5573,854,-7866,-10508,-772,-11801,476,-9428,-2760,7620,-588,-1408,14342,5.08,513,2609,0.8
-2570,13186,-9046,1274,13226,5570,1080,-9222,-9732,-203,-11708,1517,-9370,-2886,7440,-570,-1449,14374,5.07,582,2951,0.8
-2986,13104,-8776,1352,13428,5650,1338,-7994,-10452,-795,-12486,862,-8826,-3066,7540,-552,-1561,14337,5.07,577,2926,0.8
-3684,13080,-8348,1475,13523,5772,494,-8424,-10048,-1139,-12949,980,-8502,-3434,7168,-584,-1676,14193,5.08,508,2584,0.9
-3972,13000,-8004,1460,13396,5906,1096,-8696,-9612,-1344,-12826,540,-8568,-3648,6732,-645,-1686,14133,5.08,577,2932,0.9
