AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-7162,3156,2798,-162,-33,-24,-7644,-2354,900,-61,26,100,-1106,-1118,7324,-15,19,29,5.08,352,1789,0.0
-7178,3166,2856,-162,-38,-22,-7614,-2338,936,-111,14,85,-1080,-1178,7332,-15,20,23,5.08,347,1764,0.1
-7156,3194,2872,-152,-45,-34,-7702,-2344,992,-123,7,64,-1070,-1096,7314,-9,20,20,5.06,411,2079,0.1
-7178,3170,2814,-150,-28,-37,-7636,-2432,946,-97,32,60,-1072,-1106,7332,-6,13,9,5.08,352,1789,0.1
-7202,3162,2788,-135,-49,-30,-7638,-2344,886,-52,58,59,-1082,-1104,7336,3,11,9,5.08,371,1888,0.2
-7190,3194,2818,-133,-57,-27,-7620,-2346,888,-39,64,51,-1066,-1052,7404,4,10,0,5.08,391,1988,0.2
-7192,3138,2742,-147,-41,-48,-7700,-2294,816,-50,72,53,-1044,-1076,7340,-2,16,6,5.08,352,1789,0.2
-7130,3138,2832,-146,-52,-48,-7712,-2320,900,-66,68,49,-1048,-1112,7290,1,13,9,5.08,396,2012,0.3
-7148,3132,2834,-136,-70,-74,-7600,-2272,920,-90,62,48,-1112,-1092,7382,-1,19,7,5.08,362,1838,0.3
-7142,3116,2836,-126,-67,-72,-7630,-2320,912,-99,52,48,-1030,-1138,7310,-2,16,7,5.07,401,2033,0.3
-7172,3114,2846,-111,-66,-66,-7636,-2274,988,-88,60,49,-1110,-1104,7330,-5,19,-2,5.08,347,1764,0.4
-7168,3162,2738,-123,-59,-58,-7658,-2270,996,-84,64,50,-1084,-1094,7398,-3,20,-1,5.07,401,2033,0.4
-7192,3214,2796,-134,-26,-60,-7704,-2280,896,-65,65,57,-1026,-1130,7350,-6,24,-4,5.07,342,1736,0.4
-7206,3182,2816,-139,-36,-65,-7672,-2226,1034,-62,72,73,-1072,-1096,7422,-6,21,-10,5.07,406,2058,0.4
-7152,3182,2820,-144,-71,-68,-7656,-2274,1002,-59,54,84,-1066,-1106,7388,-1,28,-3,5.08,357,1814,0.5
-7174,3134,2818,-147,-74,-75,-7734,-2242,942,-55,59,88,-1038,-1062,7404,-1,20,1,5.06,406,2054,0.5
-7112,3098,2892,-110,-65,-82,-7704,-2254,966,-64,50,115,-1114,-1112,7384,-3,18,-5,5.08,357,1814,0.5
-7162,3146,2876,-94,-48,-70,-7698,-2224,1014,-82,48,122,-1078,-1104,7350,-1,7,-17,5.06,411,2079,0.6
-7150,3186,2808,-107,-38,-71,-7690,-2270,1012,-80,52,134,-1032,-1108,7404,6,2,-13,5.07,357,1810,0.6
-7212,3246,2916,-126,-29,-84,-7732,-2282,1010,-73,50,138,-1074,-1046,7388,7,4,-2,5.06,406,2054,0.6
-7106,3204,2872,-145,-59,-105,-7692,-2306,994,-71,54,123,-1048,-1074,7334,4,0,11,5.08,352,1789,0.7
