AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-1994,11396,2198,8237,8009,-3054,-1948,-13662,228,-6690,1505,1767,-1844,804,8276,574,1033,1049,5.08,367,1863,0.0
-3206,22554,11258,4081,4749,-2315,-2416,-21326,990,-6271,947,-1062,-1262,-5138,13740,673,524,346,5.08,367,1863,0.1
-3544,30092,16254,352,1500,-831,-1782,-26184,-1954,-5082,-1434,-3010,-2554,-8098,14086,183,-407,99,5.07,415,2108,0.1
-3962,26412,18844,-4457,-1272,-619,18320,-32768,-3250,-343,3624,3259,108,-4208,12770,-212,-1523,-1134,5.08,371,1888,0.1
-5360,21970,17620,-2404,-3945,1731,-1280,-25048,204,-3714,-1634,-635,-2542,182,9158,63,-1719,-1144,5.08,415,2112,0.2
-3500,19958,15796,668,-5816,3668,-2520,-26418,1578,-887,-1535,-839,-4940,1924,6418,133,-1857,-1036,5.06,430,2178,0.2
-1164,18160,12140,2886,-6842,4822,3716,-23646,-418,797,-1316,-4193,-5534,1338,7650,51,-1956,-900,5.06,474,2401,0.2
3152,16094,5492,1726,-8350,5693,2782,-18346,-3248,7465,-170,-1145,-5646,3554,8294,9,-1263,-538,5.08,371,1888,0.3
5508,13534,2678,-396,-7511,5182,6056,-11590,-5214,6524,648,593,-4908,3586,8530,41,-1108,-271,5.07,420,2132,0.3
9436,10500,-1800,-4370,-7427,4129,6410,-7942,-6208,6747,-7194,-1707,-4758,1532,8580,32,-814,249,5.08,362,1838,0.3
13976,13594,-4170,-7318,-4782,-1555,6544,-4154,-7896,5803,-11593,-5546,-3816,-170,8848,-99,-687,373,5.08,415,2112,0.4
5656,-356,-5304,-6586,-7513,5792,7664,-2784,-7820,4317,-6674,-8138,-3590,-576,7496,-287,-290,445,5.07,435,2207,0.4
7888,-528,-7088,-8205,-3192,2219,8464,-544,-9216,6377,-3569,-3366,-2088,-314,8216,-378,-233,276,5.08,362,1838,0.5
7832,-2784,-7736,-7202,-896,784,8436,2546,-9736,7704,-2337,-2137,-764,-230,8060,-434,-623,-17,5.07,415,2108,0.5
5912,-2024,-8814,-5172,-5178,204,8828,3744,-9540,8234,5,-1697,-1428,372,6324,-372,-397,-111,5.08,411,2087,0.5
7160,-292,-8272,-4921,-1476,1784,9920,4946,-9492,8337,-472,652,-1412,626,6234,-223,-209,-61,5.08,371,1888,0.6
5798,-96,-8726,-5555,-1777,1355,10096,5452,-9484,7917,-123,814,-1770,686,5402,-195,-186,170,5.07,420,2132,0.6
5960,-3736,-10020,-6004,-107,564,9696,6902,-10238,6348,-586,-810,-1498,110,4466,-257,-118,483,5.08,367,1863,0.6
5564,-5398,-10758,-4446,532,406,9926,7922,-10110,4914,-130,-865,-1218,152,4168,-323,107,443,5.08,420,2137,0.7
5474,-5462,-11116,-2418,309,566,9224,9058,-9718,3150,1065,-568,-726,552,4732,-368,167,521,5.07,425,2157,0.7
5558,-4044,-9894,352,2339,-544,8608,9518,-8986,-757,3115,371,-828,794,4642,-306,369,459,5.08,386,1963,0.7
5932,-4100,-9442,1905,3885,-864,7976,8110,-8412,-2595,4483,1137,-1084,766,4474,-253,500,429,5.07,411,2083,0.8
4848,-2148,-9052,4021,4309,-204,6378,5098,-7290,-4539,5262,1858,-1380,652,4582,-221,759,340,5.08,362,1838,0.8
4906,-1082,-8698,4970,4737,-150,5686,3400,-6504,-5221,5653,2450,-1630,970,4486,-232,884,394,5.08,420,2137,0.8
4736,-472,-8200,5195,5262,-915,4932,2100,-5786,-5573,5499,2715,-1636,1120,4694,-252,1030,529,5.07,435,2207,0.9
3202,-206,-7850,6465,5711,-1862,4706,444,-4566,-5900,4898,3393,-1560,1446,5094,-282,1161,800,5.08,367,1863,0.9
3912,414,-7586,7732,6064,-2323,5144,4,-3854,-6343,4832,3818,-1570,1814,5346,-289,1057,1077,5.07,411,2083,0.9
2380,2948,-6022,9251,6629,-3731,4086,-4758,-1666,-6977,4688,4049,-1544,2066,4588,-171,655,1679,5.08,367,1863,1.0
2208,5488,-4088,9815,6783,-3809,1782,-8680,-144,-6606,3925,3954,-2476,2102,4514,14,774,2177,5.08,411,2087,1.0
524,9224,-1282,9758,7076,-3613,-644,-14106,1788,-5456,3405,3213,-2240,1152,5716,252,1048,2071,5.07,425,2157,1.0
1024,18664,6502,6590,6283,-3647,-2666,-20784,4048,-3217,594,1461,1822,-7154,12786,611,1707,653,5.08,371,1888,1.1
2124,27496,10744,3423,4721,-2292,-2958,-25304,1746,-2340,-1417,-465,-600,-15114,18364,-560,189,393,5.08,411,2087,1.1
946,30516,13856,301,3139,-376,-4802,-27610,-842,-1787,-2329,-2303,256,-10530,16728,-1191,-739,-779,5.07,425,2157,1.1
-1442,25298,17396,-1612,-2654,1987,-3624,-21096,3348,-5724,-5815,-2661,-132,-1372,12282,-388,-1885,-2652,5.08,371,1888,1.2
-684,23252,15756,-1109,-4282,3538,-702,-22846,4354,-6684,-844,-2456,-3726,606,7346,350,-1867,-2196,5.07,420,2132,1.2
1160,19610,12392,-264,-5225,4821,2390,-24916,2718,-7225,-2307,-7185,-4934,2778,9656,618,-2798,-2028,5.07,440,2232,1.2
3680,15720,6330,-1048,-6037,5547,32767,-32758,-6516,2737,11345,1805,-6396,4350,6888,919,-1280,-1313,5.08,371,1888,1.3
4400,12676,3190,-3032,-6078,4694,-286,-11464,-1130,2590,-12128,-7377,-6664,7472,4586,1069,-603,-1356,5.05,508,2569,1.3
6486,9804,658,-5032,-5559,3412,-1140,-10838,-2668,6679,-482,-972,-3268,5152,8330,1431,-468,-866,5.07,425,2157,1.4
8832,5094,-3068,-7319,-4891,1224,8616,-3752,-7596,6758,-3819,-712,-4096,-1628,8844,508,-117,-856,5.08,371,1888,1.4
