AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6814,7632,-3632,6517,-7092,-747,-7626,-6648,-5182,3690,7593,-5500,-4946,-3548,7416,1254,854,-9753,5.08,484,2460,0.0
-6040,8116,-4112,6859,-7762,-634,-9048,-6860,-5068,4092,8618,-4119,-5082,-3514,7446,1179,912,-10201,5.08,489,2484,0.1
-5232,7614,-4228,6974,-8078,-443,-9386,-6474,-4566,4058,9505,-3894,-5330,-2920,7360,1185,912,-10386,5.07,557,2827,0.1
-5356,7880,-4114,6991,-8387,-483,-9148,-5420,-4384,3717,9867,-3785,-5966,-1934,7218,1241,917,-10412,5.07,567,2876,0.2
-4158,7738,-4016,7025,-8949,-562,-8358,-5508,-3578,2996,8499,-3642,-6022,-688,6722,1304,965,-10015,5.08,489,2484,0.2
-3546,7668,-3858,7001,-9048,-624,-8846,-5870,-3172,2860,7612,-3486,-5698,-352,6438,1254,967,-9768,5.07,572,2901,0.3
-3042,7664,-3818,6942,-9164,-705,-8432,-5922,-2682,2878,7068,-3270,-5188,-308,5936,1126,998,-9578,5.06,567,2871,0.3
-2704,7674,-3942,6931,-9268,-657,-8018,-6506,-2096,3315,6405,-2815,-4716,-344,6056,912,1024,-9243,5.08,484,2460,0.4
-2566,7830,-3958,6885,-9340,-542,-7608,-6800,-1688,3699,6316,-2524,-4236,-554,6368,854,1023,-9015,5.06,562,2846,0.4
-2586,7978,-3862,6710,-9431,-423,-7268,-6832,-1502,4073,6423,-2105,-3304,-652,7148,881,988,-8919,5.07,567,2876,0.4
-2474,8220,-3540,6193,-9249,-305,-6488,-6642,-1190,4179,6024,-1873,-2754,-1804,8054,1030,779,-9038,5.08,489,2484,0.5
-2954,8266,-3462,5979,-9115,-273,-5982,-6546,-1024,3800,5507,-1985,-3278,-2246,7142,1085,934,-9194,5.07,567,2876,0.5
