AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,352,1789,0.0
-5618,6960,-3516,2988,7605,2680,-9060,3508,23024,4036,10065,1325,-2350,-230,6958,124,-109,-950,5.07,396,2008,0.0
-3874,5724,-1864,1772,3301,-819,-6084,2604,24558,2302,10030,194,-2448,-1356,5536,147,323,-599,5.07,406,2058,0.1
2086,8578,732,-1006,-8,-2273,-5112,-470,25596,3110,10012,371,-2794,-1236,5490,-104,447,-797,5.07,391,1984,0.1
5526,4940,4858,-6043,-2509,-4627,-3274,-768,23758,3901,8624,-377,-64,-2222,5410,-490,10,-841,5.07,381,1934,0.2
9942,-40,6650,-8694,-2191,-6225,10,-2244,23004,5095,6735,-1094,2278,-4500,5550,-800,-120,-1487,5.07,386,1959,0.2
10066,-2742,11138,-9864,-596,-6210,1938,-2654,22866,5561,4607,-1874,1446,-5254,5634,-1229,-134,-2357,5.07,386,1959,0.2
4432,-9304,22824,-3742,-150,-1137,2816,-3158,20796,5771,2399,-3153,532,-2646,5620,-1418,-102,-3084,5.07,396,2008,0.3
338,-5390,25784,2488,-2666,-994,3632,1036,18338,3394,-1212,-4664,1032,-698,6106,-1304,-525,-2783,5.07,391,1984,0.3
4026,694,22254,2511,-5174,-226,4888,3126,15594,-484,-2348,-5492,934,326,6252,-1022,-1047,-2307,5.07,391,1984,0.3
2552,1314,20192,-460,-6000,-2,2780,3058,14430,-3529,-2157,-4862,-1182,1232,6346,-774,-1310,-1873,5.07,391,1984,0.4
1912,-2084,22218,-1180,-6457,-38,2746,-1288,11148,-3653,-4181,-3728,-2666,3090,9106,-403,-1107,-1459,5.07,381,1934,0.4
-668,204,25250,-831,-8754,28,1342,-2838,7170,-3140,-6362,-3372,-3900,4786,12464,-35,-660,-760,5.07,396,2008,0.4
-58,560,23328,-2233,-11254,1252,-1938,-2824,4258,-2513,-6087,-3199,-3656,3814,11450,60,-435,-623,5.07,391,1984,0.5
-934,230,20620,-2469,-11245,1548,-4896,-6590,1098,-296,-6599,-3261,-4446,406,9868,71,594,-567,5.07,396,2008,0.5
-490,404,18022,-1914,-10031,1514,-6426,-5508,-1312,2287,-6558,-2469,-3416,-1350,11170,-9,926,-833,5.07,391,1984,0.5
-360,398,16478,-1043,-6936,1586,-7122,-2904,-1996,2393,-7271,-645,-3340,-672,9836,-69,1325,-920,5.07,391,1984,0.6
-760,1526,15304,-54,-3231,3037,-5388,-1440,-2962,1849,-9517,836,-3246,-626,8354,-183,1535,-1037,5.07,391,1984,0.6
-1302,1810,13014,-336,-4634,3105,-3272,-356,-3786,1219,-11213,2054,-1802,614,7818,-148,1583,-999,5.07,386,1959,0.6
-1250,1586,10658,-1037,-2204,3246,-882,444,-3878,547,-12292,2825,-1782,1316,5756,-73,1489,-841,5.07,406,2058,0.7
-1602,830,9344,-1652,-1792,2809,1794,-366,-5352,-130,-12186,3569,-1260,2184,6262,104,1273,-285,5.07,367,1860,0.7
-278,1366,7792,-1264,-4022,1745,5380,-3662,-7714,747,-11506,4175,-1058,2766,5990,327,985,563,5.07,381,1934,0.7
3582,700,5260,-444,863,2640,9760,-4460,-8004,2665,-9466,4896,-646,3208,5224,545,718,1488,5.08,391,1988,0.8
1844,432,3534,1590,-1022,2323,9938,-1716,-6290,3068,-6648,5530,-58,3038,4122,762,491,2479,5.07,391,1984,0.8
2282,-730,390,4023,-538,2121,9522,-42,-4128,1704,-4068,5018,714,2884,4446,979,217,2994,5.07,391,1984,0.8
2858,-2042,-2430,6150,1431,1138,8222,-42,-346,-452,-2105,4340,1950,2286,5200,1104,-276,3131,5.07,391,1984,0.9
3034,-2906,-4660,7949,2967,15,5790,-1690,2224,-2944,-810,2824,1568,682,5770,1124,-581,3398,5.07,386,1959,0.9
3632,-864,-7942,6735,5642,-1557,4894,-2522,3390,-3072,37,1808,914,-1878,6242,858,-846,3280,5.07,386,1959,0.9
2756,2674,-6906,4011,8614,-2020,5900,-2588,4078,-3033,1165,1458,-804,-4740,7576,283,-803,3098,5.07,391,1984,1.0
1286,3282,-4964,768,11771,-2248,4000,-1426,5814,-2251,7476,2298,-2368,-5912,6764,-370,-1212,2523,5.07,396,2008,1.0
-78,1836,-4094,514,12546,-1830,1420,-842,9282,-2622,8168,1702,-1936,-6406,8652,-943,-1328,1948,5.07,396,2008,1.1
-2338,962,-50,4214,10235,-463,-564,-1536,12412,-2085,7851,1522,-2734,-4022,11320,-1028,-916,923,5.07,396,2008,1.1
-3044,1260,2382,7065,8112,989,-5704,-402,15846,1239,10068,1694,-4894,-14,12028,-528,-552,-208,5.07,406,2058,1.1
-3322,4604,2672,9318,7377,2041,-8558,802,20004,2756,10190,1069,-4242,1414,10452,-99,-388,-984,5.07,411,2083,1.2
-1898,9038,-452,7745,7436,1245,-5740,692,22272,3999,11135,858,-3646,682,10074,189,222,-677,5.07,401,2033,1.2
-1298,11664,-5022,4489,7628,-194,-3154,2826,25126,3126,10920,707,-3608,-388,10144,203,395,-316,5.07,391,1984,1.2
-6816,5460,-326,2932,5627,444,-5400,1952,23964,2751,12368,546,-3762,578,8784,8,480,-342,5.07,391,1984,1.3
-2378,6006,4222,1316,957,33,-6008,166,23532,3008,10838,-254,-2608,654,8344,-43,658,117,5.07,396,2008,1.3
4384,7664,5372,-557,-3394,-1049,-2698,-3306,19612,2853,8408,-2087,-268,-624,7760,-83,744,349,5.07,391,1984,1.3
5702,4368,5804,-3462,-4662,-2973,-638,-1488,18172,2210,6894,-1999,1728,-2540,5818,-292,294,-190,5.07,391,1984,1.4
6828,5124,-1024,-7656,-12012,2981,-448,1380,14404,3253,5940,-1371,1962,-3544,3858,-604,-151,-973,5.07,386,1959,1.4
7636,2386,4928,-14652,1518,-5124,928,668,13654,3890,2716,-1737,1080,-3266,2840,-750,27,-1527,5.07,391,1984,1.4
7930,-10962,10150,-14947,-159,-4598,2770,-1378,15404,4195,2329,-1585,228,-3074,3082,-813,135,-1701,5.07,386,1959,1.5
4452,-15244,15526,-5340,161,-5404,3206,-4544,17132,3320,1367,-2763,256,-3084,3496,-866,152,-1720,5.07,391,1984,1.5
-3856,-5866,19382,2375,-5687,-4628,6492,834,16788,448,-1681,-3057,1490,-2860,4274,-902,-85,-1868,5.07,391,1984,1.5
2764,2280,19580,1619,-5135,-4099,3932,6228,13138,-4554,-4186,-2626,1654,-1560,4258,-935,-607,-2163,5.07,362,1835,1.6
2714,1096,21260,319,-7082,-3452,2284,2466,9136,-6839,-5985,-3678,500,-602,5498,-906,-1093,-1881,5.07,386,1959,1.6
2142,1452,24454,423,-9414,-2554,996,32,4714,-6586,-5562,-4583,-1076,1036,7752,-836,-1120,-1146,5.07,371,1885,1.6
1200,2192,23708,-243,-10094,-1608,-1394,-2790,2982,-5630,-2837,-3947,-4940,4438,12336,-429,-423,-380,5.07,391,1984,1.7
506,1110,20086,-1367,-10024,-749,-3110,-8412,2566,-3009,-4048,-2469,-3594,5904,16864,26,-603,-575,5.07,401,2033,1.7
1566,142,17956,-1192,-9591,442,-4476,-9594,1494,-416,-7163,-3105,-3374,1914,12954,252,21,-321,5.07,386,1959,1.7
2566,1110,18036,-1343,-7885,1027,-3200,-8420,1066,1911,-10009,-2722,-4406,50,11260,143,912,128,5.07,386,1959,1.8
1840,1210,17278,-1336,-6043,1324,-2788,-7926,2460,3541,-11577,-1018,-4420,-198,10218,242,1083,-399,5.07,391,1984,1.8
-362,800,17220,-419,-4090,2158,-1046,-3452,2036,2548,-11835,303,-2856,-310,6502,462,1396,-722,5.07,386,1959,1.9
-1734,2088,15572,-1147,-3443,2535,198,-2676,850,1404,-11874,1459,-2272,-1424,4844,405,1390,-920,5.08,386,1963,1.9
-1988,1776,13284,-1790,-2925,3179,1158,-1470,-1096,1763,-12435,2003,-1848,-1114,4832,247,1206,-834,5.07,391,1984,1.9
-866,1488,11512,-2380,-2435,3342,3264,-1548,-4490,2733,-12156,3033,-926,-176,4582,193,1207,-585,5.07,396,2008,2.0
1168,1776,9152,-2601,-2469,3094,6884,-2232,-6624,5149,-9612,3857,74,2422,5420,359,860,-293,5.07,391,1984,2.0
2108,1956,6860,-2195,-1169,3244,8990,-68,-6968,6913,-6381,4431,-4,3676,6232,627,523,276,5.07,391,1984,2.0
3172,3068,3362,-1579,-468,3614,8912,3944,-5232,5157,-3382,4917,662,3770,5240,842,51,1611,5.07,396,2008,2.1
3560,1184,-18,688,-384,4235,8282,4006,-1522,818,-995,3430,1024,2780,5034,1004,-367,2497,5.07,396,2008,2.1
5098,-662,-2216,3233,1373,4008,5164,2046,1210,-2347,188,2050,598,1722,4272,1059,-493,2758,5.07,396,2008,2.1
4876,-1960,-4794,7644,4668,2087,5232,-3506,2166,-2316,-135,1565,206,-144,4044,868,-658,3116,5.07,396,2008,2.2
3940,-1874,-5824,8470,4820,649,4828,-3946,3192,-148,-209,795,-660,-3228,4460,244,-602,3522,5.07,411,2083,2.2
5312,3944,-8220,6533,9188,-649,8062,-1802,4312,608,13035,-134,-2174,-6378,12160,-466,60,3627,5.07,401,2033,2.2
3334,5334,-7752,4110,12042,530,4678,-754,9374,1718,10854,2404,-2332,-4812,15908,-1044,-327,2317,5.07,396,2008,2.3
214,3394,-4784,2286,15193,1562,160,868,13278,2201,6404,1096,-5858,-494,12488,-673,-672,838,5.07,391,1984,2.3
-3440,2424,-1436,2671,14665,909,-3746,2554,13286,2350,11116,-15,-5138,1744,7648,-5,62,275,5.07,391,1984,2.3
-6304,-36,1564,4766,9743,543,-8080,858,14680,2545,7896,-1979,-3550,1168,7864,546,662,982,5.07,401,2033,2.4
-5532,1696,1348,5939,4901,1447,-7550,3336,15278,4745,11476,961,-2736,4,7620,592,769,968,5.07,401,2033,2.4
-2692,3074,-374,5398,4068,322,-9606,3454,16712,4662,11351,-614,-2436,-334,7474,349,732,503,5.07,396,2008,2.4
-1624,4136,-3398,2493,4431,-841,-7844,2918,18002,3630,10346,-1139,-1926,-618,7890,203,695,726,5.08,435,2211,2.5
3224,1950,-5036,-586,7938,-4111,-5110,4000,17012,2844,9762,-1358,-56,-3044,5252,90,904,799,5.07,396,2008,2.5
1520,-14,-1464,-298,4536,-2713,-5042,4740,14798,2174,7952,-2468,2862,-4056,3762,-246,233,306,5.07,396,2008,2.6
3546,3394,1104,-1210,-2917,-4489,-4162,3032,16102,3562,5332,-1545,2470,-4108,3274,-508,8,-581,5.07,391,1984,2.6
9552,2130,2822,-6314,38,-6189,-2454,1976,17596,4019,4750,-1914,1944,-3648,2766,-570,-237,-1378,5.07,391,1984,2.6
7606,-724,9540,-5549,13419,-3457,734,-464,18406,4984,2611,-2286,1604,-2820,3194,-517,-545,-1914,5.07,391,1984,2.7
-468,-8866,18066,-2190,-779,-2276,1262,-1190,17490,4532,2145,-3927,660,-1982,3102,-371,-747,-2340,5.07,391,1984,2.7
-1262,-5350,18892,3423,1805,-4598,3502,672,15190,3452,409,-5379,-1458,-906,2458,-244,-1043,-2243,5.07,391,1984,2.7
-320,396,20632,3005,-4728,-2343,2656,8308,14300,-1580,-7,-4862,-2210,-172,2770,-156,-830,-1394,5.07,391,1984,2.8
-1522,1806,21034,1047,-5092,-2242,690,6036,14852,-5254,-1184,-4894,-2100,62,4590,-367,-705,-501,5.07,396,2008,2.8
-2622,902,21454,228,-6569,-2111,-78,3180,16022,-7759,-2393,-5141,-1896,2954,11052,-316,-321,184,5.07,381,1934,2.8
-6268,1650,24200,564,-7929,-2132,1294,1306,14882,-9432,-2892,-4130,-704,5840,18966,128,-226,-117,5.07,396,2008,2.9
-4606,2898,25782,-326,-10544,-274,-1532,-1636,10596,-7524,-2362,-2251,-1018,2512,19392,278,-1494,-1089,5.07,391,1984,2.9
-1258,4688,24778,-456,-9693,718,-3808,-3344,8126,-5670,-3407,-1423,-3720,-1668,12864,65,-722,-977,5.07,396,2008,2.9
-1756,3122,22780,-400,-8903,461,-5496,-2696,6938,-5470,-7083,-896,-4940,-872,11550,31,-77,-1134,5.07,381,1934,3.0
12620,624,16142,2122,-677,-117,-6744,-3738,4626,-4614,-11027,135,-3552,-1084,11620,217,179,-1285,5.07,391,1984,3.0
-6014,1462,19930,375,-8332,1762,-4704,-5178,1624,-3675,-13288,382,-2406,-520,9330,183,798,-1607,5.07,381,1934,3.0
