AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
5530,4372,-2902,2906,-617,10453,-5858,-7122,2334,-3748,-2296,-1373,-3022,652,8726,762,223,2374,5.08,352,1789,0.0
6894,4046,-3784,3530,2020,9883,-5790,-7164,2842,-3353,-1928,-1263,-2156,1060,9254,731,166,2283,5.06,411,2079,0.0
10760,3970,-3648,3845,16343,8246,-5894,-7062,2638,-3023,-1175,-1304,-1932,1504,9210,745,192,2300,5.07,415,2108,0.1
2978,896,-2546,2034,7358,9364,-5616,-6896,1900,-2552,-967,-1377,-1650,968,7130,714,26,2528,5.07,406,2058,0.1
2872,148,-3568,4187,2558,8148,-5092,-6190,1320,-1979,-1150,-1453,-1384,482,6238,650,-201,2658,5.07,401,2033,0.2
3906,-286,-3470,5975,-107,5967,-4466,-5392,994,-1485,-1080,-1416,-890,-40,5516,534,-237,2813,5.07,396,2008,0.2
5238,-1456,-4586,7027,2306,4401,-4008,-4812,934,-1333,-622,-1329,-650,-584,5548,293,-358,2882,5.07,396,2008,0.2
754,-606,-3920,8309,-2016,3303,-3956,-4118,932,-1484,58,-1501,-720,-338,5738,104,-245,2753,5.07,396,2008,0.3
1226,60,-4512,7715,1495,351,-3578,-3890,886,-1625,145,-1279,-386,416,6336,80,-294,2584,5.07,401,2033,0.3
470,-336,-4428,6775,3068,-616,-3044,-3484,926,-1954,175,-1105,-620,844,6122,173,-411,2529,5.07,396,2008,0.3
-198,-900,-4838,6103,6117,-3379,-2720,-3212,842,-2282,119,-908,-866,678,5172,252,-393,2421,5.07,401,2033,0.4
-956,-828,-4482,4775,8307,-5168,-2338,-3150,772,-2368,192,-628,-976,990,4594,318,-353,2424,5.07,406,2058,0.4
-1254,100,-4858,4134,11227,-4843,-2152,-3162,826,-2168,193,-252,-814,908,3800,328,-306,2600,5.07,401,2033,0.4
-3588,-228,-2320,5124,12617,-4468,-2222,-3356,910,-1774,169,250,-514,986,3716,263,-303,2776,5.07,401,2033,0.5
-1618,2032,-3868,4255,10387,-3421,-2412,-3564,830,-1208,110,483,-682,1396,3626,165,-272,2998,5.07,406,2058,0.5
-2290,2228,-3368,4465,9901,-2861,-2706,-3820,830,-370,246,648,-564,1616,4262,69,-191,3272,5.07,406,2058,0.5
-2714,2408,-2410,4728,9362,-2714,-2886,-3908,1092,843,270,991,-266,1648,4962,20,-256,3491,5.07,406,2058,0.6
-2048,3038,-632,5590,8769,-2810,-3920,-4360,1464,1534,146,1040,-1124,1428,4930,111,-30,3492,5.07,415,2108,0.6
-2820,6174,3174,6007,8410,-2454,-6654,-6444,1832,1616,-308,940,-1978,984,5724,266,-65,3420,5.07,411,2083,0.7
-4198,10930,6682,6117,7070,-1734,-8198,-9264,4070,5457,-1666,1017,-2818,-138,6342,588,241,3229,5.07,406,2058,0.7
-5190,15686,10722,4871,5062,-758,-11304,-1894,6246,4704,-1467,1670,-2752,-1414,7684,840,554,3046,5.07,406,2058,0.7
-4470,20648,14482,3682,2261,1351,-9196,-3856,6060,1115,-3420,125,-2732,-2282,9434,865,742,2646,5.07,411,2083,0.8
-3150,23240,18206,2997,169,1011,-10288,-4128,6430,-1721,-2548,473,-1656,-3502,12900,439,848,2269,5.07,401,2033,0.8
-2362,23704,19366,2702,-2478,1158,-12718,-5736,7550,-5125,-2211,14,560,-4584,16620,-347,138,1405,5.07,406,2058,0.8
-96,22156,18692,1719,-6654,1801,-9644,-8666,7462,-5517,-1761,143,-554,-3012,15290,-820,-423,967,5.07,406,2058,0.9
3084,20488,15258,-204,-13207,1522,-11190,-7282,5666,-3555,-1361,2059,-1154,-2758,13062,-823,-479,339,5.07,406,2058,0.9
5486,15942,10254,-2719,-14988,46,-10334,-5868,4676,-3677,-1362,1934,-1694,-960,10440,-786,-324,355,5.07,406,2058,0.9
10828,13702,6810,-946,11234,6582,-7932,-6466,4042,-4253,-1217,1128,-2704,834,10724,-783,-88,345,5.07,401,2033,1.0
1412,12984,5218,-8919,4643,1791,-7350,-7108,4042,-3828,-678,711,-2464,2308,10284,-550,202,91,5.07,386,1959,1.0
4776,7292,5556,-4159,-6993,4428,-7472,-6988,3794,-3608,1410,-172,-2498,3204,9504,-279,75,167,5.07,406,2058,1.1
7356,4358,2524,-2382,-13769,7430,-6180,-7850,3316,-2509,1222,-271,-1826,2328,8008,-12,224,141,5.07,406,2058,1.1
7074,2008,1316,-3431,-1520,4916,-5342,-6628,3110,-1501,1771,-48,-1340,528,6708,71,344,-136,5.07,401,2033,1.1
