AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6086,566,-2032,-1046,-174,-79,-6302,-496,1446,-2287,-207,-124,-560,-2538,6216,-30,252,1624,5.08,371,1888,0.0
-6462,746,-1776,-390,-355,-213,-6430,-612,1386,-2172,-334,-40,-254,-2600,6470,-241,-96,1818,5.07,401,2033,0.0
-6534,1210,-1412,87,-689,-386,-6484,-586,1372,-2278,-624,-110,156,-3004,6026,-379,-269,2073,5.07,401,2033,0.1
-6492,1336,-1230,735,-940,-212,-6168,-1092,1386,-2053,-660,-2,66,-2982,5836,-429,-266,2267,5.07,411,2083,0.1
-6894,1842,-1206,808,-940,-323,-6118,-1316,1316,-2111,-694,-62,-254,-2972,6464,-451,-363,2339,5.07,401,2033,0.2
-7384,2058,-1302,433,-536,-704,-6332,-2216,1382,-1986,-526,-133,-242,-2832,7580,-524,-490,2556,5.07,396,2008,0.2
-8574,2210,-1446,-10,-154,-926,-8030,-3344,1676,-713,-399,45,-222,-1998,9504,-524,-480,2673,5.08,396,2012,0.2
-10672,2236,-1276,-65,469,-858,-11082,-3284,2950,1949,-503,801,-690,-854,12360,-436,-464,2584,5.08,420,2137,0.3
-13636,2832,-896,-396,501,-1336,-14092,-2278,3702,4186,-524,1402,-604,1566,15266,-289,-822,2259,5.07,401,2033,0.3
-15658,3162,-1540,-406,784,-1358,-18334,300,6818,2778,-1933,1514,-68,5324,16952,183,-1004,1722,5.07,406,2058,0.3
-15978,2906,-1430,234,883,-861,-13176,7550,-2410,-4492,250,-82,126,6046,14502,344,-1095,1382,5.07,406,2058,0.4
-13512,1658,656,561,815,-407,-14890,-2438,-2098,-9693,1031,-714,-1064,4338,12068,270,-1153,1154,5.08,411,2087,0.4
-12090,2094,1488,18,-65,-533,-13774,-5824,34,-6818,-1080,850,-210,2708,11998,412,-486,563,5.07,406,2058,0.4
-11804,1924,2148,-656,376,76,-12820,-4814,1090,-4285,-2145,1935,-430,1622,11718,653,-273,438,5.08,406,2062,0.5
