AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
7688,2356,-10868,5750,1473,6908,5716,-4696,-420,-3125,2123,-2500,-1314,432,10170,-491,-25,1062,5.08,352,1789,0.0
6446,2178,-10254,6265,4057,6657,5312,-4212,-486,-3579,2667,-2164,-1976,822,9496,-535,-37,1219,5.08,391,1988,0.0
5344,2734,-8326,7016,6448,6067,5018,-3026,-360,-3647,2922,-1536,-2288,248,7414,-602,-127,1856,5.07,411,2083,0.1
4014,3994,-7422,7873,7919,4042,4198,-2362,-474,-3731,3724,-1258,-1392,-182,6740,-591,-37,2175,5.07,420,2132,0.1
3220,3920,-6966,8999,7635,2800,3542,-1970,-814,-3743,4732,-676,-570,-762,6788,-531,20,2041,5.07,406,2058,0.2
2120,4056,-6498,10152,5348,1588,2096,-1286,-640,-4178,5360,-269,-820,-1378,6938,-476,-37,1795,5.07,411,2083,0.2
1774,4148,-5984,11008,3790,-284,808,-998,-250,-4930,5592,-27,-1020,-1516,7022,-424,-175,1485,5.07,396,2008,0.2
752,4350,-5134,10641,2712,-2579,-940,-1488,454,-3838,6456,375,-726,-1556,6602,-338,-95,1311,5.07,401,2033,0.3
-516,5874,-4984,9241,4271,-4789,-3448,386,1388,-3611,14429,-92,-846,-1460,6772,-253,41,1200,5.07,406,2058,0.3
-2514,7172,-3664,7893,5830,-6369,-4936,-1928,5126,-772,16649,2257,-1212,-1168,7038,-185,157,1244,5.07,401,2033,0.3
-22534,32767,32767,27509,-10008,-5943,-12484,15948,32767,515,11605,7176,-1172,-1892,7140,-203,183,1498,5.07,406,2058,0.4
-10088,2936,-32768,8027,3478,4789,-23100,-19000,22872,-8504,8764,5010,934,-2264,7104,-391,-173,1298,5.08,401,2037,0.4
12384,7550,-9348,-1493,-3432,-7593,-6410,2516,21068,-100,-2525,8821,50,-1760,7126,-473,-781,1098,5.07,401,2033,0.4
1154,298,-4250,3101,-1800,-7736,-3670,-11440,11026,-2524,-306,5092,-434,-1830,7040,-349,-1176,723,5.07,396,2008,0.5
-1208,1332,1348,4778,-1103,-6211,1548,-4868,6814,-5107,226,5262,-542,-1344,6598,-94,-758,377,5.06,411,2079,0.5
-6140,8368,1484,8336,5180,-6431,860,-2064,6302,-8167,2947,4159,-1492,-1460,6372,47,-488,499,5.08,401,2037,0.5
-2502,7712,-3704,8425,298,-5965,2356,26,4662,-11848,3318,3136,-2418,-1872,6490,-18,-298,557,5.07,401,2033,0.6
-2060,12022,-4300,1719,-113,-12768,1046,-1018,2420,-14162,3201,4024,-1492,-1666,7000,-149,-126,479,5.07,396,2008,0.6
-2318,10874,-4820,-2425,-3942,-14014,264,-5140,1472,-12184,2626,5901,202,-1328,8918,-161,36,195,5.07,425,2157,0.7
-502,9868,-5028,-791,-5887,-11267,-1248,-8806,1982,-8495,2653,7112,2554,-684,10422,-114,-305,-502,5.07,406,2058,0.7
-1616,10800,-4312,218,-5143,-10105,-3016,-11376,2990,-5695,1156,7328,1004,-1196,8650,-226,-689,-1019,5.07,391,1984,0.7
-3182,11198,-3642,-348,-4483,-10588,-32,-8862,3656,-5412,-1555,5333,-336,-928,6832,-458,-736,-1246,5.08,401,2037,0.8
-4272,12126,-3882,-560,-4312,-10850,-670,-8920,2814,-5062,1536,6706,810,-756,6676,-612,-902,-1201,5.07,411,2083,0.8
-4908,14964,-3038,-782,-4972,-8551,-2222,-10556,1516,-4833,596,6482,550,-744,6326,-661,-785,-1622,5.07,411,2083,0.8
-6172,13458,-2080,862,-3287,-5530,-3312,-12808,1514,-4237,682,6352,-170,-654,6152,-779,-600,-2216,5.07,411,2083,0.9
-6500,13762,-1412,2494,-668,-3274,-3748,-14792,2316,-2828,159,6100,-832,26,6186,-899,-319,-2652,5.07,406,2058,0.9
-6370,12942,-1250,2500,-144,-2720,-4242,-14634,3204,-2393,-2,5359,-572,688,6672,-885,-19,-3175,5.07,406,2058,0.9
-6364,13614,-1288,2390,-1970,-1821,-4400,-14448,3492,-1742,-378,4796,-278,626,6380,-830,258,-3638,5.08,406,2062,1.0
-6270,13468,-1282,1567,-3225,-778,-4220,-14034,3404,-100,-985,4453,-362,164,5708,-762,674,-4236,5.07,401,2033,1.0
-5580,12484,-1078,161,-3580,-430,-3510,-12846,3204,1019,-1437,4106,-224,-134,5872,-656,1057,-4796,5.07,401,2033,1.1
-5256,10566,-1022,-501,-4190,-507,-2882,-11810,2996,1229,-1810,3419,-86,-498,6638,-539,1445,-5210,5.07,406,2058,1.1
-4900,9368,-1212,-984,-4549,-445,-1508,-11172,2200,222,-1804,2582,-248,-188,6712,-377,1858,-5602,5.08,401,2037,1.1
-4190,8310,-1216,-1209,-4633,-61,-606,-10962,1372,-899,-1500,1599,-1470,614,6598,-204,2335,-5736,5.07,406,2058,1.2
-3908,7868,-1198,-1329,-4354,614,424,-11582,500,-1268,-1107,507,-2378,2706,7416,117,2855,-5654,5.07,401,2033,1.2
-4308,6940,-1334,-801,-4407,1336,884,-12154,-178,-866,-574,-377,-2196,3524,8626,611,3162,-5236,5.07,406,2058,1.2
-4766,6842,-2340,163,-4681,2030,-20,-13570,-778,-54,-172,-1294,184,502,10350,763,2937,-4832,5.07,415,2108,1.3
-4832,7142,-3372,1120,-5241,2089,-1436,-15384,-1728,1647,162,-1994,1932,-1660,10296,414,2824,-5002,5.08,406,2062,1.3
-4182,7560,-3586,944,-5739,1805,-2880,-15170,-2370,3916,689,-2852,1780,-952,6780,250,2583,-5405,5.08,371,1888,1.3
-3644,6916,-3434,623,-6132,1595,-3264,-11346,-2324,5258,687,-3605,1086,-646,4772,370,2203,-5534,5.07,401,2033,1.4
-4070,5580,-3014,635,-7660,1577,-2750,-7940,-2088,5025,163,-4787,1006,-1554,3724,889,2150,-5288,5.07,406,2058,1.4
-3250,5042,-2802,1118,-8320,1733,-920,-7920,-2170,4375,-100,-5810,8,-3444,5428,1324,2224,-5182,5.08,411,2087,1.4
-3112,5994,-3294,1361,-8277,2026,-464,-8208,-2448,3617,836,-6572,-2130,-4888,8452,1547,2251,-4524,5.07,415,2108,1.5
-3100,6166,-3894,1267,-8172,1797,-1254,-10064,-3390,3273,2002,-7208,-1724,-4606,12026,1560,2280,-4214,5.07,411,2083,1.5
-3692,6452,-4050,1350,-7654,1283,-2348,-11830,-3660,3340,3116,-7614,402,-2804,11664,1688,1852,-4746,5.08,406,2062,1.6
-4116,7170,-4364,1930,-7684,700,-3844,-13676,-3810,2934,4088,-8025,816,-2996,8622,1741,1182,-5636,5.07,376,1909,1.6
-4316,7790,-4618,2614,-7697,770,-4774,-13540,-4022,2659,4813,-8209,-990,-3532,7090,1670,827,-5793,5.07,406,2058,1.6
-4550,7710,-4400,2878,-7844,1059,-4636,-11974,-3624,2446,5392,-8603,-2320,-4042,6254,1534,724,-5704,5.07,401,2033,1.7
-4632,7238,-3780,2730,-8358,1228,-4090,-11096,-4036,2285,6374,-9336,-1918,-4970,6866,1412,698,-5864,5.07,401,2033,1.7
-4328,7378,-3550,2328,-8671,1392,-4518,-10772,-4598,2329,6861,-9633,-746,-5866,7502,1344,646,-6172,5.07,401,2033,1.7
-4200,7366,-3852,2208,-8973,1323,-4348,-10734,-4314,2115,6990,-9679,-198,-5836,7820,1328,547,-6722,5.07,411,2083,1.8
-4276,7338,-4264,2317,-8408,1460,-4524,-11014,-4714,1545,7197,-9714,-408,-5360,8468,1425,340,-7322,5.07,406,2058,1.8
-4158,7468,-4544,2172,-7828,1298,-4398,-10818,-5038,711,8295,-9662,-1250,-5344,8142,1549,211,-8137,5.07,406,2058,1.8
-4830,7946,-4602,2140,-7543,1273,-4820,-10964,-5458,132,9316,-9761,-2272,-6026,7184,1574,136,-9086,5.07,420,2132,1.9
-5030,8384,-4478,1901,-7514,1332,-5182,-11016,-5264,-380,9962,-9791,-3282,-6342,6426,1562,143,-9840,5.08,425,2161,1.9
-5210,9124,-4702,1434,-7533,1534,-5476,-11224,-5158,-818,10457,-9781,-3962,-6168,6374,1580,193,-10308,5.07,415,2108,2.0
-5438,8888,-4778,1119,-7888,1582,-5438,-11538,-5324,-1260,10922,-9844,-4766,-5872,6510,1671,429,-10637,5.07,406,2058,2.0
-5078,8914,-5030,1140,-8580,1405,-5032,-11168,-5810,-1884,11513,-9693,-5690,-6384,7334,1643,367,-11105,5.07,401,2033,2.0
-4408,8466,-4922,1547,-9227,1279,-4346,-10930,-5964,-2796,11975,-9296,-6764,-6824,6740,1471,418,-11740,5.07,406,2058,2.1
-3912,9008,-4916,1679,-9384,1267,-3998,-11846,-5504,-3387,12460,-8920,-7400,-6274,6224,1343,631,-12399,5.07,401,2033,2.1
-3750,9224,-5092,1441,-9560,1315,-4090,-11498,-5006,-3664,12681,-8549,-7404,-5576,6330,1271,827,-12755,5.07,411,2083,2.1
-3394,9022,-5060,1087,-9985,1359,-3882,-11534,-4782,-3798,12647,-8276,-8230,-4436,5776,1362,959,-13013,5.07,406,2058,2.2
-2742,8620,-5136,830,-10495,1377,-3646,-11844,-4558,-3511,13089,-7835,-8860,-3320,5274,1574,1242,-13297,5.07,406,2058,2.2
-1956,8346,-5206,571,-10887,1409,-3656,-12006,-3896,-3409,13208,-7650,-8820,-2898,5164,1717,1495,-13430,5.07,401,2033,2.2
-1316,8700,-5486,210,-11122,1379,-2654,-12214,-3506,-3119,13404,-7542,-8246,-3182,5282,1822,1742,-13638,5.08,411,2087,2.3
-1312,8188,-5418,-117,-11473,1138,-2202,-11780,-3246,-2635,13665,-7629,-7622,-3568,5662,1949,1892,-14073,5.07,401,2033,2.3
-992,8368,-5838,-650,-11843,824,-1342,-11228,-3332,-2422,13917,-7654,-7616,-3920,5624,2086,1910,-14598,5.07,411,2083,2.4
-1026,8266,-6300,-1081,-12244,683,-1166,-11206,-3212,-2307,13837,-7643,-8318,-4026,5696,2233,1768,-14961,5.07,406,2058,2.4
-1112,8008,-6694,-1398,-12523,624,-924,-11260,-2844,-2191,13408,-7597,-8940,-3786,5548,2309,1519,-14949,5.07,411,2083,2.4
-1162,7824,-6920,-1363,-12799,606,-116,-11112,-3020,-2002,12803,-7501,-9160,-3852,5422,2276,1502,-14697,5.07,396,2008,2.5
-1186,7946,-7294,-1302,-12894,600,1208,-11218,-3292,-1743,12513,-7321,-9040,-4274,5200,2168,1669,-14670,5.07,401,2033,2.5
-870,7902,-7696,-1359,-12970,486,1580,-11714,-3490,-1288,12583,-7022,-8968,-4540,5818,2011,1694,-14715,5.07,401,2033,2.5
116,7688,-8750,-1512,-12962,183,1376,-12098,-3224,-1076,12366,-6883,-8902,-4620,6036,1798,1443,-14704,5.08,425,2161,2.6
544,8210,-9224,-1991,-13544,-632,478,-12636,-2408,-1398,11876,-7057,-8806,-4476,5946,1607,1143,-14528,5.07,396,2008,2.6
318,7488,-8410,-1289,-12057,260,-30,-12240,-2324,-1891,11387,-7256,-9104,-4338,5834,1543,1178,-14430,5.07,396,2008,2.6
-182,7662,-7792,-1383,-12009,226,514,-11798,-2794,-2238,11387,-7381,-8770,-4050,5962,1614,1235,-14530,5.07,396,2008,2.7
230,7038,-8446,-1410,-11984,155,774,-12310,-3100,-1961,11574,-7352,-8724,-3624,6088,1757,1058,-14573,5.08,401,2037,2.7
