AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
7572,12586,-4510,-585,-11531,-1464,-8408,-10012,9160,4724,-2255,-7289,-1732,2134,8090,-187,13,-4326,5.08,386,1963,0.0
7514,11802,-5212,-446,-11534,-346,-7706,-5308,10248,3684,-2189,-7416,-632,1162,9186,-689,-289,-3765,5.06,508,2574,0.1
8096,10996,-6728,-332,-11058,1485,-4958,-3374,8692,1772,-3781,-6987,-814,1344,8980,-794,-497,-3208,5.06,508,2574,0.1
8082,7800,-5836,2354,-10612,3006,-3316,-2550,7422,-60,-4736,-6528,-2594,1726,7804,-661,-486,-2198,5.06,513,2599,0.1
6556,8284,-5436,2945,-10379,5395,-1160,-3288,6496,-363,-4779,-4197,-3372,1228,6124,-485,-464,-811,5.06,494,2500,0.2
6606,7934,-6348,2412,-7587,5981,-494,-3852,6500,-207,-4877,-4241,-1348,-346,5860,-488,-245,83,5.06,489,2475,0.2
5168,7890,-6676,2119,-6505,6794,58,-2812,5488,374,-4791,-3551,376,-1252,6694,-355,443,-254,5.06,503,2549,0.3
4820,6850,-8026,1343,-4110,6463,1140,-2912,4090,483,-4059,-2841,-268,-2660,7946,-242,849,-650,5.06,508,2574,0.3
4750,5250,-8644,642,-3139,6408,2178,-2762,1950,-148,-1654,-2656,-550,-2738,7570,-198,846,-1307,5.06,508,2574,0.4
4144,4174,-8350,1287,-1602,5509,3578,-2920,12,-1539,251,-2608,-1874,-2036,5712,46,1153,-1791,5.06,508,2574,0.4
5554,3872,-8072,1515,172,4087,3176,-3088,10,-2712,190,-2546,-2130,-2206,4250,240,1213,-1776,5.06,513,2599,0.5
3938,2462,-9028,2417,4218,4716,2610,-3742,-252,-3406,-105,-2877,-828,-2128,3978,335,1313,-1778,5.06,508,2574,0.5
3576,1742,-9722,3096,1363,3241,2582,-3728,-1198,-3691,661,-3058,204,-1536,4858,501,1232,-1846,5.06,503,2549,0.6
4284,164,-10152,3953,1735,1946,3214,-3592,-2028,-4128,2292,-3297,-112,-1210,6298,679,1066,-1778,5.06,528,2673,0.6
4116,188,-10238,3791,4229,-729,2764,-2230,-1856,-4726,4021,-3178,-1686,-224,7130,880,912,-1745,5.06,508,2574,0.6
3832,984,-10360,3910,6054,-2113,3396,-1228,-1866,-5281,5256,-2750,-2136,224,7432,974,726,-1357,5.06,513,2599,0.7
4658,1058,-9950,2725,11424,-4251,2512,-1966,-2062,-5084,6248,-2384,-1202,374,7220,876,311,-844,5.06,508,2574,0.7
3604,760,-8492,4033,12788,-2835,440,-1030,-1290,-4517,5286,-2021,122,418,6760,693,-118,-343,5.06,518,2623,0.8
2720,1524,-5516,6239,10607,-1518,4070,74,-416,-3012,9746,73,718,826,5970,490,-585,92,5.05,518,2618,0.8
1330,1970,-2930,6802,10982,-483,-4400,1236,7276,-2140,15738,1051,-224,1496,6046,289,-936,791,5.06,523,2648,0.9
-80,2468,-2564,7494,11546,-80,-6450,1398,12970,-258,12824,1885,-1242,1548,6952,21,-1030,1752,5.06,523,2648,0.9
-1606,5208,404,8587,11457,88,-5228,-15808,9782,-1768,10889,-2356,-1388,2710,8846,-255,-1177,2694,5.06,533,2698,1.0
-32768,15680,32767,6311,-12296,16356,-30130,13236,18458,-8837,-969,2483,-810,3422,10720,-365,-1369,3508,5.06,494,2500,1.0
20282,8118,-7602,4134,1719,-3386,1140,-14828,20910,-683,3196,4637,-2656,2946,10932,-450,-2207,4249,5.05,499,2519,1.1
11600,11184,-6552,550,4277,-5902,832,-898,12276,-5429,1801,5767,-4522,2346,11940,-535,-2370,5295,5.06,513,2599,1.1
6386,250,-1126,4430,233,-2097,2708,-7748,7910,-3742,-2333,7232,-4104,2466,13642,-236,-1625,4858,5.06,503,2549,1.1
-800,8062,3092,9199,2513,-3205,8,-5742,9242,-1117,620,9559,-3872,1130,10006,-285,-1310,4381,5.07,459,2331,1.2
1740,4982,494,9147,111,-1814,-1560,-7834,10326,-207,1266,10059,-4708,-1066,6312,-649,-1211,4537,5.07,406,2058,1.2
-3614,10028,2464,4617,2439,-9959,-1922,-6468,8902,-2090,418,9743,-3750,-2226,6180,-607,-490,3808,5.07,401,2033,1.3
