AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
4342,3048,-2244,2195,7161,552,6540,-7750,3886,-5978,1633,2315,-480,-3496,5632,512,714,-514,5.08,396,2012,0.0
1226,1474,-5268,2340,9624,-776,2224,-5364,5964,-3475,5437,3278,288,-3006,6036,185,564,-1262,5.08,411,2087,0.1
-1538,2276,-4502,2791,10096,-555,632,-5420,6614,-2346,6255,2669,186,-1790,5984,255,551,-1437,5.07,459,2331,0.1
-4130,1650,-3052,4416,6945,-520,-928,-4474,8410,-761,7924,1564,886,-1100,6176,600,257,-1337,5.08,406,2062,0.1
-4222,2858,-3076,4764,5687,-138,-1992,-4144,9604,-164,8503,1355,848,-656,5766,737,63,-1617,5.08,396,2012,0.2
-4356,3312,-1536,4707,2908,-229,-5032,-3400,12598,2245,9192,1024,498,-246,5588,934,-441,-1715,5.06,469,2376,0.2
-2824,2692,-868,4204,2243,-391,-5376,-2002,13328,2441,9866,215,392,120,5222,894,-841,-1642,5.07,450,2281,0.2
-3684,3706,-202,2722,1568,-1219,-3258,-4196,15412,3520,9919,-323,-370,580,6656,713,-1521,-1213,5.08,396,2012,0.3
-1724,3686,-274,1414,862,-2460,-5258,-3304,17416,3978,10513,-1046,-1064,1186,7654,628,-1696,-1029,5.07,459,2331,0.3
834,2942,-60,243,743,-2878,-3338,-2612,18304,3096,8988,-1884,-2466,2320,9026,527,-1728,-659,5.06,455,2302,0.4
3782,894,2304,-368,837,-3977,-1752,-4208,19626,2914,8696,-1166,-5820,2354,9832,161,-1266,464,5.08,396,2012,0.4
5240,292,4620,-737,70,-4569,-1880,-4386,20020,3388,8556,-593,-5424,1524,9254,-273,-1020,964,5.07,459,2331,0.4
7376,392,8046,-2757,1411,-5124,-196,-6654,22986,2992,6716,-319,-2410,-830,8850,-828,-416,755,5.08,401,2037,0.5
9262,968,9308,-5648,1965,-5731,2566,-8484,21800,2354,6122,-449,-2830,-1616,8848,-1082,-254,401,5.08,455,2310,0.5
10144,-5172,13430,-4894,4958,-5753,4804,-10294,18618,2212,5009,-882,-3778,-1640,8870,-1233,150,-66,5.07,450,2281,0.5
28,-8576,27922,5640,61,-3956,6306,-5492,10052,1395,5164,-1765,-2262,456,9466,-1015,802,-903,5.08,406,2062,0.6
