AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
2544,21570,15900,2354,2968,-2901,-9588,-4916,-1102,-2667,-1135,-1640,-1134,-3336,13360,36,819,1476,5.08,391,1988,0.0
2004,26686,19734,254,483,-846,-14074,-7196,-284,-2523,-1344,-1170,-2612,-5206,20098,-206,-348,138,5.08,376,1913,0.1
3860,22654,19540,992,-2247,1212,-12090,-6802,-280,-1930,-846,-364,-2778,-1836,13750,59,-594,-368,5.07,440,2232,0.1
7430,20184,15462,1716,-4925,4221,-10868,-7066,206,-126,448,637,-4904,-748,9086,64,-479,44,5.08,376,1913,0.1
8530,17112,12766,650,-4806,5102,-10774,-7016,852,100,482,636,-6302,-22,8846,-84,32,-14,5.07,440,2232,0.2
8394,14710,10620,-895,-4808,5928,-9362,-6954,1238,184,452,915,-5368,790,8984,-296,180,116,5.07,425,2157,0.2
8490,9692,7728,-4846,-4668,6342,-8168,-6480,1138,-305,2554,637,-3022,3410,9644,27,385,-402,5.08,381,1938,0.2
8348,6146,5904,-6081,-4314,6194,-8802,-6886,294,-827,2053,-57,-3104,1618,8544,175,440,-326,5.06,445,2252,0.3
8386,2126,1678,-5161,-3823,6635,-7402,-6556,-414,-1108,-522,-101,-3240,30,7016,-117,496,-113,5.08,376,1913,0.3
7524,648,998,-4537,-3103,6103,-6678,-6924,-430,-1091,45,-152,-2184,-36,7246,-168,409,-197,5.08,450,2286,0.3
7022,-1572,356,-3860,-3366,6134,-6838,-6678,-308,-1104,-122,73,-1818,-52,7070,-143,440,-285,5.06,440,2227,0.4
6372,-2038,-1302,-3227,-2720,5519,-5728,-5266,-6,-1907,-1159,123,-1346,12,7356,-85,359,-731,5.08,376,1913,0.4
5732,-2678,-2370,-3539,-2490,5193,-5324,-5396,-28,-2098,-2165,-117,-1288,350,7050,18,312,-944,5.07,440,2232,0.5
4694,-3938,-4768,-3991,-1773,4076,-4084,-4766,-234,-1722,-362,-237,-1338,988,6156,223,350,-979,5.08,381,1938,0.5
4556,-4824,-5752,-4014,-1075,3331,-3788,-5346,-460,-1077,148,101,-1212,952,5708,264,291,-900,5.07,425,2157,0.5
4564,-5728,-6424,-3854,-729,2933,-3518,-5274,-364,-544,275,265,-1114,808,5224,244,337,-838,5.08,430,2186,0.6
4604,-6438,-6742,-2701,58,2093,-3536,-5032,-12,-76,91,86,-996,902,4880,144,275,-622,5.08,371,1888,0.6
4436,-6662,-6276,-1868,897,1567,-3558,-5244,184,172,-29,35,-1442,1100,4962,69,284,-504,5.07,440,2232,0.6
3792,-6772,-5650,-111,2368,438,-3552,-4974,340,472,-97,26,-1626,1098,4646,-112,62,-90,5.08,381,1938,0.7
3912,-6412,-5570,943,2522,-45,-3080,-4918,538,519,-128,-188,-1524,1582,4396,-203,18,181,5.07,425,2157,0.7
3760,-6018,-5440,2768,1538,-849,-3212,-4846,510,679,-532,-501,-1526,1828,4386,-309,-33,599,5.08,376,1913,0.7
4190,-5346,-5382,3658,1874,-1476,-3276,-4904,418,945,-527,-489,-1430,2226,4244,-323,55,825,5.06,440,2227,0.8
4754,-4326,-4476,4163,2484,-2617,-3366,-5070,268,1488,-445,-676,-1260,2272,4002,-328,114,1126,5.08,381,1938,0.8
4004,-4170,-4002,4574,2525,-3058,-3684,-5086,2,1583,-510,-750,-1046,2156,4428,-327,61,1263,5.08,425,2161,0.9
4048,-3376,-3390,4858,3018,-3663,-3364,-5046,-264,1581,-489,-814,-836,2124,4474,-293,-22,1333,5.07,435,2207,0.9
