AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6626,4186,2942,1170,-587,-848,-7022,-4496,1006,850,711,190,-2604,602,6070,349,-513,-253,5.08,401,2037,0.0
-6836,4230,3042,964,-130,-731,-7732,-4234,840,1257,747,498,-2192,-470,8206,296,-338,-328,5.08,391,1988,0.1
-7134,4642,3074,934,-73,-716,-8484,-4210,698,1213,604,629,-1890,-1284,9250,258,-364,-440,5.07,450,2281,0.1
-7430,5292,3368,435,153,-828,-9168,-4178,1022,932,345,836,-1436,-1756,7698,138,-467,-620,5.08,396,2012,0.1
-7142,4878,3516,211,189,-953,-8786,-4124,1194,676,349,893,-2168,-1158,6642,92,-417,-571,5.07,450,2281,0.2
-6050,3668,2984,604,-127,-941,-7440,-3452,1124,-164,295,744,-2724,-390,6100,7,-347,-572,5.08,401,2037,0.2
-5490,4042,2574,1181,-277,-799,-6668,-3502,850,-681,344,478,-2086,-88,6216,-51,-335,-632,5.08,435,2211,0.2
-5266,4404,2314,1685,-826,-529,-6140,-4126,820,-865,424,-68,-1584,460,6646,-78,-309,-796,5.08,391,1988,0.3
-5296,4896,2208,1590,-618,-439,-6212,-4286,870,-649,236,-310,-1450,646,7046,-34,-338,-826,5.07,450,2281,0.3
-5784,4950,2346,1286,-321,-398,-6478,-4296,800,-266,-103,-405,-1432,134,7538,-1,-398,-836,5.06,464,2351,0.3
-6568,4754,2700,1021,-144,-327,-7016,-4338,864,655,636,-250,-1640,-332,7456,-56,-430,-760,5.08,391,1988,0.4
-6862,4770,2860,1069,-151,-264,-7216,-4214,1074,1138,821,-68,-2066,-282,7304,-117,-417,-650,5.07,455,2306,0.4
-7158,4932,3050,1069,-73,-112,-7190,-3964,1402,1663,811,101,-1936,-64,7524,-162,-398,-465,5.08,396,2012,0.5
-7170,4834,3110,1095,-102,-28,-7002,-3868,1186,1792,849,205,-1836,-108,7634,-147,-391,-436,5.08,396,2012,0.5
-7090,4874,3286,893,-114,132,-6966,-3434,1296,1787,795,482,-1454,30,7958,-52,-499,-445,5.07,459,2331,0.5
-6966,4628,3160,666,8,263,-6876,-3096,1260,1490,642,472,-1584,244,7646,-8,-585,-388,5.07,445,2256,0.6
