AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-7308,2188,4548,2007,-1082,-422,-7868,-3724,1116,-525,117,1129,-2360,448,6864,319,-96,-11,5.08,401,2037,0.0
-6616,1772,3808,2374,-1308,-524,-7668,-3678,1146,-719,67,1331,-2240,22,6760,155,-148,-31,5.08,406,2062,0.1
-6260,2426,3396,2483,-1340,-501,-7542,-3530,928,-839,-29,1270,-2058,-182,6924,49,-202,-19,5.07,464,2356,0.1
-6224,3842,3874,1627,-1138,-357,-7608,-3476,652,-937,-78,1074,-1870,20,7202,-50,-287,-2,5.08,401,2037,0.1
-6548,3944,4380,1176,-1029,-222,-7852,-3350,592,-945,15,918,-1712,278,7452,-56,-337,-21,5.07,455,2306,0.2
-6968,3656,4820,486,-919,91,-7982,-3116,540,-982,99,545,-1356,530,7794,-54,-577,-115,5.08,411,2087,0.2
-7024,3536,4932,409,-932,190,-7984,-2992,462,-1017,83,371,-1550,732,7754,-56,-668,-144,5.08,406,2062,0.2
-6956,4080,4990,484,-1074,528,-7882,-2992,396,-1061,129,-65,-2250,1168,7518,-73,-866,-70,5.06,464,2351,0.3
-6470,4686,5060,415,-987,736,-7658,-3038,460,-1037,207,-248,-2312,1274,7438,-110,-938,91,5.07,459,2331,0.3
-5462,4368,5824,343,-747,1019,-8104,-2986,536,-867,245,-665,-1766,1762,7840,-151,-1209,362,5.08,406,2062,0.4
-5128,4282,6030,435,-815,1269,-8076,-2698,486,-797,281,-822,-1768,1510,7854,-183,-1407,504,5.06,469,2376,0.4
-4062,5308,5834,1099,-552,1409,-8088,-1832,162,-1037,295,-925,-1246,1656,7418,-273,-1840,876,5.08,401,2037,0.4
-3356,6398,5688,1217,-525,1415,-8138,-1096,-70,-1361,378,-860,-1156,2098,7804,-291,-2117,1241,5.07,459,2331,0.5
-1184,7816,4776,108,104,1168,-7276,74,-318,-2131,313,-650,-1762,3364,7310,-190,-2402,2068,5.08,406,2062,0.5
-102,8624,3884,-962,682,1051,-6968,736,-248,-2754,9,-592,-2844,3336,6816,-122,-2510,2775,5.07,469,2380,0.6
260,8564,3446,-1787,1196,1118,-6992,1398,-680,-3667,66,-415,-3268,2202,6230,-141,-2470,3542,5.07,474,2405,0.6
-192,10644,2544,-2505,1762,913,-9982,588,-1462,-5430,-594,-542,-3820,-874,6944,-539,-2336,4931,5.08,401,2037,0.6
-430,11712,2412,-3020,2120,990,-11750,-468,-2118,-6282,-1064,-627,-2954,-2080,7822,-791,-2112,5392,5.07,455,2306,0.7
-286,14378,1730,-4680,2799,1204,-12918,-762,-2970,-6642,-1000,-607,-2822,-2198,8000,-880,-2124,5463,5.07,469,2380,0.7
-1084,14794,560,-7647,4017,1347,-11824,-396,-3312,-5933,1124,-246,-4642,-294,7244,-627,-1682,6113,5.08,401,2037,0.8
-2438,14752,-564,-7962,4214,1813,-11022,-1444,-2940,-6511,2083,-52,-5296,168,6656,-373,-1520,6810,5.07,469,2380,0.8
-3678,15082,-1924,-8322,4419,2334,-11042,-1824,-3270,-6865,-366,-238,-5572,594,6274,-98,-1178,7490,5.07,464,2356,0.8
-5126,15584,-3412,-9368,4958,3284,-8566,-1412,-2698,-7170,-4834,-2037,-4970,282,6608,190,-873,8394,5.08,401,2037,0.9
-5662,15002,-4704,-9786,5172,3920,-7910,-1560,-2546,-7375,-6285,-2544,-5306,-392,6394,183,-867,9211,5.07,469,2380,0.9
-6162,14110,-5970,-9690,5449,4671,-7708,-2016,-2852,-7404,-6911,-1824,-5968,-726,5232,99,-400,10131,5.07,464,2356,0.9
-6466,12370,-6924,-9051,5402,5791,-7566,-3330,-3790,-6683,-5680,-229,-5830,-3254,4810,-280,-88,11192,5.08,425,2161,1.0
-6576,11890,-7384,-8490,5387,6250,-8248,-3562,-4116,-6514,-5185,506,-5920,-4334,5684,-545,-22,11622,5.07,459,2331,1.0
-5794,12626,-7924,-8099,5546,6680,-8674,-3680,-4932,-6925,-4697,1232,-6408,-4624,6756,-761,276,11868,5.07,464,2356,1.1
-4540,13172,-9934,-8480,6501,6913,-10248,-4746,-6868,-8227,-5136,1419,-6186,-4856,8456,-1174,379,12249,5.08,406,2062,1.1
-4076,12920,-10134,-8934,7209,7079,-10898,-5182,-7284,-9073,-6303,1917,-4338,-4796,7730,-1625,-20,12500,5.07,455,2306,1.1
-3746,12844,-10986,-9334,7658,7946,-11232,-6172,-7482,-9491,-7908,1981,-2080,-4020,6930,-2086,-542,12650,5.07,455,2306,1.2
-4186,13682,-11474,-9424,9504,9016,-11978,-6982,-8630,-10798,-9328,1291,-350,520,8248,-2441,-1369,12442,5.07,411,2083,1.2
-6844,14566,-11776,-9565,10275,9480,-12334,-7930,-10102,-11357,-9598,963,-2536,3240,9178,-2238,-2122,13117,5.08,455,2310,1.3
-8656,16120,-12616,-10058,10969,9652,-12602,-8670,-11582,-11554,-10018,492,-5516,1530,9070,-2143,-1949,14677,5.06,469,2376,1.3
-528,8196,1704,209,5401,3505,4126,-7900,-732,2559,-6385,3076,-1948,-2604,7880,-856,-796,5787,5.08,455,2310,7.2
-518,8000,2004,835,3232,3910,2718,-8292,-300,2079,-6931,2729,-2694,-2288,5112,-749,-358,5671,5.08,518,2633,7.3
124,8386,1776,703,3370,3619,3256,-8720,-168,1951,-6991,2109,-2218,-1358,6576,-691,-103,5556,5.07,518,2628,7.3
476,8262,1288,1067,4549,3464,4092,-9206,36,2247,-6476,2123,-3050,-1678,6404,-620,-152,5515,5.08,459,2335,7.4
-664,7284,828,1300,2869,3599,4730,-8934,-14,2555,-5689,2360,-2658,-2328,8184,-610,-365,5264,5.07,528,2678,7.4
514,7900,1948,1161,2235,2511,4926,-7456,-280,1873,-5725,2053,-2424,-2904,8216,-572,-240,4693,5.08,459,2335,7.5
442,8510,1800,1465,2269,2416,5212,-7282,-458,1338,-5656,1868,-2468,-3340,7524,-587,-31,4371,5.08,518,2633,7.5
844,8132,2170,1529,2145,2387,5526,-7714,-480,1052,-5491,1764,-1818,-3898,8286,-645,-122,3917,5.07,523,2653,7.5
1778,7804,1172,1761,1410,1884,5270,-8248,96,1406,-4747,1907,-1608,-3644,7780,-596,90,3021,5.08,459,2335,7.6
1166,8294,1680,1497,1493,1441,4878,-7692,634,1559,-4429,1955,-1374,-2944,7836,-455,224,2582,5.07,523,2653,7.6
1756,7042,1362,1850,685,1444,4656,-6474,1490,1413,-3996,1378,-788,-2030,7246,-177,139,1873,5.08,474,2410,7.7
854,7968,2368,1546,361,953,4636,-6270,1676,1382,-3808,1055,-826,-1872,6298,-130,88,1652,5.07,528,2678,7.7
1582,6768,2632,2170,52,1430,5024,-6658,1596,1376,-3372,826,-606,-2226,6020,-162,85,1373,5.07,513,2604,7.8
2028,7680,3354,1591,-414,1421,5836,-6384,1330,1122,-3064,691,-662,-2810,6840,-182,52,820,5.08,459,2335,7.8
2638,7424,2978,1501,-479,1289,6064,-6476,1300,880,-2735,760,-422,-3250,7134,-144,86,434,5.07,528,2678,7.8
3124,7360,1598,1247,-1239,1000,5904,-6666,1952,608,-2167,733,-722,-3668,7488,-143,70,-80,5.08,464,2360,7.9
3250,7244,1254,1009,-1603,585,5854,-6250,2156,360,-2020,738,-1124,-3388,7216,-236,106,-295,5.07,518,2628,7.9
3284,7162,1734,819,-1066,-30,5480,-5550,2340,-365,-1495,513,-1294,-1180,7460,-306,26,-462,5.08,455,2310,8.0
3792,6808,1926,550,-1703,165,5254,-5524,2244,-741,-1254,400,-1312,-834,7184,-265,19,-493,5.07,523,2653,8.0
3506,6884,2012,709,-575,100,4958,-5634,2262,-1062,-1091,90,-1386,-836,6890,-262,-35,-518,5.07,523,2653,8.1
3966,7076,1356,752,-848,-4,4476,-6242,2192,-1162,-1023,-237,-1878,-938,6524,-229,-49,-528,5.08,459,2335,8.1
4248,7496,804,535,-1292,-154,4438,-6702,2116,-711,-754,-276,-2058,-1268,6506,-188,80,-500,5.07,533,2703,8.1
-822,6782,-310,-783,-3811,1749,4330,-6572,2278,179,-604,-338,-1664,-1128,7170,-118,154,-449,5.08,459,2335,8.2
3812,5262,2320,1324,2612,-446,4448,-6522,2246,523,-471,-226,-1450,-1272,7570,-82,111,-390,5.07,533,2703,8.2
318,6272,548,-362,-4327,-194,4454,-6324,2306,645,-495,-256,-1714,-948,7324,-95,132,-389,5.07,528,2678,8.3
