AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-1370,4126,3744,524,-6876,847,-2700,-1598,11820,-5050,-8655,-142,-1508,78,5602,802,-912,-1397,5.08,367,1863,0.0
540,5218,1872,-1751,-7858,1314,-1202,-2044,13618,-6651,-9046,-1174,-3266,1086,7226,626,-602,-981,5.08,371,1888,0.1
140,4438,2124,-3239,-8202,1489,-1424,-2744,14378,-6984,-9396,-1343,-4054,1876,8058,513,-368,-556,5.07,415,2108,0.1
-888,4634,2696,-4664,-8669,1995,-1546,-2666,13178,-6478,-9765,-1940,-2550,2374,8442,519,-379,-638,5.08,367,1863,0.1
-654,3720,2610,-5468,-9112,2145,-1880,-1682,11732,-6045,-10305,-2297,-1582,970,7448,504,-206,-879,5.07,425,2157,0.2
-240,1392,2712,-5406,-9244,2132,-266,-2096,10622,-4881,-10130,-2383,-1104,-292,7300,268,-156,-1272,5.07,425,2157,0.2
1022,244,1386,-4760,-8883,1905,-516,-2262,8758,-1778,-6781,-1676,-1984,128,6238,70,-1,-1238,5.08,381,1938,0.2
1812,82,352,-3916,-8636,1781,410,-2324,7836,-954,-5233,-1615,-2200,922,6214,32,18,-1037,5.07,420,2132,0.3
2616,-478,-520,-3455,-8358,1458,662,-2610,7734,-31,-3563,-1564,-2128,528,6232,-28,-20,-818,5.07,415,2108,0.3
4696,-920,-2334,-2195,-7174,964,710,-2150,7448,-422,-6711,-3405,-2436,1028,6102,-213,130,-419,5.08,371,1888,0.3
5626,-1206,-3738,-1813,-5608,795,3400,-2480,6058,-791,-5398,-3597,-2340,1398,6066,-337,242,-252,5.07,415,2108,0.4
7000,-832,-3866,-908,-2751,412,3360,-2660,4490,-698,-3234,-3548,-2210,1094,6040,-559,396,191,5.08,362,1838,0.4
7092,-1224,-2872,-1061,-1457,96,4440,-2642,3628,-1090,-2097,-3527,-2148,748,6770,-712,348,412,5.08,420,2137,0.4
6784,-2156,-1366,-1075,-356,-315,5130,-2442,3320,-1733,-1228,-3311,-2108,694,6506,-810,389,494,5.07,415,2108,0.5
6376,-2042,1474,-1527,1212,-404,5316,-2444,2460,-2731,603,-1815,-1694,610,6864,-934,468,560,5.08,367,1863,0.5
6196,-1962,2264,-1301,1878,-454,5558,-2748,1540,-2845,1337,-1622,-1496,660,7178,-1004,410,594,5.07,425,2157,0.5
6556,-372,3744,-1594,2848,-195,7628,-4682,-576,-729,2491,-263,-918,586,8054,-1106,295,746,5.08,367,1863,0.6
6304,486,4626,-1919,3816,-329,7746,-4264,-1352,656,2973,378,-240,10,9024,-1215,12,873,5.07,430,2182,0.6
6132,754,4950,-2291,4567,-235,7652,-3208,-1866,1194,3620,890,34,-372,9418,-1303,-210,955,5.07,415,2108,0.6
5120,-426,5820,-1352,5359,-208,6804,-2470,-2242,749,4613,1578,620,-932,9786,-1254,-761,929,5.08,367,1863,0.7
3588,-1380,6268,86,5233,-308,5912,-3014,-1734,872,4959,1923,626,-1230,9416,-1102,-1019,922,5.06,430,2178,0.7
2592,330,6780,1634,5298,-337,5378,-1730,-1174,1213,6364,2296,-452,-1868,7270,-975,-1294,978,5.08,367,1863,0.8
2060,836,7314,1911,5051,-161,4828,-916,-902,1240,6876,2373,-620,-1986,6628,-994,-1292,987,5.08,381,1938,0.8
2098,2368,7794,1480,5411,32,3664,1594,438,540,7071,2464,-794,-1812,5526,-1020,-1298,1087,5.07,430,2182,0.8
2146,2740,8312,661,6063,190,2468,2586,1014,-718,7070,2732,-1120,-1826,5274,-956,-1171,1244,5.06,425,2153,0.9
1256,2736,9248,-209,6757,657,1362,2748,1682,-2963,6594,3555,-1242,-2560,7290,-684,-919,1305,5.08,367,1863,0.9
768,2808,9548,-404,7100,970,1394,2200,1342,-4287,6413,4151,-1758,-2950,7916,-568,-745,1237,5.07,425,2157,0.9
-678,1710,11126,348,7271,1427,-1358,-724,616,-5270,5921,4715,-2780,-3084,7782,-457,-452,1343,5.08,367,1863,1.0
-1674,1296,11436,583,7322,1600,-1704,-3366,1462,-4556,5923,4967,-2208,-3178,7534,-377,-267,1298,5.08,411,2087,1.0
-2926,1314,11792,665,7352,1671,-2336,-5280,2206,-3715,5851,4651,-1252,-2784,7420,-269,-183,1113,5.07,415,2108,1.0
-3644,976,12020,88,7721,1750,-2100,-5772,3688,-2215,5278,3682,-564,-2592,7180,-121,-61,906,5.08,371,1888,1.1
-3616,530,12786,-505,7861,1774,-1698,-5334,3330,-1809,5303,3262,-850,-2340,7226,-62,-156,816,5.06,445,2252,1.1
-3078,194,13954,-1333,7980,1875,-1152,-5364,2112,-574,6574,2981,-1384,-1908,6712,201,-65,768,5.08,371,1888,1.2
-2802,104,14928,-1387,7755,1932,-1114,-6168,1922,382,7051,2438,-1682,-1990,6150,379,156,793,5.08,430,2186,1.2
-3076,-584,15990,-1378,7321,1933,-1498,-6738,2094,1702,7287,1846,-1626,-2328,5942,506,313,753,5.07,420,2132,1.2
-2214,-1206,18844,-1141,5672,1703,-1802,-7976,2478,5622,7367,591,-1136,-3302,5714,619,576,499,5.08,367,1863,1.3
-840,-510,18586,-1354,4655,1527,-1880,-7116,3342,8771,7726,-235,-1270,-3718,6498,673,747,233,5.07,415,2108,1.3
356,696,18856,-1805,3702,1361,-3292,-6136,5862,11910,6872,-1417,-1328,-3670,6974,716,972,-42,5.07,415,2108,1.3
1378,-294,18150,-1944,1959,936,-4534,4700,11778,15401,4182,-2227,-1062,-2662,7800,894,1221,-488,5.08,367,1863,1.4
1648,-734,16668,-1089,912,530,-4658,12756,15016,13122,2062,-1263,-946,-2426,7904,998,1295,-636,5.07,415,2108,1.4
290,-2948,12828,1005,-594,-326,-3746,12722,14454,2789,-902,1759,-688,-2714,8292,1088,1273,-905,5.07,376,1909,1.4
-852,-4498,11440,2549,-1283,-1085,-3728,6042,11820,332,-1737,3340,-118,-2736,8806,1097,1096,-1060,5.08,415,2112,1.5
-2168,-3796,11282,4349,-2081,-1636,-2602,-1600,9898,1292,-1582,4346,310,-2096,8858,1107,818,-1146,5.06,425,2153,1.5
-1506,-1124,12128,6322,-3975,-2184,-2056,-1568,11958,3157,-1118,4764,190,-1820,8704,1086,231,-931,5.08,362,1838,1.5
-262,-334,11978,6459,-4658,-2391,-2074,-1502,13992,2549,-2042,4720,292,-1676,8126,1010,-23,-892,5.07,425,2157,1.6
46,406,11082,6034,-5024,-2471,-2908,-534,15410,523,-2942,4566,44,-1366,7222,906,-350,-885,5.07,411,2083,1.6
258,1542,9554,4466,-6066,-1683,-2780,-3412,15254,-1707,-4593,3517,-834,-166,5886,871,-586,-801,5.08,367,1863,1.6
680,1616,8286,4055,-6311,-972,-2822,-3200,14786,-2736,-5589,2716,-1440,-102,5342,860,-619,-625,5.07,415,2108,1.7
1658,1188,7366,3424,-6652,22,-2270,-2790,12886,-4376,-7410,1097,-1698,372,5876,734,-636,-393,5.08,371,1888,1.7
1738,1942,6846,2718,-6786,534,-1494,-2438,12522,-5025,-8425,473,-1664,1060,6968,686,-529,-305,5.07,420,2132,1.7
1012,2918,6210,1753,-6840,709,-1054,-2416,12994,-5162,-8787,611,-2470,1718,9048,725,-352,-124,5.07,420,2132,1.8
-1044,4410,4916,692,-7954,1255,-1994,-2192,14468,-5428,-8535,625,-2884,240,10400,602,-309,-18,5.08,367,1863,1.8
-2554,5224,3914,-297,-8408,1763,-2986,-2202,15178,-5821,-9088,130,-2334,-392,8498,353,-487,-141,5.07,411,2083,1.8
-2568,6494,2600,-2143,-9400,2254,-3180,-2402,15938,-7109,-9725,-579,-1880,-442,7142,251,-453,-186,5.07,411,2083,1.9
-888,3774,3278,-3911,-11027,2622,-2888,-3074,14676,-6606,-10869,-1430,-1330,26,7008,323,-640,-439,5.08,367,1863,1.9
-1306,1660,2888,-3316,-11427,2919,-1554,-1406,13582,-5180,-10770,-1651,-1180,794,6594,412,-262,-386,5.06,425,2153,1.9
316,2440,1576,-3375,-11502,2980,-1480,-770,12452,-4236,-10499,-2341,-1764,1092,6184,400,-433,-365,5.07,420,2132,2.0
2560,1752,-928,-4120,-10791,3252,1510,-2212,10080,-1989,-9441,-2830,-1422,950,6148,160,-324,36,5.08,371,1888,2.0
3432,898,-1882,-4595,-9560,3037,978,-2036,9292,-914,-8789,-2947,-2156,784,5304,-93,-27,194,5.07,415,2108,2.0
5200,-3408,-3172,-2868,-7404,2182,2088,-2456,8106,-1,-6669,-3552,-2200,954,6254,-487,232,555,5.08,367,1863,2.1
6466,-2914,-3120,-1291,-6015,1809,3576,-2624,4884,10,-5170,-3805,-2094,928,5946,-597,338,787,5.08,420,2137,2.1
