AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-868,11074,4490,142,-3793,-8610,-6016,-6470,-4044,7157,6030,-2985,-1922,-396,5168,992,-346,-6489,5.08,401,2037,0.0
-1916,9672,4664,422,-3236,-8464,-6300,-6922,-4394,6346,5531,-2149,-3296,-2758,4722,643,-134,-6830,5.07,401,2033,0.1
-2262,9014,4332,986,-4073,-8032,-5838,-6332,-4644,5612,3960,-2814,-4020,-1906,4710,539,66,-6899,5.06,518,2623,0.1
-2076,8504,3488,2198,-4760,-7750,-5282,-6248,-4826,4046,2840,-3875,-3998,-1056,5360,481,434,-6739,5.07,396,2008,0.1
-2182,9208,3044,2392,-4833,-7577,-4874,-6622,-5062,3727,3227,-3847,-3916,-350,6226,492,589,-6729,5.08,508,2584,0.2
-2240,9510,2710,2430,-5112,-7431,-4714,-6550,-5200,3695,3185,-3649,-3814,594,6748,550,787,-6789,5.05,523,2643,0.2
-2580,8970,1778,2530,-5224,-7656,-3938,-6804,-5152,4010,3453,-3542,-4018,832,6614,606,1054,-6702,5.07,401,2033,0.3
-2822,8174,1510,3041,-5055,-7778,-3314,-6416,-5050,4125,4641,-3429,-3742,736,6456,591,1108,-6511,5.05,523,2643,0.3
-3212,7576,1188,3750,-5142,-7802,-3616,-6538,-5094,4350,4661,-3016,-3372,566,5938,573,1215,-6335,5.05,518,2618,0.3
-3464,7710,214,4156,-5193,-7787,-3082,-6038,-5174,4247,5919,-2828,-2534,116,6512,602,1166,-6095,5.08,401,2037,0.4
-3540,7440,204,4109,-5039,-7705,-3254,-6746,-5624,4065,5650,-2894,-2456,-34,6578,647,1142,-6044,5.06,503,2549,0.4
-3770,6944,696,4270,-4747,-7645,-3258,-7514,-5572,3787,5597,-3054,-2578,-310,6954,697,1105,-6084,5.05,508,2569,0.5
-4688,7608,2300,5351,-4651,-7243,-3870,-9350,-4968,3724,5226,-3513,-2880,-322,7094,828,1134,-6092,5.07,396,2008,0.5
-5114,8730,2982,6018,-4870,-6714,-4360,-9704,-4392,3653,5118,-3817,-2970,-196,7136,917,1219,-6030,5.06,518,2623,0.5
-4806,10600,2818,5289,-4883,-6286,-4738,-10752,-3936,3354,4714,-4421,-2762,-130,7818,999,1189,-5964,5.06,518,2623,0.6
-5054,9570,2790,3066,-3690,-6217,-4794,-13626,-3822,2341,4366,-5877,-2618,24,7574,1066,1183,-5970,5.07,425,2157,0.6
-5684,8330,3056,2549,-3238,-5954,-5376,-14772,-3844,1858,4172,-6598,-2322,28,8276,1088,1128,-5989,5.06,503,2549,0.7
-6808,7616,3908,2972,-2960,-5545,-5402,-15534,-3570,1143,4042,-7350,-2482,-584,9088,1167,1061,-6014,5.06,523,2648,0.7
-7354,9068,5288,3775,-2002,-4442,-5034,-16502,-2846,932,3874,-8269,-1550,-1424,8446,1267,885,-6253,5.07,391,1984,0.8
