AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,445,2261,0.0
6018,3436,-892,10156,4263,3273,5272,-4142,2878,-1990,3063,-2201,1148,-712,7610,107,450,-411,5.07,503,2554,0.1
5794,3312,232,11283,4986,631,4740,-3784,2958,-1922,3591,-3326,950,-620,7250,56,435,-52,5.07,499,2529,0.1
5038,4882,938,12594,5060,1365,4408,-3986,2594,-2042,4354,-3526,1026,-712,7228,-6,339,-33,5.06,508,2574,0.1
4838,5790,1824,13428,5216,1603,3590,-4114,2780,-1933,4929,-3615,1246,-774,7434,-75,249,0,5.07,508,2579,0.2
4462,5708,2308,14384,5453,1680,2454,-4280,3016,-1645,5653,-3711,952,-646,7602,-130,166,95,5.07,508,2579,0.2
10848,6816,3908,15344,6938,1110,1596,-3626,3000,-1252,6291,-3768,852,-670,7530,-202,69,148,5.07,508,2579,0.3
5058,7302,4406,15533,3187,2004,700,-2930,2986,-929,6987,-3752,876,-562,7490,-243,-1,209,5.07,499,2529,0.3
5114,9488,2750,15458,7182,1118,320,-2348,3318,-535,7520,-3661,1002,-528,7612,-256,39,216,5.07,503,2554,0.4
3110,8006,3530,14640,6869,1642,1816,-5648,-3738,725,8666,-3779,960,-324,7888,-199,2,252,5.07,513,2604,0.4
-14464,11298,32767,3931,-11222,-1998,-22552,18256,25364,-4268,364,933,1552,-652,7584,-186,-183,191,5.07,503,2554,0.5
12900,-1460,-4834,3490,3506,-2085,2488,-6778,10990,-9508,-876,-2521,2206,-486,7704,-195,-677,344,5.07,503,2554,0.5
3656,-3306,2062,2510,1172,-576,15086,-5772,7088,2608,-3137,2810,484,-658,7756,-50,-956,667,5.07,503,2554,0.6
4064,7224,3298,1274,-3557,-2382,5036,-932,6410,1236,4028,3094,-38,-762,7574,-7,-373,312,5.07,503,2554,0.6
5212,524,4324,2908,-1000,-3350,3396,-1580,5300,1913,5091,3473,906,-736,7072,36,-161,218,5.07,503,2554,0.6
6698,4048,3836,3171,478,-2102,3346,-1124,7284,1217,2040,2399,718,-206,6972,88,-27,500,5.07,503,2554,0.7
4390,5030,4368,1133,4162,-3226,2386,-832,9614,1145,3219,3120,1186,-364,7090,102,-76,683,5.07,508,2579,0.7
4408,6198,2698,-320,1113,-3580,1120,-1638,10350,617,3103,2930,1802,-756,7196,69,-64,590,5.07,499,2529,0.8
5790,6812,2114,-1256,7,-4004,1640,-1920,10532,526,1500,2896,1552,-604,7190,17,-125,432,5.07,499,2529,0.8
5112,5206,1742,-1701,-47,-4341,1478,-3158,11252,655,1140,2843,1220,-318,7522,65,-255,544,5.07,503,2554,0.9
5726,6094,808,-794,-784,-3602,1474,-2926,11216,434,1212,2805,1028,-424,7468,81,-374,672,5.07,503,2554,0.9
6016,6976,664,-731,-1111,-2881,1538,-3552,11018,697,628,2661,698,-454,7890,61,-368,758,5.07,499,2529,1.0
5796,7422,1320,-1642,-1092,-2787,1532,-3938,10146,447,364,2617,1056,-346,8082,54,-374,794,5.07,499,2529,1.0
5372,7586,1210,-3010,55,-3121,1494,-2920,9060,-540,222,2280,1488,-550,7758,24,-457,813,5.07,503,2554,1.0
6092,7360,1140,-3934,401,-3260,1072,-3410,7906,-1871,-50,1950,1352,-494,7442,14,-462,858,5.07,503,2554,1.1
5276,8034,1302,-3978,-936,-2687,1222,-3820,7130,-1772,-408,2003,1308,-626,7196,20,-446,975,5.07,518,2628,1.1
2078,8166,1126,-4516,-3347,-4785,1288,-3348,7346,-1270,-423,2399,1278,-726,7100,31,-450,1032,5.06,513,2599,1.2
5698,5514,2570,-3068,-3671,-3042,516,-3268,7838,-617,-226,2777,1214,-800,7308,17,-449,1038,5.07,513,2604,1.2
4966,6900,3944,-2035,-1378,-2581,-72,-3016,8362,279,-354,3144,1138,-904,7176,-15,-421,1029,5.07,508,2579,1.3
5210,7256,4050,-2422,-264,-2653,-196,-2444,8788,780,-448,3565,1282,-984,7462,-26,-433,1084,5.07,503,2554,1.3
4754,7374,4438,-2756,-1098,-2669,-520,-1734,8948,556,-481,3936,1298,-1056,7252,-47,-449,1118,5.07,513,2604,1.4
4570,6784,4606,-2411,-2201,-2528,-660,-1948,8684,-147,-587,4104,1334,-1102,7032,-72,-371,1103,5.06,523,2648,1.4
4472,7064,4382,-2091,-2866,-2266,-846,-2932,8138,-413,-760,4196,1284,-1160,7086,-85,-311,1105,5.07,528,2678,1.5
4366,7054,3866,-2036,-3036,-2030,-972,-3736,8108,-342,-969,4258,1280,-1038,7300,-87,-272,1123,5.07,513,2604,1.5
4098,7172,3564,-2441,-3429,-1830,-898,-3834,8308,-315,-1128,4234,1420,-978,7446,-79,-295,1155,5.07,528,2678,1.5
4006,6928,3226,-2848,-3672,-1554,-972,-3978,8542,-467,-1252,4198,1600,-1064,7418,-62,-313,1190,5.07,508,2579,1.6
4364,7186,2842,-3362,-3681,-1223,-986,-4210,8408,-437,-1438,4167,1680,-1164,7264,-40,-308,1179,5.07,508,2579,1.6
4648,7566,2398,-4314,-3219,-1164,-892,-4202,8468,-232,-1552,4293,1472,-1126,7174,16,-259,1143,5.07,508,2579,1.7
4642,7596,2156,-5297,-2926,-1313,-1020,-4074,8488,-248,-1732,4230,1328,-1206,7232,91,-246,1128,5.07,503,2554,1.7
4486,7266,2052,-5916,-2926,-1458,-926,-4018,8328,-378,-1861,4130,1400,-1348,7092,153,-193,1084,5.07,503,2554,1.8
4242,6788,2192,-6382,-2974,-1716,-892,-4140,8268,-475,-2072,4043,1478,-1372,7026,200,-161,1071,5.07,508,2579,1.8
4052,6226,2376,-6435,-2797,-1836,-744,-4044,8080,-576,-2143,3936,1406,-1396,6958,240,-146,1071,5.07,499,2529,1.9
4072,6108,2624,-6315,-2674,-1843,-838,-4150,7980,-698,-2402,3770,1280,-1394,6942,269,-107,1133,5.07,508,2579,1.9
4158,6606,2804,-6410,-2515,-1888,-606,-4198,7768,-779,-2546,3586,1222,-1262,6716,308,-116,1264,5.07,508,2579,2.0
3958,5886,3382,-6067,-2151,-1950,-442,-4252,7628,-862,-2694,3360,908,-1566,6682,329,-54,1382,5.07,503,2554,2.0
3908,5652,3766,-5220,-2065,-1728,-270,-4406,7428,-822,-2738,3126,790,-1578,6656,339,26,1451,5.07,518,2628,2.0
3894,5394,4332,-4273,-2115,-1537,-94,-4476,7452,-592,-2768,2909,754,-1646,6758,331,89,1510,5.07,513,2604,2.1
3866,4954,4528,-3105,-2162,-1308,26,-4466,7622,-366,-2779,2770,702,-1642,6680,333,197,1611,5.07,508,2579,2.1
3978,5236,4480,-2040,-2308,-935,136,-4408,7740,-131,-2791,2623,780,-1668,6816,353,315,1669,5.07,518,2628,2.2
4428,5530,4268,-1216,-2258,-668,282,-4350,7742,130,-2769,2503,792,-1648,7058,386,392,1638,5.06,513,2599,2.2
4512,5912,3852,-424,-2101,-353,366,-4212,7796,351,-2708,2426,638,-1664,7226,448,520,1628,5.07,513,2604,2.3
4546,6270,3724,156,-2111,-116,458,-4022,7992,474,-2626,2333,398,-1530,7450,504,626,1589,5.07,508,2579,2.3
4686,6526,3418,413,-2082,91,464,-3806,7976,527,-2538,2267,238,-1378,7574,550,727,1560,5.07,503,2554,2.4
4786,6500,3084,511,-1868,225,616,-3694,8128,523,-2450,2229,210,-1292,7828,600,826,1566,5.07,503,2554,2.4
4892,6472,3098,318,-1852,321,644,-3662,8226,538,-2375,2190,252,-1302,7962,611,882,1601,5.07,508,2579,2.4
4942,5900,3084,410,-1693,409,814,-3568,8200,588,-2304,2186,322,-1390,7898,587,895,1654,5.07,508,2579,2.5
5016,5976,2812,629,-1703,547,856,-3602,8154,616,-2264,2171,302,-1370,7408,564,921,1746,5.07,508,2579,2.5
5272,6016,2818,516,-1814,605,866,-3580,8114,666,-2254,2110,378,-1210,7416,586,964,1840,5.07,503,2554,2.6
5446,5576,2742,499,-1714,684,974,-3490,7944,669,-2244,2063,490,-1024,7620,625,957,1872,5.07,513,2604,2.6
5450,5464,2790,435,-1745,768,1036,-3556,7918,710,-2251,2069,860,-1036,7694,661,904,1860,5.07,503,2554,2.7
5644,5062,2778,337,-1755,838,972,-3592,7930,815,-2246,2141,916,-1180,7560,656,844,1867,5.07,518,2628,2.7
5856,4826,2776,443,-1659,959,914,-3536,8060,893,-2287,2185,1164,-1526,7648,598,735,1896,5.07,503,2554,2.8
6066,4964,2744,441,-1525,1047,858,-3636,8090,891,-2305,2222,1236,-1582,7986,511,646,1892,5.07,508,2579,2.8
6134,4948,2742,473,-1324,1088,736,-3696,7986,885,-2308,2299,1174,-1356,7994,468,611,1898,5.07,508,2579,2.9
