AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
3170,7228,-5632,-308,-2073,9603,3654,-2526,-2220,4413,-2534,-8023,1198,184,7922,-233,-465,-562,5.06,503,2549,38.3
2464,5784,-6288,-800,-798,9870,3458,-1172,-1686,4393,-2516,-7961,610,720,8190,-187,-442,-570,5.07,513,2604,38.3
2266,4786,-6124,-1209,-309,10195,3590,226,-1532,4045,-2365,-7675,554,1202,8452,-98,-466,-507,5.06,503,2549,38.4
1768,3802,-5918,-1857,-137,9876,3884,1272,-1906,3425,-2402,-7093,334,1268,8002,6,-480,-357,5.07,499,2529,38.4
1002,2354,-5894,-2230,-1007,9775,4988,2728,-2478,2714,-2212,-6276,-104,864,7750,37,-389,-165,5.06,489,2475,38.5
946,2146,-5976,-2772,-1120,9850,5906,3392,-3240,1573,-1992,-5525,-314,804,7540,24,-287,-64,5.07,499,2529,38.5
1880,494,-5414,-4188,1510,8358,6842,3612,-4086,889,-1636,-4462,-506,856,7454,7,-190,40,5.07,499,2529,38.6
22,-3558,-6792,-3856,-59,7545,7528,4302,-4786,166,-1163,-3332,-522,816,7332,36,-103,179,5.07,494,2504,38.6
898,-7074,-6996,-1677,-2019,6530,8032,5174,-5014,-641,-563,-2138,-198,650,7168,83,-85,255,5.06,508,2574,38.6
-308,-6320,-7576,-1029,-3372,550,7896,5300,-4922,-1489,71,-836,-152,494,6996,114,-29,182,5.06,499,2524,38.7
4856,-10590,-6948,2343,-2829,3677,7460,4880,-4006,-2082,600,458,274,320,7006,121,-72,79,5.07,499,2529,38.7
3994,-6778,-7162,3138,-634,2150,6990,4396,-3392,-2385,979,1783,282,196,6546,83,-124,29,5.07,494,2504,38.8
2944,-7052,-7270,843,-219,-2518,6404,3954,-2844,-2436,1270,3023,300,342,6464,36,-154,-37,5.07,503,2554,38.8
3704,-7228,-6626,1233,-231,-3475,5896,3430,-2482,-2632,1552,4117,362,642,6814,-7,-211,-91,5.06,518,2623,38.9
3354,-5790,-6132,1091,694,-5158,5442,2840,-2218,-2897,1728,5193,270,944,6938,-22,-215,-49,5.07,508,2579,38.9
2788,-5844,-6110,1140,1144,-6797,4908,2020,-2012,-3314,1951,5945,208,918,6944,-17,-202,10,5.06,503,2549,39.0
2454,-4094,-5734,1958,1450,-7393,4270,586,-1900,-3564,2192,6650,136,854,6858,-28,-122,58,5.07,499,2529,39.0
2414,-1582,-5250,1889,2781,-8417,3764,-468,-1870,-3784,2405,7235,0,896,6930,-7,-13,136,5.07,503,2554,39.0
1698,856,-5094,1662,3814,-9052,3046,-1482,-1632,-4094,2520,7699,-100,972,6916,35,82,213,5.07,503,2554,39.1
1546,2852,-4600,986,4544,-9616,2490,-2784,-1598,-4253,2526,8129,-20,918,7038,73,187,296,5.07,503,2554,39.1
886,4478,-3844,764,5239,-9590,1584,-4282,-892,-4310,2508,8539,-80,872,7070,99,266,392,5.07,484,2455,39.2
654,5904,-2906,774,5391,-9600,704,-8214,82,-3966,2429,8152,-152,774,7308,112,324,481,5.07,508,2579,39.2
1242,9040,-1148,352,4843,-8958,166,-10408,2084,-2124,2196,7779,-168,828,7496,115,486,574,5.06,503,2549,39.3
1176,11002,-172,-822,4462,-8573,6,-11654,3000,-972,1753,7442,76,1056,7706,159,543,710,5.07,503,2554,39.3
1090,11264,1274,-1128,4673,-7951,66,-13506,1882,-200,1195,6537,-24,1310,7180,229,514,834,5.07,503,2554,39.4
-36,12800,2040,-743,4855,-6954,-420,-15420,1444,488,881,5375,-158,1394,6994,289,449,880,5.07,508,2579,39.4
-106,14234,2912,-239,3951,-5947,-646,-16864,1370,-116,473,3930,32,1194,6680,317,457,811,5.07,518,2628,39.4
-236,16052,4516,1228,3484,-4216,-600,-18890,2418,-789,-385,2044,-86,828,7700,362,430,858,5.06,528,2673,39.5
446,17888,5816,2145,7983,768,152,-20534,3068,-342,-1259,149,236,-220,8548,296,129,856,5.07,523,2653,39.5
-1834,22248,4310,-763,2820,-4177,34,-18490,2854,1130,-1780,-1161,462,-482,8408,136,-56,816,5.07,518,2628,39.6
-320,19246,5774,1499,-6631,-63,1210,-15080,2444,882,-2400,-2304,374,-242,8216,38,-49,902,5.07,508,2579,39.6
3432,17708,4614,2531,-9684,2300,2566,-14354,1870,374,-3018,-3194,514,-24,8632,-3,-24,855,5.07,503,2554,39.7
3892,15284,1850,1411,-5029,2986,3142,-13734,862,795,-3426,-4119,826,-452,8770,-13,-171,657,5.07,494,2504,39.7
3934,13924,368,1786,-2561,4440,3162,-12054,182,1419,-3749,-5047,924,-950,8136,-49,-219,379,5.07,494,2504,39.8
3604,13896,-446,1679,-3730,5014,3662,-10344,-368,1699,-3712,-5687,746,-1242,7506,-107,-98,87,5.07,499,2529,39.8
3962,13246,-2274,1364,-5657,6017,4038,-8632,-882,1945,-3870,-6309,1204,-958,7396,-161,-91,-292,5.07,499,2529,39.9
