AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5692,3804,-296,132,-966,-305,-5344,-2944,3158,-1710,-1001,592,-560,-3136,5572,264,222,396,5.08,376,1913,0.0
-5938,3648,-36,-177,-810,-462,-5180,-2998,3060,-1199,-585,336,-630,-2856,5582,394,254,420,5.08,371,1888,0.1
-6236,3698,6,-275,-797,-551,-5200,-3092,3180,-840,-492,189,-878,-2692,5350,447,261,484,5.06,435,2203,0.1
-6328,3482,-18,-278,-828,-695,-5256,-3054,2914,-287,-337,-59,-1162,-2792,5396,436,226,685,5.08,376,1913,0.1
-6784,3430,-90,-138,-904,-707,-5378,-3050,2746,-20,-205,-167,-1150,-2940,5480,389,205,832,5.06,430,2178,0.2
-6906,3744,-184,1,-876,-749,-5914,-2992,2212,312,82,-276,-1042,-3122,6226,312,155,974,5.08,376,1913,0.2
-7452,3992,-108,-37,-833,-713,-6456,-3120,2110,428,265,-326,-1058,-3158,6870,328,169,1025,5.08,440,2236,0.2
-8180,4322,254,-372,-676,-760,-7434,-3420,1492,725,624,-382,-1060,-3512,7998,382,197,1098,5.08,376,1913,0.3
-8920,4342,658,-463,-668,-790,-8124,-3514,1210,895,955,-358,-940,-3620,8694,431,231,1026,5.07,435,2207,0.3
-10250,4600,932,-525,-806,-748,-9142,-3602,916,1032,1356,-278,-796,-3252,10296,535,242,910,5.07,430,2182,0.3
-11620,5370,1226,-829,-683,-880,-11830,-4110,494,1532,2129,-70,-1546,-1938,13098,807,250,793,5.08,371,1888,0.4
-12382,5284,1448,-896,-629,-891,-12990,-4206,606,1796,2266,84,-1744,-1590,13602,823,217,1040,5.07,425,2157,0.4
-12180,4646,1640,-562,-709,-808,-13550,-3846,1202,1907,2094,300,-140,-768,14318,432,14,1293,5.08,376,1913,0.5
-12266,4366,1586,-20,-883,-584,-13696,-3776,1230,1654,2307,636,-858,1482,13712,316,-12,1206,5.08,430,2186,0.5
-11972,4590,1572,365,-1087,-435,-13808,-4024,1206,1407,2186,873,-1986,2110,12872,248,45,1382,5.07,435,2207,0.5
-9136,3694,2910,837,-1690,111,-5470,-4486,1824,2520,7557,985,-1468,1426,8598,14,133,1552,5.08,376,1913,0.6
-7488,3532,3794,761,-1604,247,-10530,-3960,1022,2021,4229,2389,436,920,7726,-75,-156,1102,5.07,425,2157,0.6
-5894,3364,4276,-28,-1387,623,-8522,-2274,-500,536,1274,104,-72,1014,7040,-31,2,334,5.08,371,1888,0.6
-5178,3238,4536,-763,-456,871,-7340,-2268,-710,-575,-1349,-932,-118,1198,6444,6,26,173,5.08,425,2161,0.7
-5488,2708,4610,-2158,951,1305,-6220,-3298,-654,-459,-1567,-721,200,764,5896,104,28,310,5.08,376,1913,0.7
-5838,2606,4564,-2621,1080,1585,-6516,-3250,-538,90,-717,-251,202,536,6136,103,-11,266,5.08,420,2137,0.7
-6208,2822,4418,-2918,964,1743,-6618,-3126,-318,467,-660,-35,-212,502,6258,88,-7,179,5.07,425,2157,0.8
-6710,3266,3754,-3259,1153,2087,-6266,-3212,-184,454,-569,-55,-864,1024,6906,136,-39,201,5.08,371,1888,0.8
-6810,3250,3306,-3239,1189,2239,-6000,-3372,-90,520,-19,28,-584,1206,6718,213,-138,172,5.07,425,2157,0.8
-6762,2840,3236,-3186,1388,2632,-5758,-3256,-282,673,407,74,-482,1700,6652,364,-365,137,5.08,376,1913,0.9
-6844,2730,3422,-3331,1402,2753,-5748,-3042,-300,732,355,45,-938,1466,5990,397,-317,90,5.07,420,2132,0.9
