AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5530,2434,4086,677,613,317,-1328,-5200,2872,177,325,3511,-1240,-834,7148,121,78,207,5.08,371,1888,0.0
-5624,3228,3870,740,765,403,-1628,-4768,2868,-652,455,3920,-1360,-892,7186,104,114,206,5.08,381,1938,0.1
-5658,3698,4410,211,900,364,-1944,-4758,2284,-1325,603,4172,-1356,-920,7328,89,118,229,5.07,425,2157,0.1
-5754,3558,5162,-691,1165,217,-2184,-4840,2844,-2613,535,4454,-1212,-910,7320,69,134,250,5.08,415,2112,0.1
-5696,3624,5460,-1053,1204,149,-2936,-6052,2904,-3661,391,4332,-1200,-1008,7292,58,150,257,5.07,430,2182,0.2
-5786,3188,5314,-1037,1228,84,-3666,-7958,3028,-3689,-146,4260,-1126,-834,7466,56,149,291,5.08,376,1913,0.2
-5678,3164,5108,-821,1264,66,-3882,-8494,2678,-2699,-278,4479,-1154,-806,7212,62,158,318,5.07,430,2182,0.2
-5732,2950,4812,54,1343,124,-3986,-8424,2102,-794,224,4875,-1242,-738,7186,105,166,345,5.08,376,1913,0.3
-6048,2946,4932,721,1331,182,-4456,-8024,1948,-185,432,4910,-1288,-788,7322,119,162,339,5.08,415,2112,0.3
-6152,3150,4984,1326,1285,246,-4906,-6886,1568,59,737,4926,-1312,-810,7402,136,160,326,5.07,420,2132,0.3
-6396,2898,5578,2329,1018,338,-5690,-6950,1266,495,700,4727,-1476,-940,7298,151,169,255,5.08,376,1913,0.4
-6494,2984,5740,2953,762,357,-5866,-6808,1278,872,830,4647,-1364,-830,7290,136,176,205,5.07,420,2132,0.4
-6334,3386,5668,3576,400,184,-6336,-6642,1204,1638,1296,4495,-1306,-854,7474,116,174,135,5.08,381,1938,0.5
-6252,3972,5480,3372,265,-2,-6406,-5974,1484,1692,1703,4440,-1278,-880,7336,117,185,121,5.07,425,2157,0.5
