AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6970,6876,-3490,7913,-93,-311,-5758,-11012,-5634,9369,4764,-5346,90,-4968,7066,211,1711,-7734,5.08,386,1963,0.0
-7592,6710,-3870,9649,1095,11,-6036,-11614,-6406,9854,5649,-6029,-566,-6510,6750,322,1914,-8713,5.07,386,1959,0.1
-8026,7306,-4544,10795,1060,262,-6050,-11598,-7440,9833,6089,-6583,-802,-7122,6702,359,2083,-9375,5.07,435,2207,0.1
-8808,7760,-5810,12815,-663,1258,-5984,-11876,-8528,9868,7039,-7181,-1870,-7858,6308,461,2407,-10421,5.08,381,1938,0.1
-8452,7882,-6080,13751,-1816,2095,-6104,-12758,-9126,10270,7377,-7534,-2198,-8412,6198,558,2516,-11109,5.08,469,2385,0.2
-8476,7846,-5814,14754,-2517,2558,-6530,-12708,-9284,10758,7781,-7883,-2920,-8210,5992,677,2685,-11788,5.07,440,2232,0.2
-9156,7280,-5650,15513,-3259,2376,-7054,-12674,-9520,11024,8229,-8069,-3496,-8290,5854,810,2815,-12473,5.07,430,2182,0.2
-8362,6550,-5320,16085,-3170,2963,-7410,-12096,-9740,11076,8291,-8266,-4624,-8380,6166,1026,2982,-13571,5.08,386,1963,0.3
-7988,6204,-5372,16323,-3816,3260,-7850,-11898,-9646,11031,7896,-8239,-5206,-8816,6308,1079,2987,-14178,5.07,435,2207,0.3
-7632,6216,-5468,16476,-4604,3285,-8068,-11016,-9258,10500,7446,-8133,-5872,-9000,6808,1078,2813,-14744,5.07,440,2232,0.4
-6692,6190,-4946,16432,-6022,3342,-8098,-10340,-8660,9545,7235,-7562,-8312,-8828,5972,1050,2840,-15529,5.08,391,1988,0.4
-5348,6728,-4094,16131,-6339,3235,-8052,-9976,-8170,9286,7418,-7081,-8922,-8256,5310,1026,3179,-15779,5.08,435,2211,0.4
-5098,6262,-3386,15618,-5527,3485,-8752,-9508,-7462,8940,7834,-6879,-8440,-7934,6110,968,3089,-16121,5.07,445,2256,0.5
-3324,6362,-1578,14995,-6671,3091,-9102,-9456,-6880,8880,8013,-6710,-9566,-7738,5124,970,3375,-16214,5.07,445,2256,0.5
-4616,6598,-1532,14459,-8930,2978,-9756,-8678,-5674,9195,8425,-5852,-12250,-6362,6088,886,3912,-15503,5.08,386,1963,0.5
-6424,7370,-1590,13658,-10140,2530,-10250,-8546,-5024,9064,8281,-4931,-12500,-4414,7546,747,3579,-14477,5.08,450,2286,0.6
-7274,8270,-1970,12540,-12631,1879,-10306,-7832,-4262,8976,7982,-4526,-13026,-2204,6318,526,2862,-12995,5.07,601,3050,0.6
-5348,9616,-2640,10793,-15263,890,-10204,-6750,-3848,7983,6652,-4143,-12422,-84,5828,32,1834,-10487,5.08,547,2783,0.7
-4874,10248,-2342,9055,-15950,-794,-9534,-5798,-3634,7224,6203,-3804,-10624,336,5566,-340,1368,-9483,5.08,630,3205,0.7
-4178,9146,-1678,8479,-15622,-1963,-8594,-5640,-3628,6444,5574,-3123,-8812,-70,4188,-673,1388,-8867,5.07,601,3050,0.8
-3348,7682,378,8636,-11384,-2908,-7818,-5044,-2928,4862,3806,-3176,-6886,416,4336,-1099,1775,-8725,5.08,503,2559,0.8
-2870,6084,2024,8116,-8987,-586,-7148,-5100,-2378,3961,2706,-3186,-7084,364,4108,-1194,2313,-8928,5.07,587,2976,0.9
-4826,8616,1940,8099,-5977,-568,-5890,-5076,-1696,3054,2659,-3181,-6716,738,6096,-1291,2228,-9182,5.07,582,2951,0.9
-5728,7804,2224,6695,-6850,532,-5870,-5328,-940,2015,2665,-3642,-3836,202,8262,-1295,1996,-9793,5.08,464,2360,1.0
-5490,8036,1880,6051,-7369,679,-4282,-5930,-858,1710,2521,-3545,-980,-618,11602,-1189,1781,-10561,5.08,503,2559,1.0
-5766,8032,1550,5566,-7269,587,-4564,-6014,-730,1770,3062,-3680,5830,-1176,14018,-795,984,-12254,5.07,469,2380,1.1
