AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,411,2091,0.0
6494,2370,3958,-2060,1629,2311,8406,1518,1468,-2465,-887,785,680,-2598,6254,-53,608,-751,5.08,474,2410,0.1
6920,2134,754,-1962,682,1742,9476,1736,2754,-2432,-1066,-194,556,-1068,7254,-80,550,-488,5.08,479,2435,0.1
5494,-292,-1272,-719,2196,1568,7834,2154,5166,-3640,-408,315,152,-466,6956,15,559,-350,5.08,484,2460,0.1
4818,-986,-3036,2184,3451,2228,5686,-816,8812,-3304,940,299,350,-600,6462,1,599,-370,5.08,489,2484,0.2
3640,-744,-1728,2952,3616,190,3760,-240,10712,-2523,1268,-71,788,-572,6298,-28,665,-322,5.07,494,2504,0.2
1472,280,-52,3281,3950,-990,4822,-598,8816,-2415,632,-389,2376,-432,7256,16,445,-144,5.08,484,2460,0.3
1386,1338,1414,1359,3285,-1208,5730,104,7344,-2198,1194,53,4372,-310,9364,144,-25,-83,5.08,479,2435,0.3
-338,1268,2452,883,4205,-882,5566,-1458,6842,-1098,2172,1245,4670,-988,11772,250,-797,-19,5.07,484,2455,0.4
-1222,1248,2218,206,4995,-849,2322,598,10376,-1148,1916,1498,3810,-220,11384,159,-1228,-75,5.07,489,2480,0.4
-1590,1500,1372,-1509,6774,-372,2280,-884,12602,-2372,2306,1110,2436,1328,8870,31,-1498,-266,5.08,469,2385,0.4
-2078,-770,1132,-2578,7027,596,1662,-52,14184,-3397,2221,666,1310,2380,6424,202,-1308,-53,5.08,469,2385,0.5
-2518,-2058,2248,-1887,5760,235,1472,346,15228,-3047,2506,488,558,1934,5900,406,-1198,239,5.08,484,2460,0.5
-2164,-3884,4990,-432,2594,-419,666,512,15090,-3351,2468,986,-984,840,5856,364,-1061,548,5.08,469,2385,0.6
-362,-4384,6120,932,1889,-1511,2520,-2614,12998,-2463,2961,1167,-1494,358,6430,176,-842,1021,5.08,479,2435,0.6
200,-3578,5564,1468,805,-2789,590,-1422,13810,-2399,3147,986,-1392,-100,7296,-83,-566,1277,5.08,474,2410,0.7
1678,-2060,3618,1327,-461,-3713,4004,-1494,13636,-3275,3145,996,392,-754,7470,-493,-407,733,5.08,479,2435,0.7
1306,-1146,2618,2557,274,-4035,5094,-376,12974,-3647,3288,1063,1774,-400,8304,-777,-357,-203,5.08,474,2410,0.7
1726,-808,2318,3793,-266,-4582,5028,80,13012,-3516,3248,942,1490,784,8018,-697,-77,-754,5.08,474,2410,0.8
2766,2856,1532,5776,-2514,-4965,4746,1986,13586,-5388,3219,724,1010,1672,7938,-289,-29,-711,5.08,469,2385,0.8
5512,8256,920,5365,-2744,-3659,5124,-244,12710,-6478,2726,790,422,1508,7014,20,-74,-469,5.08,469,2385,0.9
9010,4936,2890,2960,-1705,-3881,5348,-642,14696,-6515,2482,1095,754,1040,6034,154,-38,-205,5.08,469,2385,0.9
11270,4094,3776,1682,-1056,-3558,6336,-2122,14822,-4890,2256,1220,1024,348,5844,175,45,-11,5.07,469,2380,0.9
12566,3014,3850,2291,-686,-3005,7662,-2714,14058,-3840,1910,1494,1306,-50,5856,56,111,120,5.07,474,2405,1.0
13288,3660,2976,2624,-1372,-2808,9034,-3726,11108,-2778,1274,2052,696,-36,5584,-60,354,302,5.07,474,2405,1.0
13458,6382,6018,1009,-2416,-1530,9702,-3992,8296,-1697,1095,2415,490,74,6890,-201,416,414,5.07,469,2380,1.1
12264,1214,13468,-567,-787,1591,9252,-4292,6290,-898,1504,2608,1134,16,6912,-352,642,321,5.07,474,2405,1.1
10970,-5908,16548,1609,324,2466,9976,-5658,6816,259,1613,2229,1798,46,7652,-474,792,-144,5.07,469,2380,1.2
9514,-2192,14130,5091,-2288,2547,7928,-4270,5552,259,2856,2828,1558,616,7938,-435,845,-476,5.07,474,2405,1.2
11814,668,10494,5828,-2654,3298,3960,-2702,3776,-1319,3064,3397,658,438,7548,-289,905,-212,5.07,474,2405,1.2
11120,4198,11386,4561,-2247,3934,2462,-6386,3690,-2256,2195,2406,-66,-168,6588,-352,907,-7,5.08,464,2360,1.3
9318,1122,14158,3416,-1428,4376,2106,-9502,4592,-668,1569,1555,456,-272,7048,-541,885,150,5.07,469,2380,1.3
6886,178,13698,3618,-3321,3869,394,-6516,4456,885,356,86,3662,474,8904,-553,559,25,5.08,479,2435,1.4
4270,2390,12718,5390,-3855,4641,-1532,-6788,6104,1931,573,1344,7032,1106,11584,-322,-425,-262,5.07,474,2405,1.4
7852,5466,9808,701,-1380,2572,-4292,-5858,6032,2065,-852,490,4780,-814,9268,-318,-1077,-340,5.07,474,2405,1.4
4302,2996,10346,563,-3517,2457,-4028,-4924,5796,3001,-2500,-256,3070,-1536,7856,-382,-1023,-30,5.07,469,2380,1.5
3564,2424,11722,171,-3909,2395,-2264,-3228,5192,3826,-3613,-858,1936,-1698,8130,-352,-718,581,5.07,469,2380,1.5
6972,4508,9790,-1867,-3349,1653,-2082,-2524,5042,3670,-4219,-1894,626,-2316,8384,-410,-597,983,5.08,479,2435,1.6
5568,872,6950,-1838,-4604,1399,-2480,-1918,4826,2854,-5308,-2419,-428,-852,7938,-532,-633,315,5.07,479,2430,1.6
4272,2350,8096,-880,-2134,2871,-1782,-2976,3502,3461,-6143,-3040,-946,-604,6700,-392,-343,-226,5.07,469,2380,1.7
5264,4220,7540,-1482,-1418,3328,-834,-2058,2650,4587,-6718,-3267,-1472,-502,5830,44,511,-197,5.07,479,2430,1.7
5894,2044,7752,-3798,-124,2811,-98,-934,2466,4855,-7015,-3481,-1680,-736,6224,457,1131,-37,5.07,464,2356,1.7
4942,-176,9002,-5133,528,1698,1338,910,2682,3698,-6602,-3570,-502,-626,7790,681,994,151,5.07,459,2331,1.8
4070,-696,9956,-5568,-408,337,1460,166,2378,2627,-6788,-3373,552,-1004,7594,651,597,523,5.07,464,2356,1.8
6644,-492,8398,-5507,-1578,-539,2124,-1862,816,2764,-6694,-3081,538,-1608,6624,427,359,911,5.07,464,2356,1.9
9184,406,6488,-5448,-2657,-580,3510,-1474,168,3889,-6197,-2633,982,-1616,6218,175,302,816,5.07,464,2356,1.9
11052,2272,5502,-4107,542,5136,5204,1004,248,4289,-5198,-2035,1012,-1322,6534,62,269,464,5.07,435,2207,1.9
10158,156,4170,-4562,187,3326,6238,2336,66,3133,-4579,-1330,1242,-1354,7584,33,216,171,5.08,469,2385,2.0
9616,-108,3318,-4668,334,2354,6328,1064,-812,2602,-4904,-1105,1112,-1876,6838,39,247,-109,5.07,469,2380,2.0
9106,-668,504,-3245,873,1768,7480,422,-2334,1561,-4557,-935,284,-2240,7056,-23,440,-474,5.07,469,2380,2.1
8102,-1832,-1000,-631,48,-359,10052,-1120,-1124,2557,-2312,-898,30,-1924,7038,-98,538,-746,5.07,469,2380,2.1
7406,1708,-1652,-235,684,-1465,9900,1894,1558,3298,-535,-999,384,-224,7230,16,597,-540,5.07,484,2455,2.2
8066,2014,-1112,-1246,1419,1180,8084,3986,4006,1039,-198,-637,330,420,7386,331,528,-77,5.07,474,2405,2.2
6436,114,-616,40,2612,1675,8072,2648,4226,-343,-750,-544,154,10,6896,560,498,25,5.08,474,2410,2.2
4262,-682,-1948,1021,1963,-69,6964,2288,5176,-1091,-427,328,342,-558,6412,573,578,-294,5.07,489,2480,2.3
4802,1684,-1354,2132,3805,852,6734,1208,7102,-631,963,730,684,-1244,6144,478,570,-372,5.08,489,2484,2.3
3808,1538,-842,241,3426,16,5878,-738,7380,-657,1007,569,962,-1742,5512,345,712,-183,5.08,489,2484,2.4
3092,1526,500,-1151,3748,-654,5660,-2092,7484,92,984,269,1668,-2036,6286,155,510,-164,5.08,489,2484,2.4
2568,40,500,-1747,4168,-939,5972,-1658,7638,903,1557,264,2714,-2620,7296,-61,221,-545,5.08,489,2484,2.5
-364,1128,-18,-250,4829,-908,5434,-968,8446,326,2380,655,4396,-2250,9160,-170,-250,-949,5.08,474,2410,2.5
-1926,2546,658,-2581,6736,-372,3044,-204,10814,-1337,2214,447,4698,-668,10966,-189,-864,-1291,5.07,474,2405,2.5
-2012,768,-206,-3980,8023,15,2970,-206,12574,-3271,1994,-337,3170,1658,9832,-58,-1461,-1326,5.07,464,2356,2.6
-3100,-548,658,-3159,7827,1178,3608,284,13040,-3582,2094,-805,1362,2546,8586,293,-1446,-914,5.07,469,2380,2.6
-636,-4164,1858,-1653,6141,1454,3636,1216,11710,-2684,2465,-795,-210,2856,7960,710,-1146,-262,5.08,474,2410,2.7
-726,-3416,4092,632,2922,-660,3636,2046,10644,-1634,3363,-428,-1094,2286,7304,958,-1105,438,5.08,479,2435,2.7
328,-1936,4856,2043,-97,-1351,4116,2734,11680,-2428,3931,-259,-1200,586,6558,892,-851,983,5.08,479,2435,2.8
5114,-5468,5860,3338,-435,579,4876,2060,11638,-4671,4155,-30,-1536,-534,7172,310,-598,998,5.05,670,3384,2.8
3682,-822,5346,893,1711,-1309,5848,1160,11918,-6534,4598,258,-370,-996,7426,-444,-105,500,5.08,474,2410,2.9
3742,-2658,5194,569,1355,-1837,5460,-1362,12080,-6350,5186,488,592,166,9030,-858,33,-134,5.08,474,2410,2.9
3302,-3728,4422,2440,1470,-2799,5248,-844,12166,-5110,5867,839,1756,916,8464,-825,-198,-638,5.08,474,2410,2.9
3750,-1984,3252,4251,-116,-4261,4082,1116,13974,-5077,6063,755,978,1552,7866,-523,-203,-749,5.08,474,2410,3.0
5894,454,2420,5854,-2531,-4743,4710,1558,14042,-7044,5861,681,248,1748,6914,-191,25,-633,5.08,474,2410,3.0
10744,2920,2418,5221,-4835,-3984,4926,-638,13188,-7540,4880,794,638,1258,6562,76,-96,-329,5.08,479,2435,3.1
13622,1192,3284,4058,-65,-3633,5144,-1848,12500,-6454,4862,1486,1178,-192,5804,128,1,-187,5.08,494,2509,3.1
10322,1526,5048,3486,1717,-3720,4818,-1776,13674,-5540,4755,1758,780,-416,6078,-27,143,-162,5.08,494,2509,3.2
8506,3780,6768,1341,1110,-2377,5506,-1656,14630,-5145,4192,2774,600,42,6452,-122,292,100,5.07,499,2529,3.2
7824,-656,9684,-141,-847,-420,6966,-4204,12794,-4672,2318,3275,1162,32,6660,-164,224,175,5.08,494,2509,3.2
11372,-2080,9280,-348,1431,1561,7044,-7288,10482,-1908,1609,3193,1556,-420,6352,-292,359,-99,5.07,474,2405,3.3
9834,-4230,11600,-350,1274,2848,5664,-6754,8998,1032,1487,3165,1092,-542,6656,-498,774,-666,5.07,484,2455,3.3
9208,-4804,10386,128,33,2236,4894,-4852,7890,2420,817,3194,522,-84,7114,-596,989,-948,5.07,464,2356,3.4
8146,-2848,9598,2734,39,1117,4956,-3278,7148,2238,235,3312,-46,452,7006,-493,1115,-635,5.07,459,2331,3.4
9114,186,9410,5544,-546,344,4954,-3148,6294,1314,96,2973,-958,768,6810,-459,1178,-282,5.07,455,2306,3.4
9780,4596,12800,5756,-2782,831,2968,-4804,4994,753,263,2885,1038,1994,9098,-338,989,247,5.07,455,2306,3.5
8260,5878,15750,3724,-3985,1455,2540,-5532,5262,1075,-416,2626,5514,3250,11348,-134,270,264,5.07,455,2306,3.5
7534,6142,12184,2493,-3540,1870,786,-6748,5214,1418,-119,2133,6846,1172,13282,42,-1152,379,5.07,469,2380,3.6
4992,4552,9442,3852,-4304,2893,-1612,-4416,5890,1145,-703,1960,3924,-1868,7858,-28,-1440,795,5.07,474,2405,3.6
7260,2724,8976,5379,-3264,2976,-2128,-4578,4472,179,-1986,830,2082,-2744,6778,-238,-1094,1432,5.07,474,2405,3.7
3772,3970,10046,4794,-5960,2436,-74,-5300,3756,-329,-2866,-419,1272,-2806,6680,-647,-1010,1268,5.07,464,2356,3.7
5466,3594,8414,1851,-3832,2802,-340,-6132,4142,-16,-2901,-1419,1212,-1886,7270,-877,-1181,466,5.07,464,2356,3.7
2122,4270,10106,404,-2981,3603,-1636,-6334,5246,260,-3576,-2786,686,-1370,7452,-615,-1061,134,5.07,474,2405,3.8
4036,4160,7876,-133,-2292,2991,-3096,-6494,5356,1224,-4389,-4218,-822,-1518,6686,-172,-475,66,5.07,464,2356,3.8
4492,3298,9376,-471,-2204,2516,-3128,-4866,5280,2599,-5277,-4698,-1162,-1950,6780,211,162,58,5.07,464,2356,3.9
4048,2450,10090,-2051,-2094,1932,-2950,-3420,5342,3050,-6035,-4915,-674,-1398,7356,309,526,56,5.07,474,2405,3.9
4638,1188,9322,-3285,-1716,1814,-2152,-2324,5440,3505,-6894,-4748,94,-144,7944,336,317,109,5.07,469,2380,3.9
5322,1234,9740,-4025,-542,1697,-1524,-1424,4234,3819,-7447,-4444,1344,-430,7156,383,120,419,5.07,479,2430,4.0
5980,-544,9214,-4558,-216,1883,532,442,2894,3466,-7967,-4041,1274,-1362,6200,345,136,639,5.07,464,2356,4.0
7212,-656,7940,-4876,99,2158,2158,182,1872,3317,-7572,-3802,876,-1618,6392,242,291,493,5.07,469,2380,4.1
8666,-364,5968,-4950,451,2313,3664,1224,578,3322,-6487,-3288,726,-920,7172,249,321,340,5.07,469,2380,4.1
8734,-86,5400,-5025,1274,2705,5066,1862,544,3249,-5422,-2694,684,-736,7394,327,220,247,5.07,464,2356,4.2
8748,-578,5282,-4372,1807,2703,6656,2534,428,2153,-4784,-2280,774,-1568,6894,280,232,-19,5.07,455,2306,4.2
8968,-2044,4584,-3934,1863,1978,8258,1450,-192,1362,-3801,-2180,518,-1786,6750,175,418,-234,5.07,469,2380,4.2
9494,-1556,3504,-2392,1629,1115,8600,1896,-378,986,-2263,-1654,748,-516,7250,190,473,-216,5.07,464,2356,4.3
9228,632,2360,-843,1370,412,8102,2118,-256,790,-820,-821,646,-246,7682,320,375,-67,5.08,479,2435,4.3
7924,2126,3218,-1491,1058,299,8000,472,-572,969,-238,-523,742,-502,6934,368,365,-169,5.08,469,2385,4.4
6616,1548,3682,-2939,790,370,6894,-928,2282,560,-108,-343,526,-1202,6662,293,372,-375,5.08,464,2360,4.4
6374,-588,-166,-3474,1690,555,9284,-1028,2284,2165,593,52,186,-1148,6668,215,579,-412,5.08,469,2385,4.4
6290,230,-2792,-787,3192,500,8758,642,5080,2397,2308,55,198,-532,6626,192,781,-235,5.08,474,2410,4.5
5374,1308,-1300,38,2808,288,7374,468,7620,2343,1660,-488,482,88,6820,282,835,192,5.07,464,2356,4.5
4754,-156,370,134,2726,39,5226,2742,7292,431,1775,-671,872,370,6372,419,760,441,5.08,479,2435,4.6
4104,-1048,1814,643,2434,-676,4120,1116,7480,-1910,1820,-755,1652,-700,6042,401,570,253,5.08,479,2435,4.6
3534,658,1180,2177,2465,-1532,4050,-1750,7940,-916,2121,51,2628,-2196,7924,259,372,-25,5.08,479,2435,4.7
2050,3762,1276,1166,2642,-1503,3274,-1572,8628,729,2590,740,4498,-2544,10152,32,55,-206,5.08,474,2410,4.7
1422,3920,1424,-805,3256,-531,3042,-1176,7984,463,2664,627,4848,-1616,11106,-110,-612,-223,5.08,469,2385,4.7
800,2444,1948,-2235,3666,59,2446,-914,8858,-269,3524,493,3808,256,9512,-153,-1123,-491,5.07,474,2405,4.8
934,176,2026,-2600,3960,297,1596,490,10024,-632,3692,436,1576,1808,8004,-21,-1195,-680,5.07,484,2455,4.8
1032,-1320,1728,-1865,5108,393,1468,328,11626,-930,3737,301,800,2106,6724,284,-1301,-487,5.08,469,2385,4.9
-232,-1388,1108,-1622,4988,827,2162,220,11804,-1369,3767,114,-76,1410,4488,460,-1181,6,5.08,474,2410,4.9
-1582,-504,578,-812,4906,832,3192,256,11390,-1628,3418,-253,-554,206,4912,398,-841,379,5.08,469,2385,5.0
-1544,-2340,3942,-981,3022,-326,2918,1006,11382,-1646,3746,370,-1406,-160,5488,128,-459,667,5.08,484,2460,5.0
1106,-3794,4590,-229,1927,-774,2084,1856,12940,-1891,4293,780,-1296,-236,6902,-157,-215,782,5.08,474,2410,5.0
866,-3138,4664,-105,639,-1903,1906,238,14084,-2337,4131,700,-420,132,7946,-361,-111,391,5.08,464,2360,5.1
1254,-3670,4958,1366,-373,-3066,1686,-110,14086,-2914,3727,591,1320,532,8308,-383,-132,-163,5.08,479,2435,5.1
2632,-700,4410,2067,-1012,-3357,2018,-416,13172,-2450,3667,502,2276,958,8788,-285,-38,-529,5.08,474,2410,5.2
3470,736,4190,2301,-1713,-3115,2542,712,12452,-2107,3950,343,1406,1588,9046,-57,41,-451,5.08,464,2360,5.2
