AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5896,5044,-2062,-67,-37,80,-7766,-2182,-478,-32,-14,-12,588,278,7358,1,-3,-74,5.07,860,4364,0.0
-5944,5038,-2014,-63,-31,79,-7684,-2206,-558,-58,-27,-25,616,344,7518,-2,-2,-74,5.07,982,4984,0.1
-5952,5010,-2034,-20,-26,120,-7680,-2248,-442,-75,-13,-23,678,318,7470,3,-3,-52,5.07,992,5034,0.2
-5952,5138,-1898,25,-7,158,-7738,-2254,-456,-91,-17,-16,634,314,7420,-8,-1,-48,5.07,987,5009,0.3
-5944,5138,-1988,24,-51,166,-7766,-2226,-558,-114,-36,-17,586,324,7434,-9,5,-37,5.06,992,5024,0.4
-5934,5182,-1984,-7,-59,135,-7756,-2210,-508,-125,-53,-4,568,338,7460,-13,3,-23,5.06,1012,5123,0.5
-5878,5148,-1994,-39,-10,85,-7720,-2258,-422,-148,-64,-4,584,376,7416,-10,-5,-6,5.06,1012,5123,0.6
-5900,5130,-2134,-75,-4,67,-7702,-2298,-498,-150,-66,-4,630,394,7500,-14,-24,-5,5.07,978,4959,0.6
-5866,5130,-2014,-87,50,56,-7674,-2268,-430,-131,-57,-13,674,292,7444,-13,-22,1,5.07,982,4984,0.7
-5924,5098,-2022,-99,104,49,-7718,-2278,-540,-115,-47,-11,598,228,7428,-15,-17,9,5.07,982,4984,0.8
-5888,5224,-1868,-109,126,43,-7720,-2282,-490,-110,-29,-26,624,314,7364,-17,-14,5,5.07,987,5009,0.9
-5950,5114,-1996,-122,122,16,-7732,-2294,-418,-138,-23,-34,580,332,7448,-13,-13,12,5.07,982,4984,1.0
-5968,5072,-2018,-134,96,6,-7772,-2226,-446,-156,-45,-36,630,324,7362,-10,-10,25,5.07,997,5058,1.1
-5952,5050,-2008,-111,53,33,-7658,-2206,-516,-159,-61,-22,598,320,7442,-14,-12,37,5.07,997,5058,1.2
-5994,5094,-1946,-73,30,76,-7772,-2244,-498,-151,-70,-31,604,306,7458,-21,-7,37,5.07,987,5009,1.3
-5984,5026,-1960,-61,26,99,-7720,-2240,-512,-131,-61,-12,662,344,7404,-20,8,29,5.07,1007,5108,1.3
-5966,5054,-1984,-27,26,149,-7732,-2206,-494,-128,-64,-12,614,326,7494,-21,16,22,5.07,1002,5083,1.4
-5892,5122,-2026,-21,9,147,-7708,-2226,-480,-178,-60,-25,558,314,7482,-22,15,25,5.07,997,5058,1.5
-5946,5138,-2004,-26,23,161,-7766,-2332,-442,-201,-68,-29,538,350,7478,-26,21,24,5.07,1002,5083,1.6
-5950,5172,-1958,-33,20,142,-7684,-2310,-504,-201,-81,-46,626,322,7380,-28,27,51,5.07,1031,5232,1.7
-5918,5126,-2002,-62,60,103,-7698,-2312,-524,-183,-74,-49,670,316,7444,-32,22,65,5.07,1022,5182,1.8
-5972,5106,-2046,-131,129,35,-7722,-2336,-552,-142,-66,-50,752,274,7414,-28,6,60,5.06,1036,5247,1.9
-5894,5088,-1962,-175,188,10,-7702,-2260,-488,-152,-63,-56,712,210,7334,-35,2,46,5.07,1017,5158,2.0
-5930,5024,-2036,-212,161,-2,-7664,-2286,-516,-195,-50,-67,684,218,7334,-41,12,28,5.07,997,5058,2.1
-5834,4914,-1960,-200,149,1,-7738,-2312,-408,-204,-65,-68,532,306,7362,-52,43,18,5.07,1002,5083,2.2
-5896,4954,-2142,-143,161,33,-7826,-2442,-346,-165,-89,-45,484,402,7366,-55,71,-15,5.07,1002,5083,2.2
-5902,5050,-2030,-58,133,100,-7848,-2378,-398,-108,-110,-36,482,362,7412,-71,84,43,5.07,997,5058,2.3
-5860,5036,-1982,-33,82,112,-7914,-2338,-476,-107,-123,-41,652,292,7304,-104,80,87,5.07,997,5058,2.4
-5744,5016,-1964,-54,136,109,-7916,-2324,-570,-93,-116,-59,732,184,7314,-151,77,37,5.07,1002,5083,2.5
-5596,4768,-1956,-43,239,86,-8014,-2342,-566,-26,-118,-57,728,10,7302,-211,58,-45,5.06,1031,5222,2.6
-5554,4828,-1868,23,208,161,-8214,-2384,-600,88,-143,-3,766,10,7304,-294,51,-109,5.07,1017,5158,2.7
-5538,4676,-1930,131,226,195,-8196,-2364,-344,185,-181,58,708,-68,7274,-405,43,-174,5.07,1026,5207,2.8
-5864,4950,-2170,311,192,382,-7852,-2412,-368,242,-236,101,536,38,7384,-500,49,-248,5.07,1002,5083,2.9
-6384,5092,-2344,506,93,521,-7366,-2428,-218,303,-266,139,426,366,7736,-472,56,-240,5.07,1007,5108,3.0
-6762,5768,-2322,440,157,496,-7172,-2354,-330,301,-285,154,422,504,7676,-355,75,-165,5.07,997,5058,3.0
-6696,5644,-2262,250,153,344,-6994,-2256,-318,238,-238,124,706,404,7896,-212,79,-80,5.07,1012,5133,3.1
-6820,5400,-2452,47,-15,271,-6844,-2092,-458,34,-194,39,600,288,7738,-113,36,97,5.07,1002,5083,3.2
-6478,5196,-2310,75,-234,405,-6910,-2102,-418,-120,-133,-39,342,384,7624,-24,-1,290,5.06,1002,5073,3.3
-6152,5256,-2006,127,-436,470,-7230,-2140,-444,-164,-52,-100,402,402,7480,77,-48,408,5.07,992,5034,3.4
-5738,5274,-1702,38,-344,286,-7520,-2116,-606,-150,22,-127,680,138,7228,148,-34,365,5.07,987,5009,3.5
-5512,5270,-1796,-184,-160,43,-7878,-2106,-586,-146,68,-128,856,-54,7248,164,30,247,5.07,987,5009,3.6
-5424,5206,-1848,-238,-20,-56,-8170,-2104,-436,-201,70,-141,756,-194,7324,142,86,126,5.07,1002,5083,3.7
-5392,5358,-1950,-353,155,-221,-8230,-2082,-322,-292,25,-156,622,-8,7468,96,88,52,5.07,1007,5108,3.8
-5414,5096,-2202,-439,190,-252,-8132,-2056,-164,-322,-17,-161,610,50,7426,66,66,-9,5.07,987,5009,3.8
-5722,5130,-2388,-419,185,-246,-8016,-2156,-46,-279,-43,-134,610,80,7364,24,48,-32,5.07,1002,5083,3.9
-5660,5088,-2408,-296,139,-147,-7920,-2116,72,-178,-59,-94,608,84,7314,-13,66,-63,5.07,1012,5133,4.0
-5792,5092,-2404,-215,94,-97,-7924,-2182,62,-131,-71,-63,656,208,7358,-43,80,-2,5.07,992,5034,4.1
-5850,5074,-2528,-121,79,-4,-7694,-2180,-74,-136,-88,-54,626,306,7480,-55,76,57,5.07,992,5034,4.2
-5916,5186,-2522,-88,148,84,-7566,-2096,-220,-183,-90,-59,502,164,7502,-48,43,91,5.07,992,5034,4.3
-6046,5170,-2286,-194,207,118,-7566,-2236,-436,-218,-109,-55,508,120,7492,-39,14,87,5.07,1007,5108,4.4
-6094,5128,-2156,-326,330,113,-7560,-2286,-588,-197,-116,-17,616,112,7432,-35,4,97,5.07,997,5058,4.5
-6140,5008,-1956,-365,345,124,-7674,-2354,-622,-167,-135,15,618,72,7472,-43,13,102,5.07,1007,5108,4.6
-6196,4944,-1862,-299,245,150,-7668,-2296,-560,-241,-135,31,626,148,7434,-51,6,119,5.07,1002,5083,4.6
-6096,4866,-1804,-184,107,159,-7684,-2324,-574,-351,-123,7,562,132,7386,-44,-9,128,5.07,992,5034,4.7
