AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,850,4323,0.0
-5890,4446,-5020,7851,-6177,5581,-7030,-4284,-3916,7706,5204,2725,-3784,-230,7414,-1977,-671,-8224,5.07,982,4984,0.1
-5722,4832,-5230,8202,-6896,3303,-7138,-4560,-4194,8852,4787,2381,-3812,200,7810,-2258,-382,-7820,5.07,987,5009,0.2
-5276,5728,-5142,8032,-6974,3205,-7128,-4656,-4504,9870,4178,2881,-2824,810,8724,-2303,-319,-7845,5.07,1007,5108,0.3
-4682,6084,-5118,7262,-6665,2797,-7670,-3876,-3820,10135,3560,2986,-2056,662,8808,-2238,-252,-8117,5.07,997,5058,0.4
-4666,5818,-5188,6387,-6057,2068,-7696,-3670,-3662,9606,2919,2637,-2302,-270,8692,-2215,-55,-8407,5.07,982,4984,0.5
-4578,5358,-5296,5963,-5738,1656,-6962,-2980,-3986,8687,2771,2263,-2104,-810,8338,-2247,206,-8551,5.07,982,4984,0.6
-4384,5794,-4844,5786,-5981,1567,-6626,-3430,-4558,7794,2794,2264,-2178,-518,8420,-2257,291,-8675,5.07,982,4984,0.6
-4516,6122,-4354,5249,-6321,1240,-6400,-3818,-4412,7725,2671,2295,-2450,-264,8142,-2249,199,-8718,5.07,982,4984,0.7
-4382,5556,-3964,5117,-6712,868,-6430,-3562,-3778,8202,2561,2332,-2846,-56,7738,-2253,146,-8759,5.07,978,4959,0.8
-4676,4466,-4364,6110,-7250,939,-6570,-3172,-3232,8275,2163,2195,-2668,-32,7510,-2255,199,-8782,5.07,973,4934,0.9
-4886,5188,-4146,7310,-8028,1643,-6226,-3070,-3370,7960,2104,1880,-2376,34,7568,-2242,279,-8781,5.07,973,4934,1.0
-4732,4932,-5350,8502,-8652,2183,-6284,-3354,-3828,7620,2335,1621,-2548,126,7606,-2207,415,-8830,5.07,973,4934,1.1
