AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
3586,24932,-1782,-945,-5349,-1161,-1488,-21426,3768,5263,1788,332,-400,-4,7856,-402,377,-164,5.07,1022,5182,0.0
6578,22564,422,2144,2227,4550,-1956,-20322,5576,3242,-828,-2837,-1516,448,7234,-443,825,318,5.07,1183,6001,0.1
7714,25230,334,443,2066,5702,-1632,-20584,6316,2064,-2779,-5817,824,618,9002,-409,938,162,5.06,1202,6088,0.2
7666,23218,-506,-1543,447,7684,-36,-20846,5256,2315,-2946,-7560,1492,1000,9700,-264,925,-410,5.06,1197,6063,0.4
6822,19708,-1652,-3338,790,9039,566,-18616,4136,3389,-2537,-7897,2708,1014,10480,-64,1002,-544,5.07,1178,5976,0.5
5378,15242,-2238,-4502,286,10090,1446,-15888,56,4648,-4200,-9192,2850,1748,11786,114,793,-115,5.07,1173,5951,0.6
3750,10914,-2402,-5478,391,10283,1826,-10558,-2710,5262,-4527,-9864,2480,3352,12020,348,514,788,5.07,1193,6050,0.7
2692,8302,-2234,-8054,2925,7293,1828,-6186,-4138,4824,-3878,-10440,2652,3528,11016,613,-109,1419,5.07,1183,6001,0.8
210,2426,-2654,-7134,3939,9141,648,-2712,-5326,3684,-2697,-10286,600,792,8150,622,-286,1905,5.07,1173,5951,0.9
-402,-1202,-2336,-4980,3571,9148,-1496,-2156,-3894,2694,-2073,-10983,1450,-670,5674,234,-466,1648,5.07,1178,5976,1.0
-1846,-3702,-2712,-2810,-2308,9266,-1504,-1528,-4346,3678,-1846,-11643,1152,-1444,4340,-282,-598,1191,5.07,1193,6050,1.1
814,-5514,-4218,-2878,-1453,6869,84,3312,-4108,4590,-885,-10140,702,-892,3920,-687,-756,913,5.07,1188,6025,1.2
2184,-3450,-2162,-4610,4084,5038,2288,6494,-5884,3485,-31,-9055,510,-480,3150,-841,-800,963,5.07,1188,6025,1.3
2562,-1578,-1738,-4907,8351,4059,3164,4148,-5044,2963,333,-8448,82,-192,4054,-726,-393,941,5.07,1168,5926,1.4
420,-3288,-3472,-4607,6398,4467,2858,4224,-4482,4628,566,-6733,182,358,6400,-406,-36,821,5.07,1173,5951,1.5
1832,-4770,-5432,-5393,4549,3288,2048,7436,-3558,5215,354,-4748,866,-464,8320,-150,-80,297,5.07,1212,6149,1.6
942,-5458,-5726,-5043,3542,141,3538,12624,-3436,3447,56,-2840,430,-1362,7960,-113,-416,-303,5.07,1168,5926,1.7
1778,-6158,-4942,-3258,1891,-1269,4822,12706,-3282,-211,493,-950,402,-2052,6708,-175,-512,-470,5.07,1173,5951,1.8
1988,-5638,-3740,-59,1301,-1485,3894,9802,-1916,-3511,1357,269,812,-1622,6422,-175,-471,-399,5.07,1183,6001,1.9
1816,-4610,-3556,2761,-482,-1959,2012,9396,-36,-5492,1438,1936,732,-538,6204,-5,-474,-247,5.07,1193,6050,2.0
2692,-4778,-3766,5297,-644,-3002,2212,9756,-8,-7698,945,3865,668,-254,5342,117,-333,-295,5.06,1188,6014,2.1
2730,-4002,-4050,7355,-751,-4531,1934,8080,-418,-9664,297,5387,182,-316,4736,108,-198,-438,5.07,1207,6125,2.2
1946,-2174,-3438,8622,-1460,-6401,894,5418,-932,-10856,-163,7238,-512,-712,4576,24,-84,-413,5.07,1217,6174,2.3
1618,-118,-2562,8957,-2181,-8179,-222,3958,-1214,-11537,-1201,8424,-632,-1170,4536,-134,121,-409,5.06,1207,6113,2.5
1206,670,-2216,9170,-3560,-9388,-1012,3478,-1530,-12752,-3046,9562,-370,-1216,5420,-328,377,-524,5.06,1207,6113,2.6
956,1470,-2444,9920,-4261,-10961,-1760,1116,-4366,-14133,-4274,10589,444,-1204,6716,-440,473,-840,5.07,1188,6025,2.7
14,3838,-3204,10181,-3290,-11754,-3522,-6456,-5044,-13732,-4500,11522,-670,-818,6960,-463,720,-1124,5.07,1202,6100,2.8
-1670,9812,-2274,11133,-1134,-11337,-4810,-17982,-4216,-9699,-5701,11607,-1032,-424,7350,-384,1361,-1141,5.06,1193,6039,2.9
-2952,17848,1718,9814,-879,-8606,-1298,-24408,-5876,-3187,-5752,12410,520,-184,9072,-329,1713,-1321,5.07,1178,5976,3.0
166,25900,-3664,4155,-1787,-8599,1894,-32326,-10036,2479,-2526,12516,1098,988,11286,-208,1801,-1712,5.07,1178,5976,3.1
3098,32767,-6838,-844,-1039,-8247,-66,-32768,-10248,4907,1002,10659,1344,3326,14892,266,1564,-1612,5.07,1173,5951,3.2
-304,32767,-6822,-797,1683,-5682,3928,-32768,-9778,3681,306,5018,3798,5026,18242,668,403,-914,5.07,1202,6100,3.3
1996,32767,-2696,2637,425,304,5346,-32768,-4714,1803,1691,-274,2200,3584,13870,526,-1276,570,5.07,1222,6199,3.4
7046,32767,1100,1245,-2420,5104,4964,-32768,-94,3059,-301,-5163,-390,706,8676,97,-1248,1299,5.07,1207,6125,3.5
11258,27280,-956,-2165,-4546,7124,5002,-26142,-964,6067,-179,-8466,-2266,-2412,7808,-406,-790,1383,5.06,1212,6138,3.6
574,18710,188,-2130,-8190,6458,3058,-17174,-1810,7882,-264,-9779,82,-1496,8190,-795,-132,607,5.06,1310,6633,3.7
13402,11084,-5710,25,4659,16359,2728,-8886,-4210,8185,-681,-10618,-214,-1478,9842,-868,77,-67,5.07,1188,6025,3.8
5918,15024,-4306,-5179,502,8797,1930,-2258,-4892,6778,-634,-10716,-62,-870,9450,-775,-21,-154,5.07,1202,6100,4.0
654,5508,-3890,-6161,3686,10557,1006,922,-5292,4427,220,-11086,288,-284,8262,-573,67,-87,5.07,1197,6075,4.1
-308,1320,-3008,-4498,1131,12418,198,1040,-4034,3639,1791,-11253,-216,110,7320,-360,227,-156,5.07,1193,6050,4.2
-354,4616,-2102,-6876,3454,9535,-942,-1210,-2844,5748,2327,-11527,78,758,6578,-98,148,-36,5.07,1193,6050,4.3
-968,1192,-2800,-9731,3901,8952,-3346,-990,-1564,9440,2042,-10736,876,208,4556,67,-44,91,5.07,1193,6050,4.4
-3648,-972,-3042,-9968,6565,9907,-4354,2018,-1628,11807,1138,-10226,1006,-366,3042,73,-89,70,5.07,1197,6075,4.5
-706,-796,-4280,-11678,13785,4039,-2294,9264,-2806,10384,1138,-9268,1290,-902,2286,-27,-184,94,5.07,1197,6075,4.6
-2628,-5098,-5714,-10278,5520,6665,310,13758,-5462,6473,1633,-8264,182,-436,2736,-41,-132,359,5.07,1193,6050,4.7
-1316,-4306,-6714,-8818,4066,5909,1724,14488,-5542,2251,1601,-6869,-478,180,3700,101,-32,755,5.07,1188,6025,4.8
-1266,-6572,-6392,-5552,1889,5746,1418,12220,-3918,-419,1604,-4301,572,378,4956,300,-131,785,5.07,1202,6100,4.9
1524,-7184,-5946,-3672,1455,2980,80,12574,-2242,-1963,1202,-820,600,-250,5778,461,-160,619,5.07,1212,6149,5.0
2004,-7256,-5092,-1364,3585,983,-944,10558,-730,-3626,-30,2408,508,-1102,6068,364,-310,139,5.07,1188,6025,5.1
244,-6038,-4598,1053,2912,-713,-722,8916,-436,-4689,-769,5079,188,-1312,5932,230,-237,-454,5.07,1193,6050,5.2
396,-4908,-2736,1771,1504,-3614,-368,8270,-1662,-6369,-746,7073,382,-1498,6024,234,-115,-766,5.07,1197,6075,5.3
716,-5490,-2922,3123,893,-5646,-238,8352,-3428,-9082,-1111,8521,392,-1492,5498,268,24,-859,5.07,1197,6075,5.4
1168,-5876,-3548,5458,198,-7400,-496,9742,-5440,-13106,-956,10434,40,-1426,4524,207,290,-874,5.07,1197,6075,5.5
1454,-4684,-3540,7595,-399,-9349,-2848,5910,-8256,-17145,-1144,10871,292,-1456,4868,94,574,-917,5.07,1212,6149,5.6
536,-1992,-1818,8988,-881,-11409,-2510,1302,-11130,-18796,-1589,10688,-488,-1706,6096,-40,864,-956,5.07,1202,6100,5.8
-698,1414,754,9315,-1637,-13142,-810,-4016,-15312,-19415,-1980,11603,-1192,-1758,9294,-206,1138,-1092,5.07,1197,6075,5.9
-1564,2850,-322,10532,-3275,-14515,-3682,-21552,-9612,-15618,-2561,11159,-1062,746,12858,-298,924,-1339,5.07,1212,6149,6.0
-1394,9324,1902,16046,-4255,-12661,-544,-32768,-3252,-5650,-6106,11600,2282,5656,17092,119,367,-874,5.07,1232,6249,6.1
-2558,21022,646,17201,-2392,-9847,7798,-32768,-6744,3103,-5203,11733,5762,8404,16528,1015,-340,994,5.07,1246,6323,6.2
-2948,31930,-4316,16759,-330,-5294,6206,-32768,-7756,7508,-2232,11024,2564,1860,10526,796,-12,1403,5.07,1207,6125,6.3
7170,32767,-4042,8144,-4387,-2514,2150,-32768,-3338,5021,-281,5827,2060,-986,8502,2,-96,865,5.07,1207,6125,6.4
11638,32767,-6668,827,-3102,-804,1054,-32768,2448,1582,-758,-284,-1564,-1746,8226,-485,-679,469,5.07,1202,6100,6.5
13558,32767,-3534,-1562,-1855,3909,3538,-32768,3752,2572,-5057,-5794,-3100,-1656,8562,-730,-609,472,5.07,1212,6149,6.6
12178,28030,-2080,-4915,-34,7446,4382,-26428,942,5476,-2832,-8991,-3380,-1490,9064,-757,-441,356,5.06,1202,6088,6.7
7914,19466,-1378,-5988,177,10029,3084,-17720,-636,7415,-2751,-10332,-522,-932,9028,-573,-109,226,5.07,1212,6149,6.8
5252,11122,-2112,-4462,-833,13336,2772,-9912,-2772,8426,-2371,-10749,-358,-582,10808,-338,529,511,5.02,1510,7588,7.0
4120,11604,-3382,-5580,807,9555,1240,-3436,-4740,8551,-2122,-11030,3372,1294,9472,-109,277,-199,5.07,1202,6100,7.1
-3058,4920,-1228,-5722,6925,10901,-916,930,-4574,6567,-1837,-11275,1898,88,6670,-34,469,-603,5.07,1197,6075,7.2
-3722,-2448,-432,-4778,-3918,11833,-1986,1178,-5404,4767,-226,-12656,94,-368,8684,8,48,46,5.07,1197,6075,7.3
-1978,42,-702,-3190,-1917,10865,-2136,656,-5354,5104,2647,-13093,530,70,5622,-41,-199,277,5.07,1207,6125,7.4
-1272,382,-1354,-4452,1093,11672,-2214,3806,-5614,6240,5993,-10557,-58,188,3858,-2,-232,671,5.07,1197,6075,7.5
-2788,198,-3204,-7957,6213,9300,-2098,8588,-6248,7264,4757,-9404,-112,70,3126,-10,-302,930,5.07,1202,6100,7.6
666,-2712,-2350,-9811,13910,5647,-1220,10552,-5126,5319,2701,-8387,448,-28,2872,-38,-259,1010,5.07,1197,6075,7.7
-1976,-1254,-4082,-9846,6977,3976,-268,9542,-3760,3910,1098,-7343,352,-240,3248,-89,-419,1026,5.07,1207,6125,7.8
1182,-5244,-7242,-10072,5821,1138,-120,12060,-3358,1697,20,-4780,494,-486,3096,-124,-570,961,5.07,1212,6149,7.9
1438,-10176,-8132,-5921,4922,912,1298,13468,-3320,-1857,-1107,-2282,634,-734,3734,-129,-504,720,5.07,1197,6075,8.0
1520,-7616,-5124,-844,2595,692,1474,12260,-2852,-5078,-1978,1021,574,-932,4888,-105,-443,290,5.06,1188,6014,8.1
1042,-4228,-2544,1526,2604,-503,658,9878,-1948,-6482,-3582,4356,380,-974,4946,20,-211,-33,5.07,1183,6001,8.2
552,-4922,-3096,2145,182,-2787,-642,8184,-122,-7167,-4174,7094,380,-1220,5304,169,-72,-315,5.07,1197,6075,8.3
3398,-6310,-5218,4540,623,-4424,-872,7312,-684,-8051,-2969,8910,560,-1394,5352,251,-118,-574,5.07,1193,6050,8.5
3108,-4392,-5880,6757,441,-6322,-2308,8298,-2106,-10698,-899,12127,136,-1606,4742,253,67,-838,5.07,1197,6075,8.6
1808,-2430,-4466,8265,487,-8460,-3228,5956,-4776,-13793,-662,13170,-538,-1498,5516,209,625,-1025,5.07,1193,6050,8.7
-390,-1646,-2584,9226,207,-10839,-4806,478,-7334,-15855,-402,12686,-492,-184,7596,206,1209,-1014,5.07,1197,6075,8.8
-916,-180,-2100,11610,-1165,-12671,-3908,-12166,-7180,-15202,-2818,13026,1674,2294,12746,374,1175,-754,5.07,1202,6100,8.9
494,3788,-3536,15818,-3197,-14151,-1156,-29264,-3224,-7476,-5468,12838,2946,5314,19252,657,-149,462,5.07,1212,6149,9.0
-4284,14230,4716,18312,-4078,-12760,3954,-32768,-5052,4078,-3144,15800,3920,5046,15308,647,-601,1626,5.07,1197,6075,9.1
-2168,26856,-2692,17466,-2077,-8908,2904,-32768,-2578,9373,-2472,11874,2772,770,8984,268,68,1189,5.07,1207,6125,9.2
950,32767,-2636,12580,-3048,-6485,3302,-32768,-1736,8604,-1613,6352,2072,-2988,8234,-118,346,489,5.07,1212,6149,9.3
5454,32767,-2872,1555,-3711,-4624,1910,-32768,1666,4110,-1686,895,-1956,-2380,8682,-394,-29,-330,5.07,1212,6149,9.4
7954,32767,-4480,-1438,-2129,-454,2926,-31554,5382,1909,-5582,-4993,-3096,-1422,8952,-306,-125,-270,5.06,1197,6063,9.5
9656,31496,-1384,-2191,-1447,4525,4604,-24958,3336,1822,-4581,-9140,-2332,-1154,8760,-255,-460,217,5.07,1207,6125,9.6
8902,23906,-1828,-4489,-721,8176,3316,-17082,794,4830,-4111,-10071,-272,-282,8840,-353,-566,246,5.06,1241,6286,9.7
6464,16376,-2360,-5543,-1691,10393,2158,-8814,-1636,6688,-3471,-10663,1358,604,9032,-333,-224,30,5.06,1251,6336,9.8
4602,10688,-2996,-5335,-1285,12873,706,-2982,-3728,6854,-2994,-11171,-894,114,10662,-215,249,525,5.07,1232,6249,10.0
1656,11976,-4892,-9925,-2073,7301,-950,1304,-2974,5360,-2205,-11390,3992,1208,8780,-318,0,-466,5.06,1207,6113,10.1
-8468,-1282,-814,-4077,2132,17424,-1862,2310,-3358,4044,-701,-12222,-1358,196,7398,-310,87,159,5.07,1193,6050,10.2
1302,2406,-2574,-6312,1004,9980,-1982,412,-3726,4298,1778,-12814,1950,-654,6408,-474,-248,287,5.07,1217,6174,10.3
-2384,970,-1510,-6535,5456,9889,-2626,1664,-3468,6720,3449,-11008,268,-472,5032,-345,-275,484,5.07,1222,6199,10.4
-3242,-3198,-2316,-5069,-1647,11526,-2942,7540,-4536,8121,1987,-9586,278,110,3848,-193,-216,764,5.07,1217,6174,10.5
-1660,-2830,-3642,-4887,-2245,10587,450,13686,-6884,6034,73,-8231,182,354,3404,2,-132,801,5.06,1202,6088,10.6
1098,-2176,-4226,-7094,3487,8226,2732,11244,-6162,2645,-758,-7260,-52,-106,4044,148,28,1006,5.06,1197,6063,10.7
2084,-4476,-4712,-7875,13637,2074,2276,11928,-4154,1033,-929,-4441,846,-536,4922,146,-102,837,5.07,1188,6025,10.8
2356,-7176,-6304,-7261,8521,50,2260,14714,-3636,-1799,-1695,-1190,824,-1012,5054,122,-79,441,5.07,1178,5976,10.9
1966,-9770,-7418,-3867,4059,339,2648,11404,-3296,-4115,-2103,1600,24,-1102,5330,75,-184,-53,5.06,1188,6014,11.0
1998,-8276,-5168,1881,1532,-305,1814,9796,-2784,-4869,-1963,5321,-280,-1014,5224,141,-166,-138,5.07,1188,6025,11.1
2568,-5850,-3948,4773,1162,-2190,1182,9300,-2986,-6681,-1686,7889,12,-1124,5338,237,22,-175,5.07,1183,6001,11.2
2638,-5638,-4238,6318,2876,-4558,1258,9422,-3932,-9351,-775,9957,710,-968,5760,270,-20,-442,5.07,1197,6075,11.3
1348,-4778,-4170,7743,2586,-6811,186,7642,-4112,-12525,720,11671,-64,-984,5652,249,-79,-540,5.07,1197,6075,11.4
1606,-3650,-3222,9264,3123,-8574,-2990,5388,-6724,-16345,1931,12739,-666,-1402,5738,106,117,-648,5.07,1207,6125,11.6
-652,-1068,-1446,10407,2645,-10385,-6134,-270,-8952,-18349,2146,13481,-966,-1288,5716,-123,736,-699,5.07,1188,6025,11.7
-2250,294,-1836,12066,1234,-12157,-8034,-18190,-2946,-16872,-865,11439,-730,-596,7016,-277,1395,-635,5.07,1188,6025,11.8
-3088,9088,1942,16660,-1406,-11352,-4224,-32768,950,-5505,-6183,11541,238,244,9448,-284,1435,-585,5.07,1183,6001,11.9
-1312,21480,4130,15168,-4713,-8040,5698,-32768,-4090,8396,-2669,17167,2288,1410,13544,-68,1406,-1000,5.07,1212,6149,12.0
510,30698,1582,11137,-6366,-8463,-170,-32768,-268,10315,1613,12689,5952,3288,16948,354,920,-1448,5.07,1212,6149,12.1
4516,32767,-136,4079,-6083,-5513,2146,-32768,-928,4308,-4746,4834,4356,4896,16784,689,-233,-772,5.06,1183,5989,12.2
6892,32767,126,-871,-4779,-1855,2848,-32768,838,748,-3385,-1487,1046,1474,10850,719,-616,830,5.06,1144,5791,12.3
10782,32767,-390,-1627,-6127,3975,5134,-32750,3490,679,-3833,-6842,-610,-1002,7808,269,-986,1091,5.07,1188,6025,12.4
11946,27424,-1676,-4348,-5759,7437,4618,-25434,812,3735,-4167,-9669,-3182,-1912,8190,-287,-992,548,5.07,1183,6001,12.5
9340,18436,-3334,-5362,-3594,9655,2366,-15900,-1496,7235,-3421,-9793,-2558,-1844,8522,-472,-184,314,5.07,1183,6001,12.6
5478,12128,-3734,-5537,-2612,11573,1774,-8024,-4202,8220,-2458,-10451,628,-1542,10002,-516,-39,-132,5.07,1183,6001,12.7
3490,6836,-5266,-5524,-912,12276,1286,-668,-5484,7077,-2234,-11400,1532,-1248,10306,-472,-308,-334,5.06,1217,6162,12.8
-5554,6908,-910,-8044,-3195,7406,802,2576,-3162,3811,-1039,-11381,1094,1116,9692,-253,-255,-608,5.07,1202,6100,12.9
-4686,-1898,-204,-2279,71,14250,22,236,-3320,2288,1672,-12109,-1200,1152,8256,114,-38,-6,5.07,1202,6100,13.0
4434,1378,-3720,-4371,11675,11631,-1442,-1848,-2880,4583,2096,-12120,1870,628,5682,202,-391,-62,5.07,1207,6125,13.1
-2790,-870,-4606,-4391,4484,10640,-2986,1816,-3088,8591,1438,-10346,-14,-70,4100,271,-250,230,5.07,1197,6075,13.2
-3542,-3174,-2968,-3638,-6092,10301,-1420,10060,-4914,9355,525,-9580,630,678,3694,301,-306,569,5.07,1212,6149,13.4
1774,-1758,-4074,-6114,-2768,8612,2356,15622,-7098,5947,234,-8116,-282,220,2956,352,-66,1126,5.06,1212,6138,13.5
794,-2622,-5470,-9715,8002,5994,3332,15158,-7246,1498,785,-6386,146,-98,3676,250,-205,1453,5.06,1212,6138,13.6
476,-8940,-7676,-9607,16185,972,1142,14180,-4610,-1003,742,-3608,-366,-118,4404,158,-463,1692,5.06,1227,6212,13.7
1950,-9648,-6136,-5188,10675,-1165,1058,13430,-2210,-3555,2,-160,316,-592,4874,69,-419,1623,5.07,1237,6273,13.8
-988,-5954,-3984,-1435,7232,-1614,766,10280,-1596,-4496,-1016,3188,872,-778,5090,7,-310,925,5.07,1241,6298,13.9
-60,-5924,-2576,931,4337,-3627,822,8860,-2270,-5467,-1244,6441,1174,-836,5438,60,-343,268,5.07,1163,5902,14.0
1188,-5262,-3084,2084,2799,-6415,350,7512,-2618,-7123,-564,8379,866,-1406,5264,190,-278,-182,5.07,1202,6100,14.1
2554,-6216,-4230,4467,3073,-7673,-1084,6644,-1602,-8869,-849,9503,540,-2062,5282,249,-132,-526,5.07,1197,6075,14.2
2394,-5694,-4296,7997,2590,-7245,-896,6514,-2964,-11219,-1308,10794,594,-2154,5568,185,-31,-939,5.07,1202,6100,14.3
870,-2570,-3130,10622,3250,-7564,-2538,3296,-4946,-14323,-653,11808,-194,-1540,5172,67,313,-1196,5.07,1207,6125,14.4
-1116,-1100,-2666,12659,2487,-8812,-2646,-272,-7978,-17104,-32,12251,-982,-518,5832,-36,801,-1116,5.06,1217,6162,14.5
-1968,184,-4396,16387,1491,-9972,-5028,-8624,-5046,-16536,-251,12454,-1338,-174,7632,-101,1064,-820,5.07,1193,6050,14.6
-1662,6710,-5896,21250,-619,-9279,-5304,-23530,-3872,-9367,-3755,12122,-1160,72,9156,-235,1151,-692,5.07,1202,6100,14.7
-6228,18580,5964,22336,-1911,-7821,286,-32768,-3220,1027,-3578,13401,678,1006,10170,-233,1310,-873,5.06,1212,6138,14.9
-1322,29804,-2536,16439,-8854,-5501,3052,-32768,-2664,6769,3217,10837,3788,1466,12442,-6,1439,-1148,5.07,1207,6125,15.0
6228,32767,-9018,5838,-9963,-6787,3724,-32768,-4030,6087,-1327,5273,4310,2278,14674,249,808,-1129,5.07,1202,6100,15.1
5580,32767,-2032,-1566,-3893,-4620,5604,-32768,-3226,2989,-1896,-1088,2954,2594,13694,431,-127,-40,5.07,1193,6050,15.2
6848,32767,1140,-2252,-4457,1032,4046,-31184,1832,845,-1137,-5114,158,1352,10328,262,-771,645,5.07,1197,6075,15.3
9758,30554,1708,-2201,-5930,5937,4796,-28144,2558,1342,-2293,-8940,-2024,738,8302,-127,-964,753,5.07,1202,6100,15.4
10580,23668,-1954,-3026,-4591,9549,2868,-21982,1108,4631,-2175,-10348,-3116,200,8174,-299,-270,814,5.07,1197,6075,15.5
7092,16860,-3118,-4043,-2877,11407,2034,-13164,-786,6837,-1073,-10330,-672,-748,10114,-327,304,683,5.07,1197,6075,15.6
3238,11200,-4454,-4368,-1906,12830,1376,-5496,-3828,6872,-1243,-11056,688,-734,10298,-383,110,200,5.07,1232,6249,15.7
-3412,4170,-3142,-2867,-384,16292,2142,122,-4944,5525,-869,-11352,-2712,-418,9694,-297,363,379,5.07,1197,6075,15.8
8652,11222,-5192,-10266,5850,6548,1800,2626,-4222,3070,1438,-10269,3416,36,13872,-222,-703,-253,5.07,1212,6149,15.9
-10918,-1182,-478,-949,2376,19528,1930,2050,-2582,36,2924,-10325,-8,988,7796,-92,-454,-384,5.07,1217,6174,16.0
-1720,-186,-2922,-1418,-4216,12011,-858,-2210,-318,2531,1792,-11208,-1218,392,3478,80,252,42,5.07,1222,6199,16.1
978,80,-4570,-4545,4859,10500,-2694,1238,492,8181,476,-9319,514,306,4882,98,-206,30,5.07,1237,6273,16.2
-2098,-1824,-2476,-5936,5081,10503,-1854,6574,-2150,10628,-996,-8260,52,678,4392,200,-294,584,5.07,1212,6149,16.4
