AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
7410,342,-986,2567,1876,110,6052,1854,9206,-666,1836,-33,-2074,1388,6714,350,1032,1227,5.08,630,3205,0.0
4548,1880,-586,2579,2805,645,4224,-458,9642,-1154,635,632,-2330,1286,7310,243,1278,1182,5.08,635,3230,0.1
2944,3632,720,870,3709,-15,4322,-1674,10198,-718,1428,1351,-2486,1216,6356,147,1247,1410,5.07,733,3719,0.1
470,1182,2674,-65,3096,-260,3120,-3868,11146,278,1534,1010,-1632,1212,7054,41,1286,1315,5.08,626,3180,0.2
-406,2414,2936,838,2426,-182,3124,-2422,11056,1196,1919,754,-606,1276,6672,-4,1213,1315,5.07,718,3645,0.3
-1624,5500,2568,306,1336,769,1692,-1006,13456,217,2964,540,1490,1290,9580,-138,365,1332,5.08,621,3155,0.3
-1864,4624,1944,-680,1304,1109,674,-396,16196,-722,2943,299,2176,1770,11462,-75,-218,1705,5.06,777,3935,0.4
-1522,2238,1346,-1550,1031,1592,1250,456,18298,-2176,2442,-162,2694,76,9976,-85,-1813,2042,5.08,630,3205,0.5
-1560,804,774,-1188,1063,1370,1338,1504,16354,-2668,2171,-164,962,-268,7300,-53,-2050,1709,5.07,748,3794,0.5
-880,464,856,-877,612,1489,2230,910,14648,-3141,1520,-595,-168,-606,5612,-71,-2057,1395,5.06,733,3712,0.6
2070,-2736,1778,534,-515,659,6148,-828,10448,-2172,1289,-784,198,-3110,6792,-188,-1530,626,5.08,674,3428,0.6
3672,-2602,3086,1854,-1712,485,6796,-1006,10620,-1242,1807,-186,-1530,-4746,9098,-189,-1485,-340,5.06,753,3811,0.7
6500,474,3562,3071,-3672,-139,6302,-74,11210,-2052,2173,887,-4460,-4034,9696,-240,-871,-1387,5.08,630,3205,0.8
6926,1944,3604,2078,-4912,-249,6846,236,10898,-3358,1977,1024,-4338,-2642,7964,-210,-553,-1506,5.08,718,3652,0.8
8600,1774,3722,763,-5830,-395,7940,-1404,9938,-3826,1539,855,-3310,-2160,6508,-317,-196,-1214,5.07,723,3670,0.9
9280,122,2598,-671,-5442,-882,7546,-1586,9632,-2832,1697,694,-3184,-1382,6120,-861,-9,-1013,5.08,660,3354,1.0
9764,-2098,2520,-325,-5023,-1375,7566,-1934,9724,-2126,1705,581,-3670,600,6580,-1158,124,-669,5.07,723,3670,1.0
10578,-2690,2900,684,-4786,-1947,7340,-2058,8636,-1648,844,231,-2230,3918,8442,-1150,-2,-392,5.07,714,3620,1.0
12510,-2372,3822,2103,-4637,-1442,7666,-1596,6296,-1429,-334,412,724,5380,6706,-681,-850,568,5.08,630,3205,1.1
12430,-2484,3300,3608,-3677,-1355,7242,-1526,5168,-950,-556,766,608,860,6172,-524,-656,670,5.07,728,3695,1.2
12166,-1002,2358,5206,-2033,-1739,8312,-338,3678,-161,-356,1785,-1162,-1164,5154,-923,-653,784,5.08,640,3255,1.3
13432,-262,1396,4662,-1347,-1991,7352,-572,3336,-517,-904,1488,-1664,-1348,5722,-1059,-620,931,5.08,640,3255,1.3
10490,66,5826,4880,-375,-1565,5744,-1610,1828,-931,-1566,845,-1836,-1124,7372,-1139,-305,594,5.06,753,3811,1.4
10674,1930,7416,5353,-118,-1058,5580,-2728,352,-583,-1012,665,-680,-1010,8380,-948,-151,460,5.05,870,4397,1.4
11964,5246,8000,6333,321,389,4984,-2640,-124,724,-91,455,-932,-1416,7256,-437,231,-102,5.07,679,3447,1.5
10546,6988,13472,4399,924,558,4536,-2476,-206,1552,637,631,-1168,-1648,6884,-250,306,-310,5.05,875,4421,1.6
6180,8698,14612,-663,246,1569,818,-1452,3028,2059,1264,947,-2022,-1540,6178,-4,649,-491,5.07,684,3471,1.7
7110,7166,13998,-1834,1127,1521,1920,-1872,3962,1612,565,573,-1416,-1642,6020,98,887,-483,5.07,860,4364,1.7
5336,6750,13142,-3209,1519,1300,308,-2590,3774,1178,285,498,-1106,-1818,6060,137,991,-494,5.06,890,4504,1.8
3334,2176,14212,-1621,1042,1599,-2246,-4370,4148,437,-1100,181,-1180,-1780,5552,191,1083,-500,5.08,630,3205,1.8
1424,3144,14568,15,292,1734,-2494,-5858,5100,481,-2387,-735,-768,-2070,5408,201,1276,-603,5.08,714,3627,1.9
2094,5692,11966,-1732,-569,1545,-868,-6296,4778,2712,-3449,-1949,142,-2916,5026,140,1173,-930,5.08,630,3205,2.0
3580,3184,10830,-3008,-18,1186,270,-4790,3286,3583,-3506,-2250,1534,-2974,6598,114,909,-1176,5.08,714,3627,2.0
5428,3114,9740,-4061,824,633,2316,-4518,1814,4178,-3117,-2403,3222,-2466,9644,259,464,-1417,5.07,733,3719,2.1
6566,3354,9262,-6243,819,-363,2422,-2732,326,3972,-4028,-2974,2370,462,12756,728,-655,-2037,5.08,626,3180,2.1
6662,3660,8664,-6742,1889,-784,3922,-1868,-1768,3900,-3979,-3021,132,1488,12036,882,-999,-1767,5.07,728,3695,2.2
7268,3402,7950,-7061,2428,-640,7098,1158,-2344,2991,-3633,-3191,-1374,3140,9890,992,-904,-694,5.08,640,3255,2.3
7252,1378,8060,-6408,1420,-224,8016,1688,-1578,2206,-3269,-2233,-1970,3376,8248,998,-1174,-103,5.08,714,3627,2.3
9646,2108,6640,-4461,1820,51,8626,1158,-1660,1989,-3097,-1164,-4058,2868,5336,852,-424,460,5.07,738,3744,2.4
8638,2214,8470,-3937,1259,302,10208,1084,-2006,2274,-2311,941,-4696,1446,6406,83,-266,1343,5.08,635,3230,2.4
8878,1192,8672,-3550,1489,450,10654,72,-796,2586,-1775,1273,-3596,1168,8184,-248,-96,1430,5.06,762,3861,2.5
9024,-1184,6100,-2557,1657,511,10562,1186,2254,1973,297,1944,-2036,2156,8556,-76,170,1164,5.08,635,3230,2.6
9212,-70,4752,-1774,1723,537,10232,1404,3218,579,936,2795,-1984,1184,7980,216,307,959,5.06,753,3811,2.6
