AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-8154,6514,526,2599,-729,336,-9506,-2276,2654,1933,1712,-675,-418,-3064,9116,274,-249,-620,5.08,513,2609,0.0
-7664,5044,-1102,948,-412,-169,-10166,-2116,6202,880,211,-865,-1380,-2636,8562,90,-122,-603,5.08,518,2633,0.1
-7724,4868,-1286,933,-145,-255,-9506,-976,6980,-397,-829,-1491,-1636,-1622,8074,-69,23,-393,5.07,596,3025,0.1
-7080,5996,-1086,-79,370,-389,-7764,-2544,5320,-527,-471,-1250,-1496,-1208,6838,-301,58,113,5.08,518,2633,0.2
-6928,5128,-1046,-868,669,-573,-7080,-2150,4692,410,-208,-1314,-976,-802,7000,-409,29,312,5.07,616,3124,0.2
-6098,4124,-980,-618,508,-369,-7168,-904,3522,1098,108,-1227,-284,-328,6888,-429,-52,410,5.08,523,2658,0.3
-5606,4122,-1006,-353,457,-102,-6796,-558,2652,896,230,-1269,-208,6,6880,-366,-91,326,5.06,601,3044,0.3
-5324,3978,-824,-307,659,123,-6504,-806,2144,839,423,-1243,-258,-108,6370,-303,-141,249,5.07,587,2976,0.4
-5070,4158,-406,-587,815,314,-6116,-576,1520,858,247,-1312,-560,-1380,5538,-310,-234,136,5.08,533,2708,0.4
-5272,4346,-300,-928,1112,339,-6310,-840,944,698,602,-1420,-536,-2018,5452,-367,-211,155,5.07,591,3000,0.5
-5446,4288,-114,-1633,1389,562,-6082,-1528,372,1081,689,-1096,-638,-2798,5782,-443,-280,80,5.08,528,2683,0.5
-5928,4060,-210,-1707,1367,576,-6390,-1446,124,821,731,-1059,-358,-2620,6442,-402,-283,15,5.06,601,3044,0.6
-6096,3834,-68,-1428,999,353,-6538,-2156,160,388,185,-720,-10,-1068,6566,-63,-156,-271,5.08,518,2633,0.6
-6334,3956,378,-974,758,266,-6412,-1944,348,759,734,-822,-114,-596,6878,167,-160,-457,5.07,587,2976,0.7
-6378,3986,684,-539,371,120,-6606,-1870,710,964,884,-433,-296,-618,6976,305,-129,-516,5.07,596,3025,0.7
-6882,4558,1154,8,-116,-129,-6394,-1674,986,1100,916,-127,-988,-666,6838,362,-53,-479,5.08,518,2633,0.8
-7288,3926,1684,689,-430,-200,-6412,-1452,1062,914,900,6,-1044,-404,6544,373,104,-334,5.07,591,3000,0.8
-7686,3314,3090,2707,-1561,117,-6478,-1796,1152,549,870,-105,-646,-86,6154,401,343,-24,5.08,518,2633,0.9
-7572,3106,3124,4289,-2350,294,-6594,-1744,1294,194,861,-179,-902,118,5728,433,576,99,5.07,587,2976,0.9
-6338,4170,1450,5015,-2705,580,-6866,-1546,1526,-468,429,-50,-658,548,6242,537,689,351,5.08,518,2633,1.0
-6318,4902,1094,4897,-2842,552,-7144,-1732,1484,-963,336,-169,-422,468,7102,595,735,476,5.07,587,2976,1.0
-6982,7052,190,3943,-2394,808,-8410,-2476,1214,-1231,309,-352,-660,1034,9658,681,658,888,5.08,513,2609,1.1
-7796,7158,438,2844,-1970,845,-10472,-3214,1384,-878,130,-548,-970,820,9298,618,583,1320,5.07,601,3050,1.1
-7108,7346,-224,1019,-1854,374,-9998,-3196,1888,358,120,-76,-1988,1854,7778,343,594,1831,5.08,513,2609,1.2
-6616,7364,-476,-75,-1495,-90,-9104,-2300,1958,532,-141,263,-2042,2056,7076,192,595,2105,5.07,591,3000,1.2
-4458,5660,-518,-1824,888,450,-8688,-1550,2004,43,-405,360,-1738,238,6410,4,672,2268,5.07,591,3000,1.2
-5832,5500,-956,-2833,726,328,-9260,-344,3824,-1774,-928,416,-1122,-576,7346,-297,569,2232,5.08,523,2658,1.3
-5288,6244,-1080,-4292,1708,569,-10196,-108,5258,-3378,-1432,217,-920,-666,8852,-285,511,1967,5.07,601,3050,1.3
-7918,3100,-1120,-4876,1919,129,-10376,-2140,4316,-5782,-2576,28,-952,-1074,8446,-350,523,1734,5.08,518,2633,1.4
-7180,4208,-600,-3861,1583,205,-8972,-3356,2106,-5380,-2435,359,-1388,-892,8166,-394,501,1618,5.07,582,2951,1.4
-7236,5356,-466,-3728,1763,7,-8032,-4094,1060,-4479,-2013,437,-1842,-456,7918,-401,619,1503,5.07,591,3000,1.5
-7238,4652,-184,-3315,1548,-36,-7314,-4066,924,-2853,-2169,754,-1520,-518,8028,-434,408,1629,5.08,508,2584,1.5
-7038,4650,-144,-2864,1436,52,-6896,-3352,1032,-2763,-2024,704,-1012,-956,7922,-463,385,1682,5.07,587,2976,1.6
-6930,4552,114,-2732,1580,108,-6500,-3942,1150,-2340,-1855,553,-1024,-972,7420,-495,352,1563,5.08,518,2633,1.6
-7020,4376,288,-2495,1482,80,-6486,-3686,1118,-2002,-1537,554,-838,-1158,7388,-519,227,1474,5.08,587,2981,1.7
-7138,4178,342,-2138,1252,47,-6506,-3618,1280,-1882,-1645,525,-822,-1072,7010,-517,274,1434,5.07,591,3000,1.7
-6844,4570,376,-1299,801,94,-6820,-4132,1582,-1800,-1459,591,-962,-1512,7420,-452,205,1079,5.08,518,2633,1.8
-6774,4962,58,-1130,723,99,-6756,-4242,1662,-1472,-1413,609,-686,-1450,7304,-414,133,879,5.06,621,3143,1.8
-6530,4814,-54,-1389,686,-58,-6552,-3574,2000,-876,-995,994,-1130,-1590,7256,-321,175,479,5.08,518,2633,1.9
-6554,4686,-182,-1520,700,-100,-6310,-3228,2210,-1020,-1032,1059,-1186,-1650,7310,-261,142,300,5.07,611,3100,1.9
-6514,4836,-174,-1784,752,-162,-6170,-3260,2286,-1321,-1039,1089,-1276,-1460,7136,-223,154,222,5.07,582,2951,2.0
-6574,4634,-72,-2131,801,-197,-5822,-3768,2186,-1587,-1033,1047,-1264,-1438,6862,-181,176,59,5.08,518,2633,2.0
-6772,4462,256,-2195,802,-252,-5788,-3860,2096,-1501,-958,1010,-1364,-1082,6964,-138,227,-4,5.07,587,2976,2.1
-7002,3454,608,-1489,210,-426,-5642,-3718,2180,-1192,-817,1018,-1410,-1132,6956,-8,227,-66,5.08,508,2584,2.1
-6836,3536,568,-606,-218,-423,-5630,-3828,2136,-890,-725,1065,-1288,-1212,6998,34,145,-56,5.06,601,3044,2.2
-6340,3806,298,796,-709,-413,-5506,-3724,2250,-141,-346,1086,-1422,-1354,6832,71,85,20,5.08,518,2633,2.2
-6102,4148,112,1383,-873,-384,-5610,-3508,2368,194,-10,996,-1430,-1398,6758,68,56,90,5.08,655,3329,2.3
-5944,4688,164,1657,-863,-325,-5868,-3404,2616,415,247,887,-1470,-1520,6460,40,58,188,5.07,587,2976,2.3
-5948,5252,208,977,-543,-369,-6434,-2932,3090,786,375,1013,-1510,-1556,6850,-54,19,370,5.08,533,2708,2.4
-5982,5472,284,269,-378,-434,-6688,-2592,3082,675,339,912,-1352,-1618,7096,-90,-10,438,5.07,587,2976,2.4
-6568,4732,34,-45,-178,-492,-7168,-2640,3116,536,232,798,-1266,-1852,7678,-139,-63,604,5.08,513,2609,2.5
-6656,4928,-86,-49,-240,-539,-7262,-2664,3178,605,321,819,-1404,-2024,7472,-169,-59,690,5.07,582,2951,2.5
-6952,5054,-224,-58,-96,-550,-7502,-2400,3154,868,553,769,-1298,-2342,7442,-273,-114,748,5.08,513,2609,2.6
-7142,5228,-186,-137,-92,-543,-7804,-1714,3292,498,333,607,-1150,-2676,7448,-358,-110,802,5.07,596,3025,2.6
-6958,4922,370,-481,-57,-499,-7416,-1998,3402,327,31,719,-534,-2810,7450,-544,-308,852,5.08,533,2708,2.7
-7080,4452,676,-752,72,-288,-7540,-1770,4370,670,31,637,-206,-2762,7494,-617,-419,793,5.07,582,2951,2.7
-7200,3472,1016,-830,45,-268,-7444,-1786,4490,1056,130,643,-388,-1836,7536,-659,-573,739,5.07,591,3000,2.8
-6938,3320,1308,-682,-120,-353,-7998,-794,3538,1858,47,704,-130,-632,8304,-505,-587,478,5.08,523,2658,2.8
-6978,3546,1522,-707,-15,-371,-7556,-702,2096,1818,330,471,754,-470,9252,-410,-625,248,5.07,587,2976,2.9
-8916,4344,1906,-248,11,-415,-10714,-752,2782,337,983,459,-872,3268,14998,47,-624,-385,5.08,518,2633,2.9
-11742,5694,1658,622,102,-286,-12958,-1708,558,-1835,-94,576,-1292,3548,13872,547,-36,-462,5.07,577,2926,3.0
-14166,6730,1618,1632,-1497,-807,-13166,-4376,-526,-5003,-820,667,-1746,4028,8336,224,-824,226,5.08,513,2609,3.0
-9688,4584,1900,1858,-1324,-675,-9164,-6166,-926,-5061,-2289,1684,-3262,3692,5622,80,-544,627,5.07,587,2976,3.1
-7048,3150,2242,2162,-1623,-322,-4962,-5724,-2408,-3816,-1280,1502,-1616,3376,6132,-222,-711,849,5.07,577,2926,3.1
-5380,3252,1990,2221,-588,360,-5768,-7040,-3748,-81,454,964,724,3682,7618,-408,-455,581,5.08,518,2633,3.2
-6472,4346,1976,1475,-19,351,-7792,-5196,-3258,1357,1152,1152,106,3126,8018,-204,-183,195,5.07,577,2926,3.2
-7196,4208,2610,486,528,888,-9120,-4208,-2020,1668,1838,544,-678,1562,8282,165,-156,22,5.08,518,2633,3.3
