AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6184,4994,-5350,15265,-3373,-816,-10706,-1836,-408,6079,1039,1033,-6382,-522,7444,170,700,-11427,5.08,562,2857,0.0
-6378,7424,-7258,18204,-2738,1620,-8590,-6110,-1458,5622,-566,7,-6588,-102,6556,116,928,-10968,5.08,567,2882,0.1
-4684,9762,-8240,17556,-3609,1839,-8706,-8362,-3918,7672,673,951,-5444,-54,7420,18,882,-10805,5.07,630,3199,0.1
-3198,10298,-6780,13362,-3546,1194,-7684,-8652,-6194,10998,2078,941,-5194,-102,7516,-241,811,-10671,5.08,572,2907,0.2
-4416,8128,-4794,11171,-3282,177,-7310,-7238,-6022,11301,1818,728,-4496,234,6636,-345,646,-10473,5.08,650,3304,0.2
-5072,5864,-4610,11003,-3246,112,-7398,-5722,-4302,8950,-342,541,-4182,794,6726,-347,677,-10231,5.07,640,3248,0.3
-4774,4414,-4950,12105,-3490,517,-4030,-6064,-5490,4253,-773,-1582,-2724,1040,5994,-351,441,-9808,5.08,567,2882,0.4
-4992,4714,-3554,11506,-3209,360,-4234,-7828,-6438,4502,-292,-2234,-2020,1134,6084,-206,463,-9705,5.07,650,3298,0.4
-5938,4604,-2636,10614,-2980,-17,-4488,-8624,-5282,6667,1287,-3276,-1364,318,6470,9,354,-9743,5.07,660,3347,0.5
-6804,3388,-3188,10542,-3207,279,-5422,-8900,-5312,11877,3856,-2549,-996,-2182,6626,392,78,-10308,5.08,582,2956,0.5
-6776,3882,-4846,11111,-3328,894,-5646,-8124,-8550,14538,4741,-2120,-816,-4032,7296,553,-57,-10855,5.07,645,3273,0.6
-7710,4106,-6862,11577,-3490,987,-6962,-5802,-10396,15346,5276,-2194,-2098,-5716,8316,704,45,-11248,5.07,655,3323,0.6
-7932,6200,-6398,10584,-3253,1150,-9172,-3262,-9914,14024,4674,-2158,-3236,-5796,9250,995,116,-11545,5.07,557,2827,0.7
-7714,6272,-4042,10237,-3929,1212,-8222,-2852,-9558,11463,4674,-1876,-2862,-5186,7940,1291,103,-12010,5.08,626,3180,0.7
-7548,6936,-3046,9084,-4005,1757,-6332,-3318,-9166,9240,4854,-2251,-3236,-6030,6296,1415,145,-12509,5.07,640,3248,0.8
-9194,3412,-3720,10685,-4289,2393,-5138,-4814,-8634,9281,6400,-2339,-6578,-5454,7142,1574,610,-12998,5.08,552,2807,0.8
-9412,6274,-4658,11553,-5024,3266,-6122,-5914,-8556,10382,8120,-1554,-7064,-4290,8540,1820,528,-13038,5.08,660,3354,0.9
-8754,8566,-4294,9793,-5528,3253,-7856,-6934,-8344,11056,8771,-1042,-7054,-4226,8600,2007,437,-12812,5.08,630,3205,0.9
-8318,8630,-4242,5803,-4120,2243,-9886,-6974,-9092,11195,8085,-1076,-5926,-5132,8452,2042,135,-13047,5.07,630,3199,1.0
-8500,4404,-3132,1932,-4451,900,-8304,-6652,-9692,11341,6646,-102,-6378,-5242,7258,2039,530,-14178,5.07,582,2951,1.1
-9424,3400,-2908,1398,-4442,709,-7546,-6038,-9086,11927,6469,489,-7708,-4640,7232,2071,861,-14614,5.06,655,3316,1.1
-9428,662,-4624,2867,-5084,-209,-7918,-5862,-7646,12440,6238,323,-8614,-3480,7596,2077,795,-14574,5.07,660,3347,1.2
-6532,-212,-5526,9103,-5427,-342,-8208,-5550,-6864,12750,5979,-192,-8706,-2092,6562,1842,363,-13696,5.08,587,2981,1.2
-5564,1688,-5458,11359,-6166,724,-7890,-5004,-8478,12604,5609,-260,-8232,-1546,5992,1694,304,-13183,5.07,674,3422,1.3
-4854,4046,-5328,12099,-6454,335,-7444,-4830,-9688,12338,5508,205,-8712,-1220,5614,1524,409,-12735,5.07,674,3422,1.3
-4562,6346,-5174,12085,-5629,398,-5832,-4322,-9426,11673,4727,508,-8776,44,4992,1077,475,-11752,5.08,626,3180,1.4
-4818,7380,-4658,12042,-5702,306,-6204,-4478,-8418,11392,4307,705,-8030,810,5904,735,44,-11135,5.07,699,3546,1.5
-4908,7818,-4738,11425,-5419,186,-5988,-4724,-9232,11368,4314,348,-6544,2298,6202,504,-190,-10736,5.07,704,3571,1.5
-5228,8650,-3906,8983,-5105,-237,-6800,-4496,-10578,10411,4945,245,-3270,1422,8620,658,-780,-10999,5.08,616,3130,1.6
-5794,7006,-3852,8427,-5022,-545,-6198,-5168,-10254,10155,5257,537,-2532,846,8986,798,-932,-11549,5.07,699,3546,1.6
-5498,8128,-4324,9074,-5273,22,-5776,-5578,-9584,10443,5372,742,-2826,300,9076,1051,-956,-11917,5.07,699,3546,1.7
-5350,6926,-2964,10249,-4880,672,-5606,-5404,-9086,12557,6015,1397,-3764,-1530,7622,1204,-1262,-11836,5.08,611,3106,1.8
-5150,7814,-2306,9813,-4999,1389,-4732,-4716,-8504,13412,6426,2043,-3824,-2704,7146,1092,-1485,-11537,5.07,684,3471,1.8
-6420,7710,-644,8852,-4914,1323,-4776,-4460,-8646,14168,6445,2056,-4108,-3218,6736,904,-1641,-11340,5.08,665,3379,1.9
-8746,7216,-46,8382,-5227,1710,-6388,-4018,-8312,13752,6339,2010,-5146,-2728,7722,710,-1306,-10877,5.08,601,3056,1.9
-10656,6924,-724,8338,-5609,1716,-7490,-3882,-8834,13124,6310,1709,-6006,-2016,8040,778,-893,-10533,5.06,699,3539,2.0
-10668,7786,-1270,8096,-6613,1984,-8328,-3244,-8876,12422,5990,1920,-6510,-748,8244,874,-676,-9991,5.07,689,3496,2.0
-6136,8508,-2156,6271,-7017,1867,-6160,-3134,-6804,12002,4521,1971,-5772,42,5962,781,-841,-9180,5.08,606,3081,2.1
-4472,8602,-1038,5103,-6694,2250,-5438,-2758,-5956,12156,4097,1945,-5244,-548,4630,475,-1174,-8623,5.07,689,3496,2.2
-4102,9262,1366,4195,-6584,2612,-6038,-2948,-5598,11949,4329,1426,-4776,-506,3572,114,-1111,-8283,5.06,704,3564,2.2
-5860,7518,3636,3976,-7691,2408,-7592,-3118,-5052,11729,4898,610,-4126,682,5176,34,-245,-8006,5.08,601,3056,2.3
-5340,8178,2790,4025,-9639,2315,-9468,-2398,-3612,11295,4056,608,-3508,1682,7362,240,133,-7824,5.07,679,3447,2.3
-3710,9058,1172,4591,-10667,2196,-10624,-2176,-2340,10061,2624,256,-3380,2268,8938,432,242,-7309,5.07,694,3521,2.4
-1970,14182,678,3959,-9522,2344,-11936,-3816,-180,7581,853,-1478,-3628,2514,8774,368,420,-5451,5.08,596,3031,2.4
-1540,15058,1778,2903,-7742,2699,-13060,-2762,740,5230,-460,-2742,-3832,3276,7612,249,366,-4833,5.07,684,3471,2.5
-1584,13350,5188,2346,-6317,3971,-14246,-6942,2058,518,-2637,-6780,-2500,3610,6980,-31,402,-3317,5.08,601,3056,2.6
-1334,13944,7898,2298,-7619,5462,-15122,-9082,2972,-760,-4299,-9042,-2066,3686,6850,-91,397,-2619,5.07,679,3447,2.6
148,14762,8028,2692,-8106,6789,-15514,-10612,3120,-247,-6064,-10355,-1544,3282,7090,-109,272,-2036,5.06,699,3539,2.7
-1132,16350,6274,2086,-8142,9107,-16998,-12132,3440,-670,-9177,-12332,808,-1828,8162,-129,855,-1006,5.08,591,3006,2.7
-1076,15890,7920,-54,-9442,10931,-18358,-14080,4480,-2044,-12013,-14284,-2926,4008,7022,-82,561,-797,5.08,665,3379,2.8
894,15436,9146,-3119,-7101,10495,-17544,-14834,3844,-3022,-14279,-15690,-2180,1940,8740,-341,-59,547,5.07,660,3347,2.8
518,10466,9412,-4360,-8752,10953,-14432,-14308,4546,-2916,-15739,-16461,-2650,1334,6752,-403,495,1328,5.07,665,3372,2.9
998,7932,7234,-6408,-6595,10157,-10662,-11030,4650,756,-17197,-15065,430,1460,9194,-169,168,1645,5.08,587,2981,3.0
454,4426,5842,-7329,-6993,9862,-15268,-10172,4862,5744,-14396,-15206,-330,1706,7010,93,198,1331,5.07,660,3347,3.0
-834,3396,4748,-7779,-7140,9745,-9360,-7978,2420,5942,-13242,-12642,-1166,1096,6706,245,343,1255,5.07,655,3323,3.0
-2804,2268,3678,-7922,-8330,8260,-7836,-6310,678,5370,-15280,-11277,-1800,-710,6832,213,262,1476,5.08,587,2981,3.1
-3006,2848,1480,-7332,-9495,8056,-9148,-3852,-334,7700,-20460,-8414,-1240,-1540,7086,-3,94,1408,5.07,665,3372,3.2
-948,2958,-2114,-6015,-8576,7275,-3388,-4610,-2918,5397,-6316,-11358,-1256,-32,6548,-25,140,1285,5.08,587,2981,3.2
-320,4354,-1480,-5956,-8001,4640,-4030,202,-3428,5930,-10930,-12058,-812,-128,7898,-30,537,1209,5.07,665,3372,3.3
536,3464,-958,-4797,-7514,4828,646,1162,-4002,3211,-9095,-10779,-1138,622,7386,-130,198,1399,5.07,655,3323,3.3
2400,5352,-1202,-3406,-6636,3649,2808,66,-6450,2934,-5954,-9014,-1132,982,7584,-340,131,1802,5.08,587,2981,3.4
4074,4470,-1460,-2288,-6419,3642,3326,24,-7464,2537,-1633,-8559,-1534,884,6686,-346,506,2095,5.08,660,3354,3.4
5090,4652,-1918,-1214,-4964,3468,-966,224,-8442,2226,-3540,-9485,-1812,452,7736,-380,329,2306,5.08,660,3354,3.5
6004,6266,-3378,-642,-2078,3882,7974,-1224,-6800,-396,-2616,-4876,-2208,90,7268,-517,779,2610,5.08,577,2932,3.6
6260,6068,-3328,-46,-386,4068,6190,-2284,-6856,1640,1060,-1273,96,-596,8614,-568,441,2243,5.07,670,3397,3.6
5558,5996,-2608,2616,735,4552,5394,2756,-5070,-190,2171,1643,80,-570,7370,-473,379,1828,5.07,684,3471,3.7
7148,5360,-2428,4090,2319,4486,6558,768,-4366,-637,3658,2815,294,-570,7186,-415,216,1405,5.08,655,3329,3.7
7464,5182,-2796,5500,3537,4811,6214,1160,-5052,-2626,1773,3,-976,-522,6316,-322,217,1321,5.07,660,3347,3.8
7264,5614,-2852,7851,4199,5347,6678,470,-4694,-4670,-532,-225,-1260,-560,7170,-240,73,1160,5.08,582,2956,3.8
5940,4598,-1738,9227,3750,5417,5502,-206,-3550,-4832,-4998,-721,-1420,-312,7486,-238,40,1271,5.06,679,3440,3.9
5944,3732,-830,11842,4846,5427,6750,-4330,-4704,-5315,7438,1296,-1134,18,7702,-133,282,1283,5.08,577,2932,4.0
6690,3846,-860,13186,5873,5373,6480,-1730,-4796,-5686,7822,35,-1154,298,8430,-84,295,1346,5.07,674,3422,4.0
6420,5484,-1096,14374,6565,5078,8222,166,-5466,-7571,10716,-189,-1650,526,8274,-26,376,1399,5.07,674,3422,4.1
5408,7104,330,14425,7323,4273,4206,-5000,-2898,-7604,12207,1340,-1338,-252,8356,24,220,1406,5.08,582,2956,4.1
4636,8268,632,12661,8233,3914,2284,-4740,-1024,-7230,12103,1606,-1324,-556,7274,-40,225,1359,5.07,670,3397,4.2
3004,9772,148,7646,9935,3858,-816,-4586,1522,-6218,14751,1390,-1010,-416,7108,-132,341,1293,5.08,587,2981,4.2
-32768,-12232,32767,-8353,3697,2462,-32768,-26826,32767,14500,-20155,7592,-200,-216,6806,-103,244,1155,5.07,670,3397,4.3
-7684,32767,-4058,5196,-3635,3811,4566,7994,-21236,5884,2187,3177,888,-498,5258,-108,-206,1178,5.07,655,3323,4.3
17162,-1792,3944,-418,1514,-613,386,-19464,6480,-9753,6439,-1998,-3780,-134,8260,-172,-520,1239,5.08,587,2981,4.4
3074,-2668,5790,3017,2951,-88,3180,-12486,6752,855,-1643,731,-3640,192,8004,-282,-480,1569,5.07,655,3323,4.5
4306,5258,6042,3285,564,701,6494,-7694,6062,1858,-5197,4834,446,-90,8136,-206,-85,1519,5.07,674,3422,4.5
8700,4278,4812,-1595,2688,990,5030,-3386,2436,-472,-2827,69,148,-1342,7674,-91,-334,1258,5.08,577,2932,4.6
6482,100,5640,-148,2147,1565,7166,-4802,2526,-411,-3070,-291,-1048,-966,5774,-98,-221,1143,5.07,660,3347,4.6
5758,2826,4440,347,3204,1463,6818,-1456,1492,-1064,-307,838,-1116,-558,6916,-66,192,595,5.08,577,2932,4.7
