AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
60,4914,630,-4342,-7080,8823,918,-1356,-70,5468,-6948,-5306,-238,-526,7660,409,-100,180,5.08,440,2236,0.0
-1534,650,-704,-3306,-6687,9476,-728,-428,-2740,6837,-4974,-1767,-154,-4906,9038,-8,-830,436,5.08,450,2286,0.1
-1632,-994,-1872,-2392,-6651,9574,-1146,2874,-2760,7446,-4654,232,442,26,3958,-180,-487,1126,5.07,499,2529,0.1
-2088,-2954,-5724,-1107,-6175,8897,588,4240,-9110,4151,-8251,-3827,304,176,3370,-355,-452,1494,5.07,435,2207,0.2
-1528,-1584,-4656,-1191,-5424,8707,142,1484,-8616,954,-8285,-6833,-782,-322,2024,-510,-270,1325,5.07,494,2504,0.2
-698,-1188,-5042,-2885,-3719,7356,2252,-638,-9480,2615,-6592,-5925,-516,-878,2188,-548,-37,1087,5.07,494,2504,0.2
-384,-4684,-7100,-4847,146,3446,5250,7602,-14456,4286,-990,-1750,392,-168,2888,-408,-187,70,5.08,425,2161,0.3
-190,-5966,-7224,-3960,1450,1662,5088,7672,-11604,348,2121,-1199,638,-512,3266,-178,-265,-437,5.07,494,2504,0.3
-122,-4526,-5364,-1449,1696,-540,5380,6218,-8562,-2394,6017,-144,-1120,-1064,4078,198,-51,-1009,5.08,435,2211,0.4
-104,-5486,-5166,-66,1211,-1969,4306,4626,-9380,-3334,6620,2550,-2322,-1550,4232,355,14,-1128,5.08,484,2460,0.4
1390,-6592,-6516,1881,1910,-3848,5160,4104,-9328,-4650,5806,3669,-2358,-2168,6384,453,199,-1287,5.07,489,2480,0.4
1486,-4120,-6212,4646,3977,-7045,3092,1612,-5778,-6194,8989,5149,-1512,-3298,7082,323,324,-1144,5.08,445,2261,0.5
1090,-1402,-4134,5428,5287,-8390,1512,1688,-4086,-8108,8993,6242,-1060,-3220,6832,238,650,-1394,5.07,494,2504,0.5
520,550,-1952,5723,5957,-9900,836,-1170,-3400,-10463,8802,6903,-838,-1836,10794,282,1489,-1859,5.07,499,2529,0.6
2224,4860,-642,7521,7315,-13346,2024,-18072,5600,-7756,5057,4447,-3982,8448,21874,517,1313,-912,5.08,430,2186,0.6
1310,11188,5172,11127,8334,-11949,4076,-20218,8606,-2835,1213,4359,-6238,9280,17800,371,-50,198,5.06,591,2995,0.7
-2628,19160,7292,12412,9168,-11038,-2004,-20000,13468,-3599,644,7843,-950,5654,12020,245,380,1181,5.07,513,2604,0.7
900,32767,12774,6719,8935,-5543,-5900,-32768,21584,-8252,4825,545,-36,-2616,8712,-704,157,677,5.08,459,2335,0.7
208,32767,13416,-888,4949,-6700,-3128,-32768,20354,-6701,1596,-1278,-4758,-1070,7778,-1082,165,632,5.07,499,2529,0.8
3004,32767,14742,-4270,1177,-132,3210,-31544,18770,185,-872,-3616,-4110,-770,10352,-642,-451,492,5.08,440,2236,0.8
2316,30184,16102,-6335,-639,2556,4224,-23866,16146,3724,-2216,-4677,-3200,-1628,8574,-384,-632,738,5.07,503,2554,0.9
1650,22196,13996,-8244,-3454,3579,7026,-17200,12324,5405,-3990,-5882,-3754,-3092,7872,-121,-37,-22,5.06,513,2599,0.9
1494,11762,7976,-6913,-7540,6926,3778,-4856,5912,5753,-6861,-6966,-1176,1214,9212,523,946,-1327,5.08,440,2236,1.0
686,9750,4256,-6596,-7484,8328,7760,-7566,1246,5553,-3465,-5476,-3018,284,7458,699,976,-1309,5.07,499,2529,1.0
